pm25,pm10,no2,so2,co,o3,AQI
,93.0,4.0,7.0,8.0,2.0,
,92.5,7.0,15.0,9.0,4.0,93.04199999999999
,93.2,8.0,11.0,20.5,2.5,93.36866666666667
,94.0,9.0,7.0,32.0,1.0,94.64266666666667
,96.4,20.0,15.0,14.0,4.0,96.60266666666666
,99.2,10.0,8.0,10.5,4.0,158.98702651944552
120.0,101.0,4.0,9.0,7.0,10.0,221.43595375283314
120.0,100.4,10.0,12.0,7.0,13.0,283.2485883621732
120.0,99.2,7.0,13.0,4.0,3.0,284.4146331271407
120.0,92.4,1.0,8.0,3.0,5.0,281.8883725604197
112.8,85.6,2.0,7.0,2.0,3.0,271.1637379510796
105.6,83.4,5.0,11.0,1.66666666666666,8.0,260.4
73.91999999999999,85.0,1.0,7.0,1.33333333333333,8.0,244.55999999999997
68.88,84.2,3.0,12.0,1.0,9.0,236.64000000000001
98.4,81.4,2.0,14.0,16.0,13.0,230.26
69.86,78.6,1.0,16.0,15.0,20.0,233.34
101.2,75.7,3.0,6.0,14.0,5.0,234.99
99.9,76.7,1.0,16.0,11.0,9.0,243.01999999999998
107.1,81.3,1.0,14.5,17.5,6.5,249.51
107.1,91.1,1.0,13.0,24.0,4.0,263.81
112.9,98.9,1.0,17.0,14.0,11.0,271.8693710714394
118.7,100.6,2.0,17.0,13.0,14.0,279.907641955786
120.0,96.0,3.0,28.0,20.0,5.0,285.5975939604657
120.0,95.8,2.0,16.5,15.3333333333333,4.5,283.8082228890264
112.8,100.6,1.0,5.0,10.6666666666666,4.0,274.11995200467976
105.6,108.0,2.0,4.0,6.0,10.0,260.40000000000003
73.91999999999999,118.0,4.0,7.0,37.0,15.0,244.56000000000003
68.88,123.8,4.66666666666666,13.0,34.5,9.0,236.64000000000001
98.4,120.2,5.33333333333333,18.0,32.0,11.0,228.72000000000003
68.88,110.8,6.0,18.0,1.0,10.0,236.64000000000001
105.6,100.8,1.0,3.0,2.0,8.0,244.56000000000003
73.91999999999999,90.6,4.0,4.0,6.0,16.0,260.40000000000003
112.8,84.6,3.0,4.0,5.0,11.0,260.4
105.6,82.4,2.0,5.0,5.0,13.0,268.32
112.8,82.2,3.0,7.0,5.0,15.0,268.32
78.96,82.2,2.0,4.0,5.0,16.0,276.24
112.8,82.4,3.0,4.0,5.0,15.0,276.24
112.8,82.6,4.0,4.0,5.0,16.0,282.1688665809416
120.0,82.8,3.0,4.0,5.0,15.0,285.1482157873793
120.0,83.0,3.0,4.0,5.0,8.0,286.6067783702725
120.0,83.0,3.0,9.0,5.0,16.0,282.4722415521028
120.0,86.0,3.0,9.0,5.0,16.0,279.4928923456651
112.8,89.8,2.0,3.0,5.0,8.0,270.1143297627719
105.6,93.6,2.0,4.0,8.0,15.0,260.40000000000003
73.91999999999999,97.4,2.5,5.0,16.0,5.0,252.47999999999996
73.91999999999999,102.4,3.0,13.0,18.0,13.0,252.47999999999996
105.6,100.8,3.5,7.0,18.0,9.0,260.40000000000003
112.8,97.9,4.0,3.0,14.0,7.0,270.17088249547436
120.0,94.5,8.0,12.0,8.0,10.0,281.91655734261354
120.0,91.1,5.5,7.0,6.5,15.0,285.205319001957
120.0,87.5,3.0,2.0,5.0,20.0,289.5052137437362
120.0,90.1,7.0,10.0,8.0,16.0,289.23362664043026
120.0,92.6,7.0,10.0,10.0,19.0,285.9448649810868
112.8,95.6,7.0,13.0,5.0,23.0,279.79408774383336
112.8,98.6,7.0,5.0,8.0,20.0,276.24
78.96,103.0,7.0,11.0,6.0,15.0,276.24
112.8,105.8,3.0,3.0,7.0,4.0,268.32
105.6,109.2,6.0,12.0,5.0,17.0,260.4
105.6,112.6,4.0,6.0,7.0,8.0,244.56000000000003
68.88,116.2,7.0,10.0,4.0,13.0,236.64000000000001
68.88,119.6,4.0,4.0,2.0,11.0,222.12000000000003
64.68,117.64000000000001,8.0,12.0,3.0,22.0,216.84000000000003
93.6,115.67999999999999,4.0,13.0,2.5,24.0,206.60666666666668
49.17000000000001,72.46199999999999,3.0,6.0,2.0,11.0,198.35333333333335
46.86000000000001,69.39399999999999,4.0,6.0,4.0,11.0,182.18000000000004
30.492,64.168,5.0,14.0,2.0,14.0,170.96000000000004
30.492,61.776,5.0,16.0,7.0,25.0,164.36
43.56,59.696000000000005,6.0,18.0,12.0,26.0,164.36
43.56,59.07200000000002,3.0,7.0,17.0,10.0,170.3
46.53,58.448,6.0,18.0,22.0,15.0,176.24
32.571,58.239999999999995,3.0,7.0,14.0,9.0,182.17999999999998
46.53,57.72,6.0,8.0,21.0,11.0,182.17999999999998
46.53,56.888000000000005,7.0,10.0,9.0,11.0,182.17999999999998
46.53,57.616000000000014,6.0,12.0,3.0,32.0,176.24
43.56,61.776,6.0,11.0,5.0,20.0,164.36
28.413,66.248,6.0,13.0,9.0,15.0,146.54000000000005
26.334000000000003,67.80800000000002,7.0,16.0,5.0,26.0,128.72000000000003
24.255,67.28800000000001,6.0,16.0,7.0,9.0,116.84000000000002
24.255,62.29600000000001,6.0,6.0,3.0,20.0,116.83999999999999
26.333999999999996,54.08000000000001,3.0,16.0,3.0,22.0,128.72
28.412999999999997,48.98400000000001,3.0,3.0,6.0,5.0,146.54
43.56,47.839999999999996,3.0,6.0,5.0,9.0,158.42
43.56,48.776,5.0,6.0,9.0,12.0,164.36
43.56,52.41600000000001,5.0,11.0,10.0,13.0,164.36
30.492,52.62400000000001,6.0,9.0,15.0,15.0,164.36
30.492,49.29600000000001,5.0,8.0,12.0,10.0,164.36
43.56,45.24000000000001,6.0,9.0,12.0,38.0,170.3
46.53,42.016000000000005,4.0,4.0,17.0,23.0,182.18000000000004
49.50000000000001,39.728,4.0,5.0,14.0,22.0,194.06000000000003
49.50000000000001,40.872,3.0,1.0,21.0,10.0,200.0
49.50000000000001,42.432,2.0,8.0,17.0,21.0,200.0
49.50000000000001,47.32,2.0,2.0,19.0,26.0,200.0
49.50000000000001,51.376,2.0,1.0,13.0,11.0,200.0
49.50000000000001,53.455999999999996,3.0,2.0,11.0,25.0,200.0
49.50000000000001,53.455999999999996,3.0,1.0,8.0,13.0,200.0
49.50000000000001,51.68800000000001,2.0,1.0,9.0,20.0,200.0
49.50000000000001,46.48800000000001,2.0,1.0,8.0,13.0,200.0
49.50000000000001,40.976000000000006,3.0,1.0,10.0,13.0,199.01
49.005,36.19200000000001,3.0,1.0,11.0,12.0,195.71
47.85,33.176,6.0,4.0,11.0,29.0,188.78
46.035000000000004,31.408,6.0,4.0,13.0,25.0,177.56000000000003
