date, pm25, pm10, o3, no2, so2, co,location
2021-12-27, ,97,2,5,7,15,"Bandra Kurla Complex, Mumbai"
2021-12-28,105,6,2,4,7,8,"Bandra Kurla Complex, Mumbai"
2021-12-29,4,4,4,7,15,9,"Bandra Kurla Complex, Mumbai"
2021-12-30,4, , , , , ,"Bandra Kurla Complex, Mumbai"
2021-12-31, ,87,1,9,7,32,"Bandra Kurla Complex, Mumbai"
2022-01-01,154,96,4,20,15,14,"Bandra Kurla Complex, Mumbai"
2022-01-02,157,99,4,10,8, ,"Bandra Kurla Complex, Mumbai"
2022-01-03,154,105,10,4,9,7,"Bandra Kurla Complex, Mumbai"
2022-01-04,163,106,13,10,12,7,"Bandra Kurla Complex, Mumbai"
2022-01-05,164,92,3,7,13,4,"Bandra Kurla Complex, Mumbai"
2022-01-06,154,100,5,1,8,3,"Bandra Kurla Complex, Mumbai"
2022-01-07,157,93,3,2,7,2,"Bandra Kurla Complex, Mumbai"
2022-01-08,153,71,8,5,11, ,"Bandra Kurla Complex, Mumbai"
2022-01-09,122,71,8,1,7, ,"Bandra Kurla Complex, Mumbai"
2022-01-10,122,101,9,3,12,1,"Bandra Kurla Complex, Mumbai"
2022-01-11,161,89,13, ,14,16,"Bandra Kurla Complex, Mumbai"
2022-01-12,152,109,20,1,16,15,"Bandra Kurla Complex, Mumbai"
2022-01-13,166,57,5,3,6,14,"Bandra Kurla Complex, Mumbai"
2022-01-14,91,32,9,1,16,11,"Bandra Kurla Complex, Mumbai"
2022-01-15,57, , , , , ,"Bandra Kurla Complex, Mumbai"
2022-01-16, ,117,4, ,13,24,"Bandra Kurla Complex, Mumbai"
2022-01-17,170,106,11,1,17,14,"Bandra Kurla Complex, Mumbai"
2022-01-18,164,112,14,2,17,13,"Bandra Kurla Complex, Mumbai"
2022-01-19,168,96,5,3,28,20,"Bandra Kurla Complex, Mumbai"
2022-01-20,151, , , , , ,"Bandra Kurla Complex, Mumbai"
2022-01-21, ,70,4,1,5, ,"Bandra Kurla Complex, Mumbai"
2022-01-22,128,369,10,2,4,6,"Bandra Kurla Complex, Mumbai"
2022-01-23,268,170,15,4,7,37,"Bandra Kurla Complex, Mumbai"
2022-01-24,195,149,9, ,13,44,"Bandra Kurla Complex, Mumbai"
2022-01-25,186,133,11, ,18,32,"Bandra Kurla Complex, Mumbai"
2022-01-26,178,112,10,6,18,1,"Bandra Kurla Complex, Mumbai"
2022-01-27,167,93,8,1,3,2,"Bandra Kurla Complex, Mumbai"
2022-01-28,157,83,16,4,4,6,"Bandra Kurla Complex, Mumbai"
2022-01-29,152,83,11,3,4,5,"Bandra Kurla Complex, Mumbai"
2022-01-30,152,82,13,2,5,5,"Bandra Kurla Complex, Mumbai"
2022-01-31,152,82,15,3,7,5,"Bandra Kurla Complex, Mumbai"
2022-02-01,152,82,16,2,4,5,"Bandra Kurla Complex, Mumbai"
2022-02-02,151,82,15,3,4,5,"Bandra Kurla Complex, Mumbai"
2022-02-03,152,83,16,4,4,5,"Bandra Kurla Complex, Mumbai"
2022-02-04,153,83,15,3,4,5,"Bandra Kurla Complex, Mumbai"
2022-02-05,152,82,8,3,4,5,"Bandra Kurla Complex, Mumbai"
2022-02-06,152,83,16,3,9,5,"Bandra Kurla Complex, Mumbai"
2022-02-07,152,83,16,3,9,5,"Bandra Kurla Complex, Mumbai"
2022-02-08,152,82,8,2,3,5,"Bandra Kurla Complex, Mumbai"
2022-02-09,152,98,15,2,4,8,"Bandra Kurla Complex, Mumbai"
2022-02-10,160,102,5, ,5,16,"Bandra Kurla Complex, Mumbai"
2022-02-11,161,102,13, ,13,18,"Bandra Kurla Complex, Mumbai"
2022-02-12,161,108,9, ,7,18,"Bandra Kurla Complex, Mumbai"
2022-02-13,165,90,7,4,3,14,"Bandra Kurla Complex, Mumbai"
2022-02-14,151,118,10,8,12,8,"Bandra Kurla Complex, Mumbai"
2022-02-15,170, , , , , ,"Bandra Kurla Complex, Mumbai"
2022-02-16, ,57,20,3,2,5,"Bandra Kurla Complex, Mumbai"
2022-02-17,101,85,16,7,10,8,"Bandra Kurla Complex, Mumbai"
2022-02-18,144,103,19,7,10,10,"Bandra Kurla Complex, Mumbai"
2022-02-19,162,90,23,7,13,5,"Bandra Kurla Complex, Mumbai"
2022-02-20,154,111,20,7,5,8,"Bandra Kurla Complex, Mumbai"
2022-02-21,166,100,15,7,11,6,"Bandra Kurla Complex, Mumbai"
2022-02-22,159,72,4,3,3,7,"Bandra Kurla Complex, Mumbai"
2022-02-23,124,112,17,6,12,5,"Bandra Kurla Complex, Mumbai"
2022-02-24,167,141,8,4,6,7,"Bandra Kurla Complex, Mumbai"
2022-02-25,184,117,13,7,10,4,"Bandra Kurla Complex, Mumbai"
2022-02-26,171,105,11,4,4,2,"Bandra Kurla Complex, Mumbai"
2022-02-27,165,129,22,8,12,3,"Bandra Kurla Complex, Mumbai"
2022-02-28,177,118,24,4,13, ,"Bandra Kurla Complex, Mumbai"
2022-03-01,171,134,11,3,6,2,"Bandra Kurla Complex, Mumbai"
2022-03-02,180,138,11,4,6,4,"Bandra Kurla Complex, Mumbai"
2022-03-03,181,120,14,5,14,2,"Bandra Kurla Complex, Mumbai"
2022-03-04,171,118,25,5,16, ,"Bandra Kurla Complex, Mumbai"
2022-03-05,170,111,26,6,18, ,"Bandra Kurla Complex, Mumbai"
2022-03-06,166,103,10,3,7, ,"Bandra Kurla Complex, Mumbai"
2022-03-07,162,114,15,6,18,22,"Bandra Kurla Complex, Mumbai"
2022-03-08,166,117,9,3,7,14,"Bandra Kurla Complex, Mumbai"
2022-03-09,169,112,11,6,8,21,"Bandra Kurla Complex, Mumbai"
2022-03-10,168,109,11,7,10,9,"Bandra Kurla Complex, Mumbai"
2022-03-11,165,90,32,6,12,3,"Bandra Kurla Complex, Mumbai"
2022-03-12,153,106,20,6,11,5,"Bandra Kurla Complex, Mumbai"
2022-03-13,162,121,15,6,13,9,"Bandra Kurla Complex, Mumbai"
2022-03-14,171,152,26,7,16,5,"Bandra Kurla Complex, Mumbai"
2022-03-15,188,160,9,6,16,7,"Bandra Kurla Complex, Mumbai"
2022-03-16,191,121,20,6,6,3,"Bandra Kurla Complex, Mumbai"
2022-03-17,171,101,22,3,16,3,"Bandra Kurla Complex, Mumbai"
2022-03-18,159,67,5,3,3,6,"Bandra Kurla Complex, Mumbai"
2022-03-19,120,73,9,3,6,5,"Bandra Kurla Complex, Mumbai"
2022-03-20,127,103,12,5,6,9,"Bandra Kurla Complex, Mumbai"
2022-03-21,163,110,13,5,11,10,"Bandra Kurla Complex, Mumbai"
2022-03-22,166,122,15,6,9,15,"Bandra Kurla Complex, Mumbai"
2022-03-23,172,108,10,5,8,12,"Bandra Kurla Complex, Mumbai"
2022-03-24,165,75,38,6,9,12,"Bandra Kurla Complex, Mumbai"
2022-03-25,132,70,23,4,4,17,"Bandra Kurla Complex, Mumbai"
2022-03-26,128,71,22,4,5,14,"Bandra Kurla Complex, Mumbai"
2022-03-27,131,79,10,3,1,21,"Bandra Kurla Complex, Mumbai"
2022-03-28,144,89,21,2,8,17,"Bandra Kurla Complex, Mumbai"
2022-03-29,155,86,26, ,2,19,"Bandra Kurla Complex, Mumbai"
2022-03-30,146,85,11,2,1,13,"Bandra Kurla Complex, Mumbai"
2022-03-31,147,138,25,3,2,11,"Bandra Kurla Complex, Mumbai"
2022-04-01,181,118,13,3,1,8,"Bandra Kurla Complex, Mumbai"
2022-04-02,171,106,20,2,1,9,"Bandra Kurla Complex, Mumbai"
2022-04-03,165,86,13,2,1,8,"Bandra Kurla Complex, Mumbai"
2022-04-04,151,68,13,3,1,10,"Bandra Kurla Complex, Mumbai"
2022-04-05,124,69,12,3,1,11,"Bandra Kurla Complex, Mumbai"
2022-04-06,126,65,29,6,4,11,"Bandra Kurla Complex, Mumbai"
2022-04-07,114,60,25,6,4,13,"Bandra Kurla Complex, Mumbai"
2022-04-08,106,57,38,3, ,11,"Bandra Kurla Complex, Mumbai"
2022-04-09,98,52,50,3, ,6,"Bandra Kurla Complex, Mumbai"
2022-04-10,88,45,31,6,3,6,"Bandra Kurla Complex, Mumbai"
2022-04-11,78,5,26,6,6,14,"Bandra Kurla Complex, Mumbai"
2022-04-12,12,5,246,3,3,10,"Bandra Kurla Complex, Mumbai"
2022-04-13,12,3,37,3,1,5,"Bandra Kurla Complex, Mumbai"
2022-04-14,7,3,32,6, ,4,"Bandra Kurla Complex, Mumbai"
2022-04-15,6, , , , , ,"Bandra Kurla Complex, Mumbai"
2022-04-17, ,67,70,3,1,8,"Bandra Kurla Complex, Mumbai"
2022-04-18,124,68,50,6,4,6,"Bandra Kurla Complex, Mumbai"
2022-04-19,127,76,43,3,2,13,"Bandra Kurla Complex, Mumbai"
2022-04-20,142,121,173,6,10,24,"Bandra Kurla Complex, Mumbai"
2022-04-21,173,99,79,6,12,10,"Bandra Kurla Complex, Mumbai"
2022-04-22,159,90,16,6,10,6,"Bandra Kurla Complex, Mumbai"
2022-04-23,148,64,16,6,10,5,"Bandra Kurla Complex, Mumbai"
2022-04-24,116,83,15,6,9,5,"Bandra Kurla Complex, Mumbai"
2022-04-25,147,69,8,3,3,5,"Bandra Kurla Complex, Mumbai"
2022-04-26,126, , , , , ,"Bandra Kurla Complex, Mumbai"
2022-04-27, ,78,8,3,2,5,"Bandra Kurla Complex, Mumbai"
2022-04-28,134,63,8,3,1,4,"Bandra Kurla Complex, Mumbai"
2022-04-29,114,58,16,3,2,5,"Bandra Kurla Complex, Mumbai"
2022-04-30,102,43,16,6,10,6,"Bandra Kurla Complex, Mumbai"
2022-05-01,75,51,8,3,3,17,"Bandra Kurla Complex, Mumbai"
2022-05-02,89,57,16,6,8,6,"Bandra Kurla Complex, Mumbai"
2022-05-03,96,71,16,6,9,5,"Bandra Kurla Complex, Mumbai"
2022-05-04,127,74,16,6,8,6,"Bandra Kurla Complex, Mumbai"
2022-05-05,133,98,16,5,10,6,"Bandra Kurla Complex, Mumbai"
2022-05-06,159, ,8,6, ,6,"Bandra Kurla Complex, Mumbai"
2022-05-07, , ,8,6, ,6,"Bandra Kurla Complex, Mumbai"
2022-05-08, , ,8,6, ,6,"Bandra Kurla Complex, Mumbai"
2022-05-10, , ,8,6, ,6,"Bandra Kurla Complex, Mumbai"
2022-05-11, ,82,16,5,4,5,"Bandra Kurla Complex, Mumbai"
2022-05-12,153,82,16,6,10,5,"Bandra Kurla Complex, Mumbai"
2022-05-13,153,83,16,3,3,5,"Bandra Kurla Complex, Mumbai"
2022-05-14,153,83,8,3,4,5,"Bandra Kurla Complex, Mumbai"
2022-05-15,152,83,8,3,4,5,"Bandra Kurla Complex, Mumbai"
2022-05-16,152, , , , , ,"Bandra Kurla Complex, Mumbai"
2022-05-20, ,83,16,6,10,5,"Bandra Kurla Complex, Mumbai"
2022-05-21,152,82,16,3,3,5,"Bandra Kurla Complex, Mumbai"
2022-05-22,152,82,8,3,10,5,"Bandra Kurla Complex, Mumbai"
2022-05-23,153,80,16,6,10,6,"Bandra Kurla Complex, Mumbai"
2022-05-24,146,66,8,3,1,6,"Bandra Kurla Complex, Mumbai"
2022-05-25,121,63,16,6,2,11,"Bandra Kurla Complex, Mumbai"
2022-05-26,115,56,15,6,2,10,"Bandra Kurla Complex, Mumbai"
2022-05-27,99,49,16,3,1,8,"Bandra Kurla Complex, Mumbai"
2022-05-28,86,52,16,6,3,10,"Bandra Kurla Complex, Mumbai"
2022-05-29,91,57,16,3,2,10,"Bandra Kurla Complex, Mumbai"
2022-05-30,104,63,16,3,2,10,"Bandra Kurla Complex, Mumbai"
2022-05-31,115,61,16,6,1,9,"Bandra Kurla Complex, Mumbai"
2022-06-01,114,68,15,6,2,9,"Bandra Kurla Complex, Mumbai"
2022-06-02,134,68,16,3,3,7,"Bandra Kurla Complex, Mumbai"
2022-06-03,133,58,16,6,3,9,"Bandra Kurla Complex, Mumbai"
2022-06-04,105,48,16,3,1,9,"Bandra Kurla Complex, Mumbai"
