date, pm25, pm10, o3, no2, so2, co,location
2021-12-27, ,94,3,3,1,2,"Borivali East MPCB, Mumbai"
2021-12-28,174,73,18,2,1,1,"Borivali East MPCB, Mumbai"
2021-12-29,145,85,21,1,1,2,"Borivali East MPCB, Mumbai"
2021-12-30,169,116,24,1,1,1,"Borivali East MPCB, Mumbai"
2021-12-31,298,74,23,1,1,1,"Borivali East MPCB, Mumbai"
2022-01-01,165,70,24,1,1,1,"Borivali East MPCB, Mumbai"
2022-01-02,154,67,24,1, ,1,"Borivali East MPCB, Mumbai"
2022-01-03,152,77,29,2, ,1,"Borivali East MPCB, Mumbai"
2022-01-04,160,87,30,2,1,2,"Borivali East MPCB, Mumbai"
2022-01-05,175,72,20,1,1,2,"Borivali East MPCB, Mumbai"
2022-01-06,162,84,28,2,1,2,"Borivali East MPCB, Mumbai"
2022-01-07,176,66,13,2,2,1,"Borivali East MPCB, Mumbai"
2022-01-08,585,51,22,2,1, ,"Borivali East MPCB, Mumbai"
2022-01-09, ,36,21,1,1, ,"Borivali East MPCB, Mumbai"
2022-01-10, ,79,34,3,3,1,"Borivali East MPCB, Mumbai"
2022-01-11, ,110,31,2,4,2,"Borivali East MPCB, Mumbai"
2022-01-12,189,81,31,2,6,2,"Borivali East MPCB, Mumbai"
2022-01-13,173,82,26,2,9,2,"Borivali East MPCB, Mumbai"
2022-01-14,175,79,25,2,11,2,"Borivali East MPCB, Mumbai"
2022-01-15,170,69,16,1,12,1,"Borivali East MPCB, Mumbai"
2022-01-16,160,72,19,2,15,2,"Borivali East MPCB, Mumbai"
2022-01-17,162,71,24,1,16,1,"Borivali East MPCB, Mumbai"
2022-01-18,159,76,27,3,17,2,"Borivali East MPCB, Mumbai"
2022-01-19,161,65,26,2,19,1,"Borivali East MPCB, Mumbai"
2022-01-20,137,48,15,1,21, ,"Borivali East MPCB, Mumbai"
2022-01-21,93,55,10,1,22, ,"Borivali East MPCB, Mumbai"
2022-01-22,86,511,22,2,23, ,"Borivali East MPCB, Mumbai"
2022-01-23,164,177,21,2,22, ,"Borivali East MPCB, Mumbai"
2022-01-24,151,144,28,2,23,1,"Borivali East MPCB, Mumbai"
2022-01-25,149,118,29,2,24,1,"Borivali East MPCB, Mumbai"
2022-01-26,152,97,29,3,26,2,"Borivali East MPCB, Mumbai"
2022-01-27,149,85,28,2,26,1,"Borivali East MPCB, Mumbai"
2022-01-28,138,76,27,2,27,1,"Borivali East MPCB, Mumbai"
2022-01-29,138,68,27,2,26, ,"Borivali East MPCB, Mumbai"
2022-01-30,129,70,31,3,27,1,"Borivali East MPCB, Mumbai"
2022-01-31,136,71,23,2,29,1,"Borivali East MPCB, Mumbai"
2022-02-01,140,89,27,4,29,2,"Borivali East MPCB, Mumbai"
2022-02-02,166,66,18,2,30,1,"Borivali East MPCB, Mumbai"
2022-02-03,119,124,20,1,31,1,"Borivali East MPCB, Mumbai"
2022-02-04,131,134,28,2,30, ,"Borivali East MPCB, Mumbai"
2022-02-05,146,112,34,2,30,1,"Borivali East MPCB, Mumbai"
2022-02-06,158,87,22,1,31,1,"Borivali East MPCB, Mumbai"
2022-02-07,138,60,17,1,30, ,"Borivali East MPCB, Mumbai"
2022-02-08,91,66,19,1,30, ,"Borivali East MPCB, Mumbai"
2022-02-09,118,79,22,2,18,1,"Borivali East MPCB, Mumbai"
2022-02-10,151,81,23,3,3,1,"Borivali East MPCB, Mumbai"
2022-02-11,149,75,25,2,2,1,"Borivali East MPCB, Mumbai"
2022-02-12,145,86,26,4,3,2,"Borivali East MPCB, Mumbai"
2022-02-13,158,93,19,1,2,1,"Borivali East MPCB, Mumbai"
2022-02-14,149,54,14,1,2, ,"Borivali East MPCB, Mumbai"
2022-02-15,93,46,11,1,3, ,"Borivali East MPCB, Mumbai"
2022-02-16,74,51,15,3,3, ,"Borivali East MPCB, Mumbai"
2022-02-17,90,60,18,4,3, ,"Borivali East MPCB, Mumbai"
2022-02-18,125,70,23,5,2,1,"Borivali East MPCB, Mumbai"
2022-02-19,140,69,24,2,2,1,"Borivali East MPCB, Mumbai"
2022-02-20,144,68,20,4,2,1,"Borivali East MPCB, Mumbai"
2022-02-21,140,79,18,4,1,1,"Borivali East MPCB, Mumbai"
2022-02-22,130,64,18,4,1,1,"Borivali East MPCB, Mumbai"
2022-02-23,116,84,30,4,1,2,"Borivali East MPCB, Mumbai"
2022-02-24,152,143,36,5, ,2,"Borivali East MPCB, Mumbai"
2022-02-25,184,95,20,2, ,2,"Borivali East MPCB, Mumbai"
2022-02-26,134,48,9,3, ,1,"Borivali East MPCB, Mumbai"
2022-02-27,131,111,24,7, ,4,"Borivali East MPCB, Mumbai"
2022-02-28,151,76,4,3, ,3,"Borivali East MPCB, Mumbai"
2022-03-01,165,101,26,7, ,4,"Borivali East MPCB, Mumbai"
2022-03-02,166,87,30,4, ,3,"Borivali East MPCB, Mumbai"
2022-03-03,155,81,27,4, ,3,"Borivali East MPCB, Mumbai"
2022-03-04,144,80,31,5, ,4,"Borivali East MPCB, Mumbai"
2022-03-05,147,83,29,4, ,4,"Borivali East MPCB, Mumbai"
2022-03-06,152,95,34,6, ,4,"Borivali East MPCB, Mumbai"
2022-03-07,164,94,33,4, ,4,"Borivali East MPCB, Mumbai"
2022-03-08,170,84,31,3,3,3,"Borivali East MPCB, Mumbai"
2022-03-09,165,84,30,4,2,3,"Borivali East MPCB, Mumbai"
2022-03-10,165,89,38,5,1,4,"Borivali East MPCB, Mumbai"
2022-03-11,163,69,47,3,1,3,"Borivali East MPCB, Mumbai"
2022-03-12,140,80,28,3,1,3,"Borivali East MPCB, Mumbai"
2022-03-13,143,153,29,4,3,3,"Borivali East MPCB, Mumbai"
2022-03-14,229,111,32,6,2,4,"Borivali East MPCB, Mumbai"
2022-03-15,169,99,35,7, ,4,"Borivali East MPCB, Mumbai"
2022-03-16,159,106,34,8,1,5,"Borivali East MPCB, Mumbai"
2022-03-17,167,109,23,6, ,6,"Borivali East MPCB, Mumbai"
2022-03-18,178,77,21,4, ,3,"Borivali East MPCB, Mumbai"
2022-03-19,127,79,8,2, ,2,"Borivali East MPCB, Mumbai"
2022-03-20,102,98,18,3, ,1,"Borivali East MPCB, Mumbai"
2022-03-21,118,98,30,4, ,3,"Borivali East MPCB, Mumbai"
2022-03-22,156,102,25,5, ,3,"Borivali East MPCB, Mumbai"
2022-03-23,133,104,32,7, ,4,"Borivali East MPCB, Mumbai"
2022-03-24,155,75,18,4, ,3,"Borivali East MPCB, Mumbai"
2022-03-25,111,74,15,3, ,3,"Borivali East MPCB, Mumbai"
2022-03-26,106,72,13,2, ,1,"Borivali East MPCB, Mumbai"
2022-03-27,96,79,9,2, ,1,"Borivali East MPCB, Mumbai"
2022-03-28,118,80,16,3, ,2,"Borivali East MPCB, Mumbai"
2022-03-29,117,86,14,3, ,1,"Borivali East MPCB, Mumbai"
2022-03-30,92,79,14,2, ,1,"Borivali East MPCB, Mumbai"
2022-03-31,91,141,13,3, ,1,"Borivali East MPCB, Mumbai"
2022-04-01,142,122,15,2, ,1,"Borivali East MPCB, Mumbai"
2022-04-02,137,106,13,2, ,2,"Borivali East MPCB, Mumbai"
2022-04-03,123,87,11,2, ,1,"Borivali East MPCB, Mumbai"
2022-04-04,109,81,3,1, ,2,"Borivali East MPCB, Mumbai"
