date, pm25, pm10, o3, no2, so2, co,location
2019-12-02, ,285,12,2,4,6,"Borivali East, Mumbai"
2019-12-03,215,50,17,2,4,3,"Borivali East, Mumbai"
2019-12-04,105,63,2,2,4,5,"Borivali East, Mumbai"
2019-12-05,146,72,2,1,4,4,"Borivali East, Mumbai"
2019-12-06,157,71,3, ,4,5,"Borivali East, Mumbai"
2019-12-07,145,80,3, ,4,4,"Borivali East, Mumbai"
2019-12-08,159,65,8,1,4,4,"Borivali East, Mumbai"
2019-12-09,146,62,6,1,9,5,"Borivali East, Mumbai"
2019-12-10,138,66,3,1,4,5,"Borivali East, Mumbai"
2019-12-11,147,69,3,1,4,5,"Borivali East, Mumbai"
2019-12-12,150,63,3, ,4,6,"Borivali East, Mumbai"
2019-12-13,132,83,3, ,4,6,"Borivali East, Mumbai"
2019-12-14,90,880,3, ,4,6,"Borivali East, Mumbai"
2019-12-15,143,80,3,1,4,6,"Borivali East, Mumbai"
2019-12-16,158,173,3, ,4,6,"Borivali East, Mumbai"
2019-12-17,244,70,8,1,4,7,"Borivali East, Mumbai"
2019-12-18,147,65,5,1,4,6,"Borivali East, Mumbai"
2019-12-19,137,71,5,1,4,6,"Borivali East, Mumbai"
2019-12-20,153,80,5,1,4,6,"Borivali East, Mumbai"
2019-12-21,150,88,4, ,4,6,"Borivali East, Mumbai"
2019-12-22,161,76,6,2,4,6,"Borivali East, Mumbai"
2019-12-23,158,89,5, ,4,6,"Borivali East, Mumbai"
2019-12-24,166,115,5,1,4,6,"Borivali East, Mumbai"
2019-12-25,181,89,4, ,4,7,"Borivali East, Mumbai"
2019-12-26,153,73,5, ,4,7,"Borivali East, Mumbai"
2019-12-27,150,81,5, ,4,6,"Borivali East, Mumbai"
2019-12-28,155,93,5, ,4,6,"Borivali East, Mumbai"
2019-12-29,156, , , , , ,"Borivali East, Mumbai"
2019-12-31, ,89,5, ,4,6,"Borivali East, Mumbai"
2020-01-01,163,86,5, ,4,6,"Borivali East, Mumbai"
2020-01-02,166,80,6, ,4,5,"Borivali East, Mumbai"
2020-01-03,158,89,6, ,4,5,"Borivali East, Mumbai"
2020-01-04,166,86,6, ,4,6,"Borivali East, Mumbai"
2020-01-05,155,350,47,1,4,5,"Borivali East, Mumbai"
2020-01-06,207,69,6,2,9,19,"Borivali East, Mumbai"
2020-01-07,147,61,5, ,1,1,"Borivali East, Mumbai"
2020-01-08,135,64,8, ,1,1,"Borivali East, Mumbai"
2020-01-09,134,70,7, ,1,2,"Borivali East, Mumbai"
2020-01-10,143,80,5, ,1,2,"Borivali East, Mumbai"
2020-01-11,155,77,5, ,1,3,"Borivali East, Mumbai"
2020-01-12,145,52,6, ,1,3,"Borivali East, Mumbai"
2020-01-13,115,49,6, ,1,4,"Borivali East, Mumbai"
2020-01-14,83,47,6, ,1,4,"Borivali East, Mumbai"
2020-01-15,78,73,6, ,1,4,"Borivali East, Mumbai"
2020-01-16,77,239,6, ,1,4,"Borivali East, Mumbai"
2020-01-17,105,73,7, ,1,5,"Borivali East, Mumbai"
2020-01-18,141,85,6, ,1,5,"Borivali East, Mumbai"
2020-01-19,156,189,7, ,1,5,"Borivali East, Mumbai"
2020-01-20,134,81,8,1,1,5,"Borivali East, Mumbai"
2020-01-21,136,87,8, ,1,6,"Borivali East, Mumbai"
2020-01-22,148,504,8, ,1,6,"Borivali East, Mumbai"
2020-01-23,146,216,17,1,1,4,"Borivali East, Mumbai"
2020-01-24,140,77,8,1,1,4,"Borivali East, Mumbai"
2020-01-25,146,138,2,1,1,6,"Borivali East, Mumbai"
2020-01-26,151,56,2, ,1,4,"Borivali East, Mumbai"
2020-01-27,103,41,2, ,1,2,"Borivali East, Mumbai"
2020-01-28,48,56,2, ,1,2,"Borivali East, Mumbai"
2020-01-29,57,62,2, ,1,2,"Borivali East, Mumbai"
2020-01-30,103,66,2, ,1,3,"Borivali East, Mumbai"
2020-01-31,130,77,2, ,1,3,"Borivali East, Mumbai"
2020-02-01,146,74,2, ,1,4,"Borivali East, Mumbai"
2020-02-02,136,66,2,1,1,4,"Borivali East, Mumbai"
2020-02-03,126,74,3,1,1,3,"Borivali East, Mumbai"
2020-02-04,138,70,3,1,1,3,"Borivali East, Mumbai"
2020-02-05,122,64,3, ,1,3,"Borivali East, Mumbai"
2020-02-06,115,58,32,2,2,2,"Borivali East, Mumbai"
2020-02-07,101,75,36,4,1,2,"Borivali East, Mumbai"
2020-02-08,140,84,33,5,2,2,"Borivali East, Mumbai"
2020-02-09,154,72,33,5,2,2,"Borivali East, Mumbai"
2020-02-10,131,69,22,5,1,2,"Borivali East, Mumbai"
2020-02-11,120,91,10,4,6,3,"Borivali East, Mumbai"
2020-02-12,136,57,9,3, ,2,"Borivali East, Mumbai"
2020-02-13,115,67,12,4, ,3,"Borivali East, Mumbai"
2020-02-14,122,73,41,6,1,3,"Borivali East, Mumbai"
2020-02-15,122,83,26,7,1,4,"Borivali East, Mumbai"
2020-02-16,132,77,83,4,1,4,"Borivali East, Mumbai"
2020-02-17,154,76,29,5,2,3,"Borivali East, Mumbai"
2020-02-18,146,80,23,4, ,3,"Borivali East, Mumbai"
2020-02-19,134,64,16,4,1,2,"Borivali East, Mumbai"
2020-02-20,112,50,12,3,1,2,"Borivali East, Mumbai"
2020-02-21,81,222,15,3,1,3,"Borivali East, Mumbai"
2020-02-22,127,94,13,2,1,4,"Borivali East, Mumbai"
2020-02-23,141,87,17,4,1,4,"Borivali East, Mumbai"
2020-02-24,153,67,10,2,1,3,"Borivali East, Mumbai"
2020-02-25,78,70,12,2,1,2,"Borivali East, Mumbai"
2020-02-26,91,65,18,2,1,3,"Borivali East, Mumbai"
2020-02-27,95,68,20,3,1,3,"Borivali East, Mumbai"
2020-02-28,109,67,13,2,1,3,"Borivali East, Mumbai"
2020-02-29,100,72,11,1,1,3,"Borivali East, Mumbai"
2020-03-01,110,63,8,2,1,3,"Borivali East, Mumbai"
2020-03-02,91,73,3,1, ,2,"Borivali East, Mumbai"
2020-03-03,90,66,8,1,1,2,"Borivali East, Mumbai"
2020-03-04,77,59,7,1,1,2,"Borivali East, Mumbai"
2020-03-05,66,61,6,1,1,1,"Borivali East, Mumbai"
2020-03-06,51,76,9,1,1,2,"Borivali East, Mumbai"
2020-03-07,61,70,10, ,1,2,"Borivali East, Mumbai"
2020-03-08,68,69,10,1,1,2,"Borivali East, Mumbai"
2020-03-09,87,94,7, ,1,2,"Borivali East, Mumbai"
2020-03-10,91,42,8, ,1,1,"Borivali East, Mumbai"
2020-03-11,46,218,6, ,1,1,"Borivali East, Mumbai"
2020-03-12,45,59,11,1,1,2,"Borivali East, Mumbai"
2020-03-13,65,71,12,1,1,2,"Borivali East, Mumbai"
2020-03-14,85,317,13,2,1,3,"Borivali East, Mumbai"
2020-03-15,90,89,17,2,2,4,"Borivali East, Mumbai"
2020-03-16,99,74,17,2,1,4,"Borivali East, Mumbai"
2020-03-17,291,66,12,3,1,4,"Borivali East, Mumbai"
