date, pm25, pm10, o3, no2, so2, co,location
2021-12-27, ,110,9,26,8,9,"Chakala-Andheri East, Mumbai"
2021-12-28,166,89,6,17,8,8,"Chakala-Andheri East, Mumbai"
2021-12-29,150,114,8,15,7,8,"Chakala-Andheri East, Mumbai"
2021-12-30,164,107,6,18,7,8,"Chakala-Andheri East, Mumbai"
2021-12-31,159,97,10,15,6,8,"Chakala-Andheri East, Mumbai"
2022-01-01,148,102,6,22,12,10,"Chakala-Andheri East, Mumbai"
2022-01-02,154,113,13,17,13,11,"Chakala-Andheri East, Mumbai"
2022-01-03,165,114,5,26,7,8,"Chakala-Andheri East, Mumbai"
2022-01-04,161,136,8,18,8,10,"Chakala-Andheri East, Mumbai"
2022-01-05,175,91,4,23,5,6,"Chakala-Andheri East, Mumbai"
2022-01-06,149,101,24,21,9,8,"Chakala-Andheri East, Mumbai"
2022-01-07,156,74,11,24,8,8,"Chakala-Andheri East, Mumbai"
2022-01-08,129,64,25,18,8,2,"Chakala-Andheri East, Mumbai"
2022-01-09,105,66,19,13,6,6,"Chakala-Andheri East, Mumbai"
2022-01-10,107,108,40,31,8,9,"Chakala-Andheri East, Mumbai"
2022-01-11,162,85,39,27,11,7,"Chakala-Andheri East, Mumbai"
2022-01-12,146,98,45,29,10,6,"Chakala-Andheri East, Mumbai"
2022-01-13,158,112,18,27,4,5,"Chakala-Andheri East, Mumbai"
2022-01-14,165,81,30,25,3,7,"Chakala-Andheri East, Mumbai"
2022-01-15,135,12,33,23,4,9,"Chakala-Andheri East, Mumbai"
2022-01-16,25,23,24,19,6,3,"Chakala-Andheri East, Mumbai"
2022-01-17,44,105,30,27,11,8,"Chakala-Andheri East, Mumbai"
2022-01-18,161,112,45,31,11,5,"Chakala-Andheri East, Mumbai"
2022-01-19,163,88,23,24,8,3,"Chakala-Andheri East, Mumbai"
2022-01-20,146,81,9,17,6,1,"Chakala-Andheri East, Mumbai"
2022-01-21,134,74,9,13,6,2,"Chakala-Andheri East, Mumbai"
2022-01-22,126,499,14,13,5, ,"Chakala-Andheri East, Mumbai"
2022-01-23,342,207,20,15,4,1,"Chakala-Andheri East, Mumbai"
2022-01-24,217,162,25,20,5,2,"Chakala-Andheri East, Mumbai"
2022-01-25,196,150,29,18,5,3,"Chakala-Andheri East, Mumbai"
2022-01-26,185,120,30,17,7,5,"Chakala-Andheri East, Mumbai"
2022-01-27,171,110,29,4,8,4,"Chakala-Andheri East, Mumbai"
2022-01-28,167,99,23,6,5,3,"Chakala-Andheri East, Mumbai"
2022-01-29,160,117,25,7,4,6,"Chakala-Andheri East, Mumbai"
2022-01-30,170,121,35,6,12,10,"Chakala-Andheri East, Mumbai"
2022-01-31,171,119,18,6,7,8,"Chakala-Andheri East, Mumbai"
2022-02-01,170,132,15,4,12,8,"Chakala-Andheri East, Mumbai"
2022-02-02,181,103,10,7,5,5,"Chakala-Andheri East, Mumbai"
2022-02-03,160,140,20,7,9,2,"Chakala-Andheri East, Mumbai"
2022-02-04,182,150,31,7,8,9,"Chakala-Andheri East, Mumbai"
2022-02-05,187,144,24,4,3,9,"Chakala-Andheri East, Mumbai"
2022-02-06,184,107,21,7,6,8,"Chakala-Andheri East, Mumbai"
2022-02-07,165,75,7,7,3,7,"Chakala-Andheri East, Mumbai"
2022-02-08,132,74,6,4,6,7,"Chakala-Andheri East, Mumbai"
2022-02-09,128,112,2,7,6,9,"Chakala-Andheri East, Mumbai"
2022-02-10,167,99,1,4,5,6,"Chakala-Andheri East, Mumbai"
2022-02-11,158,102, ,7,5,7,"Chakala-Andheri East, Mumbai"
2022-02-12,161,108, ,4,8,10,"Chakala-Andheri East, Mumbai"
2022-02-13,162,89,1,7,4,7,"Chakala-Andheri East, Mumbai"
2022-02-14,152,86, ,7,1,5,"Chakala-Andheri East, Mumbai"
2022-02-15,142,96,1,8,6,6,"Chakala-Andheri East, Mumbai"
2022-02-16,154,75,2,4,2,5,"Chakala-Andheri East, Mumbai"
2022-02-17,137,98,4,4,3,11,"Chakala-Andheri East, Mumbai"
2022-02-18,159,106,13,7,8,7,"Chakala-Andheri East, Mumbai"
2022-02-19,165,97,14,7,4,6,"Chakala-Andheri East, Mumbai"
2022-02-20,154,109,3,4,2,8,"Chakala-Andheri East, Mumbai"
2022-02-21,166,114,5,7,8,9,"Chakala-Andheri East, Mumbai"
2022-02-22,164,93,4,29,10,12,"Chakala-Andheri East, Mumbai"
2022-02-23,147,129,3,22,12,11,"Chakala-Andheri East, Mumbai"
2022-02-24,178,161,4,24,8,10,"Chakala-Andheri East, Mumbai"
2022-02-25,195,113,3,23,45, ,"Chakala-Andheri East, Mumbai"
2022-02-26,156,131,6,44,18, ,"Chakala-Andheri East, Mumbai"
2022-02-27,160,122,7,7,13,8,"Chakala-Andheri East, Mumbai"
2022-02-28,143,121,12,24,4,6,"Chakala-Andheri East, Mumbai"
2022-03-01,170,141,2,59,5,8,"Chakala-Andheri East, Mumbai"
2022-03-02,183,140,4,30,2,6,"Chakala-Andheri East, Mumbai"
2022-03-03,183,138,7,24,7,6,"Chakala-Andheri East, Mumbai"
2022-03-04,180,146,3,33,3,5,"Chakala-Andheri East, Mumbai"
