date, pm25, pm10, o3, no2, so2, co,location
2019-12-02, ,75,9,23,1,6,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-03,92,92,98,16,9,9,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-04,145,125,6,10,3,9,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-05,175,116,15,17,4,10,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-06,170,108,17,19,6,10,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-07,161,113,16,23,5,10,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-08,171,104,15,23,5,11,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-09,166,109,14,26,4,12,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-10,166,127,9,22,4,15,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-11,177,127,13,20,4,14,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-12,174,101,11,19,3,10,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-13,147,99,11,18,4,9,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-14,146,109,10,19,4,11,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-15,165,123,7,18,4,14,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-16,175,119,12,16,4,12,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-17,167,107,12,18,5,11,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-18,162,101,14,19,4,10,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-19,160,129,11,24,5,13,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-20,176,142,9,17,5,16,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-21,178,132,12,15,6,14,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-22,181,123,11,14,6,13,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-23,177,145,14,20,5,14,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-24,193,160,8,18,5,15,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-25,207,127,9,15,5,13,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-26,178,128,8,17,5,13,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-27,176,114,10,15,4,10,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-28,167,110,11,15,5,9,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-29,167, , , , , ,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-31, ,140,18,22,5,13,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-01,188,135,11,25,3,10,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-02,194,128,13,24,3,10,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-03,178,195,13,24,3,10,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-04,183,117,12,16,3,10,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-05,172,107,9,21,5,9,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-06,163,122,82,23,13,14,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-07,171,106,7,12,2,9,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-08,157,106,13,23,3,8,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
