date, pm25, pm10, o3, no2, so2, co,location
2019-07-13, ,35,3,1,3,1,"Colaba, Mumbai"
2019-07-14,48,43,4,1,3,1,"Colaba, Mumbai"
2019-07-15,49,44,4,1,3,1,"Colaba, Mumbai"
2019-07-16,54,42,4,1,3,1,"Colaba, Mumbai"
2019-07-17,53,53,4,1,3,1,"Colaba, Mumbai"
2019-07-18,57,64,10,2,3,2,"Colaba, Mumbai"
2019-07-19,73,43,5,6,3,2,"Colaba, Mumbai"
2019-07-20,63,41,10,6,4,3,"Colaba, Mumbai"
2019-07-21,84,17,8,2,3,2,"Colaba, Mumbai"
2019-07-22,38,14,6,1,3,1,"Colaba, Mumbai"
2019-07-23,28,22,5,1,3,1,"Colaba, Mumbai"
2019-07-24,45,38,5,1,3,1,"Colaba, Mumbai"
2019-07-25,56,39,5, ,3,1,"Colaba, Mumbai"
2019-07-26,53,41,5, ,3,1,"Colaba, Mumbai"
2019-07-27,56,47,6, ,3,1,"Colaba, Mumbai"
2019-07-28,59,45,5,1,3,1,"Colaba, Mumbai"
2019-07-29,56,32,5, ,3,1,"Colaba, Mumbai"
2019-07-30,47,29,4, ,3,1,"Colaba, Mumbai"
2019-07-31,46,34,6, ,3,1,"Colaba, Mumbai"
2019-08-01,46,30,8, ,3,1,"Colaba, Mumbai"
2019-08-02,43,23,5, ,3,1,"Colaba, Mumbai"
2019-08-03,39,34,5, ,4,1,"Colaba, Mumbai"
2019-08-04,47,38,3, ,2,1,"Colaba, Mumbai"
2019-08-05,50,34,8, , ,1,"Colaba, Mumbai"
2019-08-06,46,38,8, , ,2,"Colaba, Mumbai"
2019-08-07,51,56,7,1, ,2,"Colaba, Mumbai"
2019-08-08,68,54,8, , ,2,"Colaba, Mumbai"
2019-08-09,68,133,9, , ,2,"Colaba, Mumbai"
2019-08-10,72,49,10, , ,2,"Colaba, Mumbai"
2019-08-11,61,47,9,1, ,2,"Colaba, Mumbai"
2019-08-12,57,39,9,2, ,2,"Colaba, Mumbai"
2019-08-13,50,49,10,1, ,2,"Colaba, Mumbai"
2019-08-14,58,38,9,1, ,2,"Colaba, Mumbai"
2019-08-15,56,42,9,1, ,2,"Colaba, Mumbai"
2019-08-16,54,42,11, , ,2,"Colaba, Mumbai"
2019-08-17,51,40,11,1, ,2,"Colaba, Mumbai"
2019-08-18,50,41,9,1, ,3,"Colaba, Mumbai"
2019-08-19,51,50,8,1, ,3,"Colaba, Mumbai"
2019-08-20,48,42,10,1, ,3,"Colaba, Mumbai"
2019-08-21,44,39,9,2,1,3,"Colaba, Mumbai"
2019-08-22,47,34,8,2,3,3,"Colaba, Mumbai"
2019-08-23,45,35,11, ,3,2,"Colaba, Mumbai"
2019-08-24,45, , , , , ,"Colaba, Mumbai"
2019-08-28, ,29,7,1,6,3,"Colaba, Mumbai"
2019-08-29,40,27,6,1,7,3,"Colaba, Mumbai"
2019-08-30,41,30,8,1,7,3,"Colaba, Mumbai"
2019-08-31,45,27,8, ,7,3,"Colaba, Mumbai"
2019-09-01,45,39,6, ,7,3,"Colaba, Mumbai"
2019-09-02,50,13,3,1,9,3,"Colaba, Mumbai"
2019-09-03,33,21,4,1,9,2,"Colaba, Mumbai"
2019-09-04,42,13,4, ,8,2,"Colaba, Mumbai"
2019-09-05,27,20,4,1,8,2,"Colaba, Mumbai"
2019-09-06,39,20,4,1,8,2,"Colaba, Mumbai"
2019-09-07,35,17,6,1,8,2,"Colaba, Mumbai"
2019-09-08,36,36,5, ,8,2,"Colaba, Mumbai"
2019-09-09,54,32,5,1,8,2,"Colaba, Mumbai"
2019-09-10,50,28,4,1,9,3,"Colaba, Mumbai"
2019-09-11,48,18,5, ,11,2,"Colaba, Mumbai"
2019-09-12,39,24,3, ,11,2,"Colaba, Mumbai"
2019-09-13,45,38,3, ,11,2,"Colaba, Mumbai"
2019-09-14,48,25,7,3,11,3,"Colaba, Mumbai"
2019-09-15,45,26,4,1,10,2,"Colaba, Mumbai"
2019-09-16,42,25,3,2,7,2,"Colaba, Mumbai"
2019-09-17,44,30,5,2,2,1,"Colaba, Mumbai"
2019-09-18,57,24,16,4,2,2,"Colaba, Mumbai"
2019-09-19,67,25,8,1,3,1,"Colaba, Mumbai"
2019-09-20,47,16,8, ,2, ,"Colaba, Mumbai"
2019-09-21,40,24,7, ,2,1,"Colaba, Mumbai"
2019-09-22,51,43,6,1,2,1,"Colaba, Mumbai"
2019-09-23,63,47,5,1, ,1,"Colaba, Mumbai"
2019-09-24,57,21,8,4,1,2,"Colaba, Mumbai"
2019-09-25,52,27,9,2,3,3,"Colaba, Mumbai"
2019-09-26,63,12,7, ,3, ,"Colaba, Mumbai"
2019-09-27,29,10,4, ,1, ,"Colaba, Mumbai"
2019-09-28,31,13,4, ,1, ,"Colaba, Mumbai"
2019-09-29,33,13,4, ,2,1,"Colaba, Mumbai"
2019-09-30,28,27,2, ,3,2,"Colaba, Mumbai"
2019-10-01,41,41,4,1,4,2,"Colaba, Mumbai"
2019-10-02,58,50,4,2,4,3,"Colaba, Mumbai"
2019-10-03,62,49,7,4,6,3,"Colaba, Mumbai"
2019-10-04,72,61,12,6,8,5,"Colaba, Mumbai"
2019-10-05,109,67,30,8,8,5,"Colaba, Mumbai"
2019-10-06,117,69,28,7,6,4,"Colaba, Mumbai"
2019-10-07,133,74,17,6,4,4,"Colaba, Mumbai"
2019-10-08,138,41,13,7,4,3,"Colaba, Mumbai"
2019-10-09,73,57,21,11,8,5,"Colaba, Mumbai"
2019-10-10,120,51,20,10,8,4,"Colaba, Mumbai"
2019-10-11,100,75,21,9,10,2,"Colaba, Mumbai"
2019-10-12,129,65,27,11,11,4,"Colaba, Mumbai"
2019-10-13,121,79,24,11,9,4,"Colaba, Mumbai"
2019-10-14,148,80,14,12,9,4,"Colaba, Mumbai"
2019-10-15,144,96,37,13,11,5,"Colaba, Mumbai"
2019-10-16,147,95,56,12,8,5,"Colaba, Mumbai"
2019-10-17,154,90,7,16,7,5,"Colaba, Mumbai"
2019-10-18,142,49,3,11,4,4,"Colaba, Mumbai"
2019-10-19,94,18,8,9,3,4,"Colaba, Mumbai"
2019-10-20,56,31,25,7,2,4,"Colaba, Mumbai"
2019-10-21,69,23,15,6,2,3,"Colaba, Mumbai"
2019-10-22,44,24,6,5,4,3,"Colaba, Mumbai"
2019-10-23,59,44,8,12,5,5,"Colaba, Mumbai"
2019-10-24,90,31,4,12,4,4,"Colaba, Mumbai"
2019-10-25,67,28,10,7,3,3,"Colaba, Mumbai"
2019-10-26,52,36,16,4,1,3,"Colaba, Mumbai"
2019-10-27,68,50,19,5,4,3,"Colaba, Mumbai"
2019-10-28,97,67,33,8,20,4,"Colaba, Mumbai"
2019-10-29,125,63,28,10,19,4,"Colaba, Mumbai"
2019-10-30,127,59,13,13,22,3,"Colaba, Mumbai"
2019-10-31,65,42,15,7,22,3,"Colaba, Mumbai"
2019-11-01,59,22,8,4,23,2,"Colaba, Mumbai"
2019-11-02,49,41,13,5,23,3,"Colaba, Mumbai"
2019-11-03,67,51,16,6,13,3,"Colaba, Mumbai"
2019-11-04,88,57,23,6,25,4,"Colaba, Mumbai"
2019-11-05,111,67,19,10,17,5,"Colaba, Mumbai"
2019-11-06,137,23,16,1,9,1,"Colaba, Mumbai"
2019-11-07,56,34,14,3,5,2,"Colaba, Mumbai"
2019-11-08,60,44,18,4,4,2,"Colaba, Mumbai"
2019-11-09,75,66,26,7,4,4,"Colaba, Mumbai"
2019-11-10,125,79,39,13,4,5,"Colaba, Mumbai"
2019-11-11,155,97,50,14,4,5,"Colaba, Mumbai"
2019-11-12,164,81,42,13,9,4,"Colaba, Mumbai"
2019-11-13,153,88,50,14,24,3,"Colaba, Mumbai"
2019-11-14,157,85,34,13,21,6,"Colaba, Mumbai"
2019-11-15,161,87,25,13,31,5,"Colaba, Mumbai"
2019-11-16,164,87,20,13,26,5,"Colaba, Mumbai"
2019-11-17,165,84,47,12,15,5,"Colaba, Mumbai"
2019-11-18,163,110,232,21,12,6,"Colaba, Mumbai"
2019-11-19,176,109,46,28,15,6,"Colaba, Mumbai"
2019-11-20,176,113,27,11,18,5,"Colaba, Mumbai"
2019-11-21,175,103,35,16,42,4,"Colaba, Mumbai"
2019-11-22,170,107,36,14,37,4,"Colaba, Mumbai"
2019-11-23,168,95,40,12,31,5,"Colaba, Mumbai"
2019-11-24,166,94,41,14,20,5,"Colaba, Mumbai"
2019-11-25,167,106,48,19,32,5,"Colaba, Mumbai"
2019-11-26,170,89,26,14,25,4,"Colaba, Mumbai"
2019-11-27,157,86,45,17,22,5,"Colaba, Mumbai"
2019-11-28,160,94,33,17,17,5,"Colaba, Mumbai"
2019-11-29,166,102,32,18,23,6,"Colaba, Mumbai"
2019-11-30,170,117,28,16,20,6,"Colaba, Mumbai"
2019-12-01,178,85,36,13,14,5,"Colaba, Mumbai"
2019-12-02,156,116,16,7,31,3,"Colaba, Mumbai"
2019-12-03,150,101,199,8,13,4,"Colaba, Mumbai"
2019-12-04,134,78,12,2,13,3,"Colaba, Mumbai"
2019-12-05,137,99,45,6,8,4,"Colaba, Mumbai"
2019-12-06,170,97,69,14,7,4,"Colaba, Mumbai"
2019-12-07,160,101,62,18,9,5,"Colaba, Mumbai"
2019-12-08,172,101,49,15,9,5,"Colaba, Mumbai"
2019-12-09,167,101,60,18,12,5,"Colaba, Mumbai"
2019-12-10,169,114,42,17,14,5,"Colaba, Mumbai"
2019-12-11,174,110,38,14,16,4,"Colaba, Mumbai"
2019-12-12,174,84,23,14,14,4,"Colaba, Mumbai"
2019-12-13,142,88,25,15,12,3,"Colaba, Mumbai"
2019-12-14,129,86,12,14,10,4,"Colaba, Mumbai"
2019-12-15,159,103,49,16,12,5,"Colaba, Mumbai"
2019-12-16,171,97,51,16,6,5,"Colaba, Mumbai"
2019-12-17,165,97,62,17,7,5,"Colaba, Mumbai"
2019-12-18,165,95,68,18,9,5,"Colaba, Mumbai"
2019-12-19,166,103,63,19,8,5,"Colaba, Mumbai"
2019-12-20,173,134,33,24,10,6,"Colaba, Mumbai"
2019-12-21,177,107,7,18,12,5,"Colaba, Mumbai"
2019-12-22,175,104,35,13,16,6,"Colaba, Mumbai"
2019-12-23,175,132,45,18,12,6,"Colaba, Mumbai"
2019-12-24,192,133,30,24,12,5,"Colaba, Mumbai"
2019-12-25,203,135,38,13,9,5,"Colaba, Mumbai"
2019-12-26,171,102,62,19,8,6,"Colaba, Mumbai"
2019-12-27,172,93,51,20,7,6,"Colaba, Mumbai"
2019-12-28,165,85,53,17,6,5,"Colaba, Mumbai"
2019-12-29,163, , , , , ,"Colaba, Mumbai"
2019-12-31, ,106,83,22,8,6,"Colaba, Mumbai"
2020-01-01,251,104,55,17,5,6,"Colaba, Mumbai"
2020-01-02,181,97,54,19,4,5,"Colaba, Mumbai"
2020-01-03,171,96,51,16,1,5,"Colaba, Mumbai"
2020-01-04,166,101,50,22,4,6,"Colaba, Mumbai"
2020-01-05,172,128,45,16,5,8,"Colaba, Mumbai"
2020-01-06,199,106,108,19,9,5,"Colaba, Mumbai"
2020-01-07,173,79,44,10,4,4,"Colaba, Mumbai"
2020-01-08,154,87,21,20,8,5,"Colaba, Mumbai"
2020-01-09,152,96,26,22,7,5,"Colaba, Mumbai"
2020-01-10,158,89,38,19,21,4,"Colaba, Mumbai"
2020-01-11,162,102,28,13,4,5,"Colaba, Mumbai"
2020-01-12,171,83,18,14,2,4,"Colaba, Mumbai"
2020-01-13,141,53,9,7, ,1,"Colaba, Mumbai"
2020-01-14,90,60,34,6,1,1,"Colaba, Mumbai"
2020-01-15,90,59,29,14,3,2,"Colaba, Mumbai"
2020-01-16,98,69,36,19,3,3,"Colaba, Mumbai"
2020-01-17,125,93,92,26,7,6,"Colaba, Mumbai"
2020-01-18,165,101,11,23,4,5,"Colaba, Mumbai"
2020-01-19,169,101,37,23,8,6,"Colaba, Mumbai"
2020-01-20,172,260,66,16,6,6,"Colaba, Mumbai"
2020-01-21,175,92,60,22,9,5,"Colaba, Mumbai"
2020-01-22,165,110,53,24,8,5,"Colaba, Mumbai"
2020-01-23,171,90,42,20,8,5,"Colaba, Mumbai"
2020-01-24,162,104,58,19,9,6,"Colaba, Mumbai"
2020-01-25,171,106,55,14,6,5,"Colaba, Mumbai"
2020-01-26,175,59,29,4,6,3,"Colaba, Mumbai"
2020-01-27,111,44,28,6,7,2,"Colaba, Mumbai"
2020-01-28,75,71,31,7,4,2,"Colaba, Mumbai"
2020-01-29,202,82,50,19,9,4,"Colaba, Mumbai"
2020-01-30,125,84,50,19,7,4,"Colaba, Mumbai"
2020-01-31,145,92,41,25,5,5,"Colaba, Mumbai"
2020-02-01,155,90,34,19,7,5,"Colaba, Mumbai"
2020-02-02,162,79,43,10,6,5,"Colaba, Mumbai"
2020-02-03,154,86,55,15,5,5,"Colaba, Mumbai"
2020-02-04,156,84,50,21,7,4,"Colaba, Mumbai"
2020-02-05,130,68,47,10,5,3,"Colaba, Mumbai"
