date, pm25, pm10, o3, no2, so2, co,location
2021-12-27, ,16,16,13,2,33,"Deonar, Mumbai"
2021-12-28,36,50,6,12,2,30,"Deonar, Mumbai"
2021-12-29,88,96,14,14,10,32,"Deonar, Mumbai"
2021-12-30,159,102,7,15,3,34,"Deonar, Mumbai"
2021-12-31,163,89,17,17,4,35,"Deonar, Mumbai"
2022-01-01,154,94,16,16,3,36,"Deonar, Mumbai"
2022-01-02,157,100,24,13,8,37,"Deonar, Mumbai"
2022-01-03,159,111,14,14,7,38,"Deonar, Mumbai"
2022-01-04,168,110,12,17,11,38,"Deonar, Mumbai"
2022-01-05,168,89,9,9,4,36,"Deonar, Mumbai"
2022-01-06,151,99,10,10,11,36,"Deonar, Mumbai"
2022-01-07,162,76,2,9,14,35,"Deonar, Mumbai"
2022-01-08,139,54,13,6,6,32,"Deonar, Mumbai"
2022-01-09,94,63,11,11,8,29,"Deonar, Mumbai"
2022-01-10,110,90,8,14,8,34,"Deonar, Mumbai"
2022-01-11,156,82,8,14,16,35,"Deonar, Mumbai"
2022-01-12,144,98,8,9, ,39,"Deonar, Mumbai"
2022-01-13,162,100,12,14,3,21,"Deonar, Mumbai"
2022-01-14,159,100,11,14,2,5,"Deonar, Mumbai"
2022-01-15,162,92,23,6,2,5,"Deonar, Mumbai"
2022-01-16,153,91,20,17,12,12,"Deonar, Mumbai"
2022-01-17,154,102,23,15, ,2,"Deonar, Mumbai"
2022-01-18,161,100,21,8,2,2,"Deonar, Mumbai"
2022-01-19,159,92,22,11, ,3,"Deonar, Mumbai"
2022-01-20,150,71,20,9,2,3,"Deonar, Mumbai"
2022-01-21,125,67,15,11, ,2,"Deonar, Mumbai"
2022-01-22,122,518,22,4, ,1,"Deonar, Mumbai"
2022-01-23,363,243,20,6,1,3,"Deonar, Mumbai"
2022-01-24,247,164,23,6,3, ,"Deonar, Mumbai"
2022-01-25,205,143,19,9,1, ,"Deonar, Mumbai"
2022-01-26,192,123,18,14,7,22,"Deonar, Mumbai"
2022-01-27,178,104,17,13,10,21,"Deonar, Mumbai"
2022-01-28,166,106,19,16,15,25,"Deonar, Mumbai"
2022-01-29,167,103,13,21,11,22,"Deonar, Mumbai"
2022-01-30,165,104,21,19,14,16,"Deonar, Mumbai"
2022-01-31,165,106,14,27,16, ,"Deonar, Mumbai"
2022-02-01,163,110,16,25,27, ,"Deonar, Mumbai"
2022-02-02,170,93,19,16,18,13,"Deonar, Mumbai"
2022-02-03,153,126,22,10,2,6,"Deonar, Mumbai"
2022-02-04,179,160,21,9, ,9,"Deonar, Mumbai"
2022-02-05,204,143,10,12,9,23,"Deonar, Mumbai"
2022-02-06,191,102,23,14,7,25,"Deonar, Mumbai"
2022-02-07,167,71,25,5, ,10,"Deonar, Mumbai"
2022-02-08,133,79,27,12, ,12,"Deonar, Mumbai"
2022-02-09,145,100,15,13, ,14,"Deonar, Mumbai"
2022-02-10,164,98,14,6,1,13,"Deonar, Mumbai"
2022-02-11,160,97,23,8,1,15,"Deonar, Mumbai"
2022-02-12,159,107,13,15,1,18,"Deonar, Mumbai"
2022-02-13,165,89,24,15,3, ,"Deonar, Mumbai"
2022-02-14,153,66,22,12,1,17,"Deonar, Mumbai"
2022-02-15,123,59,11,8,1,20,"Deonar, Mumbai"
2022-02-16,111,72,11,16,2,21,"Deonar, Mumbai"
2022-02-17,132,91,11,9,1,21,"Deonar, Mumbai"
2022-02-18,160,137,10,18, ,23,"Deonar, Mumbai"
2022-02-19,151,83,11,5,1,21,"Deonar, Mumbai"
2022-02-20,147,95,21,9,1,23,"Deonar, Mumbai"
2022-02-21,159,94,10,16,2,23,"Deonar, Mumbai"
2022-02-22,147,89,16,18,1,24,"Deonar, Mumbai"
2022-02-23,153,114,9,13,1,27,"Deonar, Mumbai"
2022-02-24,173,130,19,11,1,25,"Deonar, Mumbai"
2022-02-25,184,130,9,13,1,25,"Deonar, Mumbai"
2022-02-26,184,105,14,17,3,26,"Deonar, Mumbai"
2022-02-27,168,113,10,10,1,27,"Deonar, Mumbai"
2022-02-28,173,110,15,16,2,27,"Deonar, Mumbai"
2022-03-01,170,126,20,15,4,29,"Deonar, Mumbai"
2022-03-02,179,115,22,21,6,30,"Deonar, Mumbai"
2022-03-03,172,102,14,14,2,26,"Deonar, Mumbai"
2022-03-04,162,103,20,16,5,28,"Deonar, Mumbai"
2022-03-05,164,110,20,13,1,30,"Deonar, Mumbai"
2022-03-06,169,104,19,10,6,29,"Deonar, Mumbai"
