date, pm25, pm10, o3, no2, so2, co,location
2021-12-27, ,84,20,8,1,26,"Khindipada-Bhandup West, Mumbai"
2021-12-28,152,64,16,11,3,26,"Khindipada-Bhandup West, Mumbai"
2021-12-29,116,78,13,8,2,26,"Khindipada-Bhandup West, Mumbai"
2021-12-30,138,83,12,7,2,26,"Khindipada-Bhandup West, Mumbai"
2021-12-31,148,67,16,7,2,26,"Khindipada-Bhandup West, Mumbai"
2022-01-01,118,71,13,2,1,24,"Khindipada-Bhandup West, Mumbai"
2022-01-02,125,74,15,2,2,24,"Khindipada-Bhandup West, Mumbai"
2022-01-03,133,78,23,6,1,25,"Khindipada-Bhandup West, Mumbai"
2022-01-04,136,92,9,8,12,14,"Khindipada-Bhandup West, Mumbai"
2022-01-05,154,80,9,3,20, ,"Khindipada-Bhandup West, Mumbai"
2022-01-06,138,107,14,6,4, ,"Khindipada-Bhandup West, Mumbai"
2022-01-07,170,79,8,3, , ,"Khindipada-Bhandup West, Mumbai"
2022-01-08,144, , , , , ,"Khindipada-Bhandup West, Mumbai"
2022-01-09, ,39,12,1,1,8,"Khindipada-Bhandup West, Mumbai"
2022-01-10,67,78,13,1,1,24,"Khindipada-Bhandup West, Mumbai"
2022-01-11,141,74,12,1,1,26,"Khindipada-Bhandup West, Mumbai"
2022-01-12,125,93,15,3,6,30,"Khindipada-Bhandup West, Mumbai"
2022-01-13,154,70,17,3,7,37,"Khindipada-Bhandup West, Mumbai"
2022-01-14,133,76,15,10,2,28,"Khindipada-Bhandup West, Mumbai"
2022-01-15,140,65,24,7,3,28,"Khindipada-Bhandup West, Mumbai"
2022-01-16,113,72,23,5,3,29,"Khindipada-Bhandup West, Mumbai"
2022-01-17,127,72,29,1,5,32,"Khindipada-Bhandup West, Mumbai"
2022-01-18,130,82,25,1,2,28,"Khindipada-Bhandup West, Mumbai"
2022-01-19,141,63,30,5,3,28,"Khindipada-Bhandup West, Mumbai"
2022-01-20,113,55,14,9,3,26,"Khindipada-Bhandup West, Mumbai"
2022-01-21,99,48,10,12,1,24,"Khindipada-Bhandup West, Mumbai"
2022-01-22,90,487,15,9,2,24,"Khindipada-Bhandup West, Mumbai"
2022-01-23,360,175,29,8,3,25,"Khindipada-Bhandup West, Mumbai"
2022-01-24,217,140,14,12,2,27,"Khindipada-Bhandup West, Mumbai"
2022-01-25,191,120,20,2,3,27,"Khindipada-Bhandup West, Mumbai"
2022-01-26,177,95,16,4,5,28,"Khindipada-Bhandup West, Mumbai"
2022-01-27,163,56,28,11,4,29,"Khindipada-Bhandup West, Mumbai"
2022-01-28,106, , , , , ,"Khindipada-Bhandup West, Mumbai"
2022-01-29, ,30,31,3,4,30,"Khindipada-Bhandup West, Mumbai"
2022-01-30,59,29,33,3,4,29,"Khindipada-Bhandup West, Mumbai"
2022-01-31,60,23,23,12,5,28,"Khindipada-Bhandup West, Mumbai"
2022-02-01,51,33,17,1,2,27,"Khindipada-Bhandup West, Mumbai"
2022-02-02,67,27,16,1,5,29,"Khindipada-Bhandup West, Mumbai"
2022-02-03,58,36,10,1,2,24,"Khindipada-Bhandup West, Mumbai"
