date, pm25, pm10, o3, no2, so2, co,location
2019-12-02, ,169,13,32,21,9,"Mahape, Navi Mumbai"
2019-12-03,116,132,19,20,8,7,"Mahape, Navi Mumbai"
2019-12-04,200,123,19,21,6,7,"Mahape, Navi Mumbai"
2019-12-05,172,96,30,19,9,4,"Mahape, Navi Mumbai"
2019-12-06,166,112,26,25,9,7,"Mahape, Navi Mumbai"
2019-12-07,167,111,43,23,11,7,"Mahape, Navi Mumbai"
2019-12-08,175,104,50,26,11,7,"Mahape, Navi Mumbai"
2019-12-09,168,128,46,25,6,10,"Mahape, Navi Mumbai"
2019-12-10,166,135,46,29,9,11,"Mahape, Navi Mumbai"
2019-12-11,182,131,47,27,9,9,"Mahape, Navi Mumbai"
2019-12-12,182,197,18,29,10,9,"Mahape, Navi Mumbai"
2019-12-13,228,93,45,22,8,6,"Mahape, Navi Mumbai"
2019-12-14,154,90,47,22,9,7,"Mahape, Navi Mumbai"
2019-12-15,155,95,38,23,9,7,"Mahape, Navi Mumbai"
2019-12-16,166,99,23,20,9,9,"Mahape, Navi Mumbai"
2019-12-17,155,104,34,20,9,9,"Mahape, Navi Mumbai"
2019-12-18,156,90,35,21,9,7,"Mahape, Navi Mumbai"
2019-12-19,154,115,44,31,8,11,"Mahape, Navi Mumbai"
2019-12-20,174,127,29,28,9,12,"Mahape, Navi Mumbai"
2019-12-21,178,116,25,26,9,13,"Mahape, Navi Mumbai"
2019-12-22,177,129,25,31,10,14,"Mahape, Navi Mumbai"
2019-12-23,181,138,30,35,10,13,"Mahape, Navi Mumbai"
2019-12-24,197,127,37,20,9,10,"Mahape, Navi Mumbai"
2019-12-25,196,103,34,17,10,9,"Mahape, Navi Mumbai"
2019-12-26,169,116,31,24,9,10,"Mahape, Navi Mumbai"
2019-12-27,175,92,30,21,8,8,"Mahape, Navi Mumbai"
2019-12-28,163,93,36,23,12,8,"Mahape, Navi Mumbai"
2019-12-29,164, , , , , ,"Mahape, Navi Mumbai"
2019-12-31, ,125,69,31,11,13,"Mahape, Navi Mumbai"
2020-01-01,214,113,53,25,7,10,"Mahape, Navi Mumbai"
2020-01-02,185,102,47,21,8,9,"Mahape, Navi Mumbai"
2020-01-03,176,262,53,18,7,9,"Mahape, Navi Mumbai"
2020-01-04,175,108,29,18,9,14,"Mahape, Navi Mumbai"
2020-01-05,171,96,91,27,17,9,"Mahape, Navi Mumbai"
2020-01-06,160,137,28,21,5,8,"Mahape, Navi Mumbai"
2020-01-07,197,89,31,20,2,7,"Mahape, Navi Mumbai"
2020-01-08,152,85,43,19,3,6,"Mahape, Navi Mumbai"
2020-01-09,279,90,27,22,4,8,"Mahape, Navi Mumbai"
2020-01-10,157,123,34,27,4,10,"Mahape, Navi Mumbai"
2020-01-11,157,117,38,28,4,11,"Mahape, Navi Mumbai"
2020-01-12,171,95,26,20,2,9,"Mahape, Navi Mumbai"
2020-01-13,216,77,29,14,2,5,"Mahape, Navi Mumbai"
2020-01-14,139,68,35,19,3,5,"Mahape, Navi Mumbai"
2020-01-15,114,71,34,19,2,5,"Mahape, Navi Mumbai"
2020-01-16,125,141,40,20,3,6,"Mahape, Navi Mumbai"
2020-01-17,138,421,56,24,5,10,"Mahape, Navi Mumbai"
2020-01-18,169,360,55,23,6,10,"Mahape, Navi Mumbai"
2020-01-19,166,123,53,35,6,15,"Mahape, Navi Mumbai"
