date, pm25, pm10, o3, no2, so2, co,location
2021-12-27, ,93,12,4,1,14,"Malad West, Mumbai"
2021-12-28,55,74,12,3,1,11,"Malad West, Mumbai"
2021-12-29,50,89,12,4,1,12,"Malad West, Mumbai"
2021-12-30,53,83,11,4,1,14,"Malad West, Mumbai"
2021-12-31,59,128,12,4,1,16,"Malad West, Mumbai"
2022-01-01,47,87,11,4,1,17,"Malad West, Mumbai"
2022-01-02,54,90,15,4,2,20,"Malad West, Mumbai"
2022-01-03,51,93,15,3,2,20,"Malad West, Mumbai"
2022-01-04,51,96,15,3,2,20,"Malad West, Mumbai"
2022-01-05,45,81,10,3,2,14,"Malad West, Mumbai"
2022-01-06,59,104,11,3,2,20,"Malad West, Mumbai"
2022-01-07,55,70,5,3,1,17,"Malad West, Mumbai"
2022-01-08,40,48,12,3,2,7,"Malad West, Mumbai"
2022-01-09,42,52,16,3,2,2,"Malad West, Mumbai"
2022-01-10,58,82,16,3,2,10,"Malad West, Mumbai"
2022-01-11,53,72,15,3,2,6,"Malad West, Mumbai"
2022-01-12,60,84,16,3,2,10,"Malad West, Mumbai"
2022-01-13,51,86,14,3,2,12,"Malad West, Mumbai"
2022-01-14,56,87,12,3,2,13,"Malad West, Mumbai"
2022-01-15,57,73,11,3,2,14,"Malad West, Mumbai"
2022-01-16,59,10,13,3,2,15,"Malad West, Mumbai"
2022-01-17,59,22,14,3,2,15,"Malad West, Mumbai"
2022-01-18,84,91,17,3,2,12,"Malad West, Mumbai"
2022-01-19,171,93,12,3,2,12,"Malad West, Mumbai"
2022-01-20,161,50,6,3,1,10,"Malad West, Mumbai"
2022-01-21,125,58,6,2,2,12,"Malad West, Mumbai"
2022-01-22,104,447,11,2,2,2,"Malad West, Mumbai"
2022-01-23,116,183,12,2,2,1,"Malad West, Mumbai"
2022-01-24,121,138,14,3,2,3,"Malad West, Mumbai"
2022-01-25,146,116,16,3,2,5,"Malad West, Mumbai"
2022-01-26,154,120,16,3,2,14,"Malad West, Mumbai"
2022-01-27,166,91,16,3,2,7,"Malad West, Mumbai"
2022-01-28,153,102,18,3,2,8,"Malad West, Mumbai"
2022-01-29,149,103,18,3,2,14,"Malad West, Mumbai"
2022-01-30,165,91,23,3,2,13,"Malad West, Mumbai"
2022-01-31,172,78,14,3,2,10,"Malad West, Mumbai"
2022-02-01,167,92,14,3,2,13,"Malad West, Mumbai"
2022-02-02,172,95,7,3,2,15,"Malad West, Mumbai"
2022-02-03,158,131,8,2,1,8,"Malad West, Mumbai"
2022-02-04,107,136,13,3,2,9,"Malad West, Mumbai"
2022-02-05,148,121,20,3,2,9,"Malad West, Mumbai"
2022-02-06,159,81,11,2,2,10,"Malad West, Mumbai"
2022-02-07,128,59,8,3,2,9,"Malad West, Mumbai"
2022-02-08,101,66,9,2,1,9,"Malad West, Mumbai"
2022-02-09,122,80,15,3,2,8,"Malad West, Mumbai"
2022-02-10,154,83,15,3,2,7,"Malad West, Mumbai"
2022-02-11,140,136,18,3,2,9,"Malad West, Mumbai"
2022-02-12,156,100,19,3,2,13,"Malad West, Mumbai"
2022-02-13,167,82,12,3,2,11,"Malad West, Mumbai"
2022-02-14,151,61,10,3,1,8,"Malad West, Mumbai"
2022-02-15,119,45,7,2,2,9,"Malad West, Mumbai"
2022-02-16,103,64,8,3,2,12,"Malad West, Mumbai"
2022-02-17,125,85,8,3,2,15,"Malad West, Mumbai"
2022-02-18,148,82,12,3,1,11,"Malad West, Mumbai"
2022-02-19,155,77,16,3,2,10,"Malad West, Mumbai"
2022-02-20,158,94,19,3,2,12,"Malad West, Mumbai"
2022-02-21,160,80,8,2,2,11,"Malad West, Mumbai"
2022-02-22,146,73,9,3,2,12,"Malad West, Mumbai"
2022-02-23,142,96,18,3,2,12,"Malad West, Mumbai"
2022-02-24,165,128,20,3,2,10,"Malad West, Mumbai"
2022-02-25,163,124,13,3,2,11,"Malad West, Mumbai"
2022-02-26,152,105,22,3,1,9,"Malad West, Mumbai"
2022-02-27,157,114,21,3,1,10,"Malad West, Mumbai"
2022-02-28,167,121,18,3,2,10,"Malad West, Mumbai"
2022-03-01,169,134,18,3,2,13,"Malad West, Mumbai"
2022-03-02,169,109,22,3,2,11,"Malad West, Mumbai"
2022-03-03,162,87,20,3,1,7,"Malad West, Mumbai"
2022-03-04,138,120,21,3,2,13,"Malad West, Mumbai"
2022-03-05,157,130,17,3,2,17,"Malad West, Mumbai"
2022-03-06,167,112,18,3,2,13,"Malad West, Mumbai"
2022-03-07,161,102,18,3,2,13,"Malad West, Mumbai"
2022-03-08,156,138,17,3,2,15,"Malad West, Mumbai"
2022-03-09,167,120,20,3,2,14,"Malad West, Mumbai"
2022-03-10,170,119,22,4,2,12,"Malad West, Mumbai"
2022-03-11,167,83,25,6,2,7,"Malad West, Mumbai"
2022-03-12,152,109,14,5,2,10,"Malad West, Mumbai"
2022-03-13,138,114,17,5,2,9,"Malad West, Mumbai"
2022-03-14,151,107,27,6,2,8,"Malad West, Mumbai"
2022-03-15,160,101,20,5,2,9,"Malad West, Mumbai"
2022-03-16,150,97,21,6,2,8,"Malad West, Mumbai"
2022-03-17,154,87,19,5,1,8,"Malad West, Mumbai"
2022-03-18,149,82,9,5,2,10,"Malad West, Mumbai"
2022-03-19,107,100,4,5,1,9,"Malad West, Mumbai"
2022-03-20,90,100,11,5,2,8,"Malad West, Mumbai"
2022-03-21,90,88,14,5,2,6,"Malad West, Mumbai"
2022-03-22,122,96,16,6,2,4,"Malad West, Mumbai"
2022-03-23,113,105,18,6,2,5,"Malad West, Mumbai"
2022-03-24,143,81,8,6,2,6,"Malad West, Mumbai"
2022-03-25,100,84,8,6,2,7,"Malad West, Mumbai"
2022-03-26,81,84,7,6,2,7,"Malad West, Mumbai"
2022-03-27,76,91,6,6,2,8,"Malad West, Mumbai"
2022-03-28,92,91,6,5,2,7,"Malad West, Mumbai"
2022-03-29,95,92,6,6,2,6,"Malad West, Mumbai"
2022-03-30,85,91,6,5,2,6,"Malad West, Mumbai"
2022-03-31,97,159,377,6,2,5,"Malad West, Mumbai"
2022-04-01,115,135,370,6,2,5,"Malad West, Mumbai"
2022-04-02,94,114,404,5,1,4,"Malad West, Mumbai"
2022-04-03,86,100,380,6,2,5,"Malad West, Mumbai"
2022-04-04,83,89,382,5,2,7,"Malad West, Mumbai"
2022-04-05,83,89,383,5,23,7,"Malad West, Mumbai"
2022-04-06,82,105,414,5,2,7,"Malad West, Mumbai"
2022-04-07,104,52,392,6,18,7,"Malad West, Mumbai"
2022-04-08,107,11,381,6,3,6,"Malad West, Mumbai"
2022-04-09,29,6,387,5,24,6,"Malad West, Mumbai"
2022-04-10,23,5,387,6,13,5,"Malad West, Mumbai"
2022-04-11,32,5,389,6,19,5,"Malad West, Mumbai"
2022-04-12,25,4,390,6,2,4,"Malad West, Mumbai"
2022-04-13,26,6,388,5,2,6,"Malad West, Mumbai"
2022-04-14,29,6,409,5, ,6,"Malad West, Mumbai"
2022-04-15,27,6,407,6, ,6,"Malad West, Mumbai"
2022-04-16,27,6,341,5, ,5,"Malad West, Mumbai"
2022-04-17,27,30,335,5,20,6,"Malad West, Mumbai"
2022-04-18,53,69,7,5, ,7,"Malad West, Mumbai"
2022-04-19,95,70,14,5, ,7,"Malad West, Mumbai"
2022-04-20,79,83,28,6, ,6,"Malad West, Mumbai"
2022-04-21,129,106,27,6, ,8,"Malad West, Mumbai"
2022-04-22,142,178,22,6, ,9,"Malad West, Mumbai"
2022-04-23,130,88,10,6, ,8,"Malad West, Mumbai"
2022-04-24,97,82,25,6, ,6,"Malad West, Mumbai"
2022-04-25,119,74,11,6, ,6,"Malad West, Mumbai"
2022-04-26,93,68,14,5, ,3,"Malad West, Mumbai"
2022-04-27,73,82,14,6, ,9,"Malad West, Mumbai"
2022-04-28,94,84,8,5, ,8,"Malad West, Mumbai"
2022-04-29,91,92,5,5, ,8,"Malad West, Mumbai"
2022-04-30,87,346, , , ,10,"Malad West, Mumbai"
2022-05-01,71,335, , , ,11,"Malad West, Mumbai"
2022-05-02,69, , , , ,12,"Malad West, Mumbai"
2022-05-04, ,89,4,6,1,6,"Malad West, Mumbai"
2022-05-05,68,101,6,5,1,7,"Malad West, Mumbai"
2022-05-06,82,151,10,5,1,5,"Malad West, Mumbai"
2022-05-07,87,105,10,5,1,4,"Malad West, Mumbai"
2022-05-08,65,85,7,5,1,4,"Malad West, Mumbai"
2022-05-09,60,79,7,5,1,3,"Malad West, Mumbai"
2022-05-10,72,88,7,5,1,5,"Malad West, Mumbai"
2022-05-11,72,91,6, ,1,5,"Malad West, Mumbai"
2022-05-12,51,104,6, ,1,4,"Malad West, Mumbai"
2022-05-13,44,112,6, ,1,5,"Malad West, Mumbai"
2022-05-14,29,89,7, ,1,4,"Malad West, Mumbai"
2022-05-15,17,96,7, ,1,4,"Malad West, Mumbai"
2022-05-16,23,130,8, ,1,4,"Malad West, Mumbai"
2022-05-17,26,203,10, ,1,3,"Malad West, Mumbai"
2022-05-18,45,154,8, ,1,3,"Malad West, Mumbai"
2022-05-19,51,107,7, ,1,3,"Malad West, Mumbai"
2022-05-20,45,102,5, ,1,1,"Malad West, Mumbai"
2022-05-21,49,102,4, ,1,2,"Malad West, Mumbai"
2022-05-22,31,161,3, ,1,3,"Malad West, Mumbai"
2022-05-23,32,77,5, ,1,2,"Malad West, Mumbai"
2022-05-24,25,73,7, , ,6,"Malad West, Mumbai"
2022-05-25,48,85,8, ,1,12,"Malad West, Mumbai"
2022-05-26,59, , , , , ,"Malad West, Mumbai"
2022-06-01, ,102,2, ,1,19,"Malad West, Mumbai"
2022-06-02,59,81,5, , ,14,"Malad West, Mumbai"
2022-06-03,48,68,5, ,1,12,"Malad West, Mumbai"
2022-06-04,56,65,6, ,1,13,"Malad West, Mumbai"
2022-06-05,48,70,3, ,1,14,"Malad West, Mumbai"
2022-06-06,67,64,4, ,1,15,"Malad West, Mumbai"
2022-06-07,56,50,5, ,1,15,"Malad West, Mumbai"
2022-06-08,60,186,4, ,1,17,"Malad West, Mumbai"
2022-06-09,69,141,5, , ,22,"Malad West, Mumbai"
2022-06-10,79,122,2, ,1,17,"Malad West, Mumbai"
2022-06-11,64,28,1, ,1,8,"Malad West, Mumbai"
2022-06-12,49,35,3, ,1,8,"Malad West, Mumbai"
2022-06-13,56,44,3, ,1,8,"Malad West, Mumbai"
2022-06-14,48,42,3, ,1,8,"Malad West, Mumbai"
2022-06-15,57,35,1, ,1,9,"Malad West, Mumbai"
2022-06-16,60,46,1, , ,10,"Malad West, Mumbai"
2022-06-17,63,45,2, , ,7,"Malad West, Mumbai"
2022-06-18,58,31,1, , ,8,"Malad West, Mumbai"
2022-06-19,56,27,1,1,1,7,"Malad West, Mumbai"
2022-06-20,50,60,2,2,1,6,"Malad West, Mumbai"
2022-06-21,55,44,3,2,1,6,"Malad West, Mumbai"
2022-06-22,49,37,5,2,1,5,"Malad West, Mumbai"
2022-06-23,66,29,3,2,1,7,"Malad West, Mumbai"
2022-06-24,68,32,7,2,1,5,"Malad West, Mumbai"
2022-06-25,70,27,6,2,1,3,"Malad West, Mumbai"
2022-06-26,47,30,4,2,1,6,"Malad West, Mumbai"
2022-06-27,57,35,2,2,1,6,"Malad West, Mumbai"
2022-06-28,66,38,1,1,1,8,"Malad West, Mumbai"
2022-06-29,66,18,1,2,1,6,"Malad West, Mumbai"
2022-06-30,58,30,1,2,1,5,"Malad West, Mumbai"
2022-07-01,71,43,3,1,1,4,"Malad West, Mumbai"
2022-07-02,59,46,3,1, ,4,"Malad West, Mumbai"
2022-07-03,57,25,1,1,1,5,"Malad West, Mumbai"
2022-07-04,47,21,3,1,1,5,"Malad West, Mumbai"
2022-07-05,61,24,4,1,1,4,"Malad West, Mumbai"
2022-07-06,59,30,5,1,1,2,"Malad West, Mumbai"
2022-07-07,52,40,3,1,1,2,"Malad West, Mumbai"
2022-07-08,54,34,4, ,1,1,"Malad West, Mumbai"
2022-07-09,45,35,4, ,1,1,"Malad West, Mumbai"
2022-07-10,48,32,5, ,1, ,"Malad West, Mumbai"
2022-07-11,52, , , , , ,"Malad West, Mumbai"
2022-07-12, ,29,6,2,1,3,"Malad West, Mumbai"
2022-07-13,46,29,5,1,1,2,"Malad West, Mumbai"
2022-07-14,52,32,6,2,1,3,"Malad West, Mumbai"
2022-07-15,53,34,3,2,1,3,"Malad West, Mumbai"
2022-07-16,48,34,3,1,1,3,"Malad West, Mumbai"
2022-07-17,50,32,4,2,1,3,"Malad West, Mumbai"
2022-07-18,40,38,5,1,1,2,"Malad West, Mumbai"
2022-07-19,55,29,4,2,1,3,"Malad West, Mumbai"
2022-07-20,45,28,4,1,1,2,"Malad West, Mumbai"
2022-07-21,56,30,4,1,1,1,"Malad West, Mumbai"
2022-07-22, ,34,4,2,1, ,"Malad West, Mumbai"
2022-07-23,3,29,4,2,1,3,"Malad West, Mumbai"
2022-07-24,4,30,3,2,1,6,"Malad West, Mumbai"
2022-07-25,2,41,4,3,1,7,"Malad West, Mumbai"
2022-07-26,29,24,2,3,1,10,"Malad West, Mumbai"
2022-07-27,45,42,8,3,1,11,"Malad West, Mumbai"
2022-07-28,47,23,4,2,1,9,"Malad West, Mumbai"
2022-07-29,46,25,4,1,1,8,"Malad West, Mumbai"
2022-07-30,45,28,6,2,1,8,"Malad West, Mumbai"
2022-07-31,47,24,4,2,1,7,"Malad West, Mumbai"
2022-08-01,52,23,4,1,1,8,"Malad West, Mumbai"
2022-08-02,42,19,4,2,1,9,"Malad West, Mumbai"
2022-08-03,45,18,3,2,1,9,"Malad West, Mumbai"
2022-08-04, ,16,2,2,1,11,"Malad West, Mumbai"
2022-08-05, ,17,3,3,1,11,"Malad West, Mumbai"
2022-08-06, ,11,3,3,1,10,"Malad West, Mumbai"
2022-08-07, ,8,2,4,1,11,"Malad West, Mumbai"
2022-08-08, ,15,2,2,1,6,"Malad West, Mumbai"
2022-08-09,42,15,1,3,1,4,"Malad West, Mumbai"
2022-08-10,44,17,2,2,1,4,"Malad West, Mumbai"
2022-08-11,45,17,3,2,1,3,"Malad West, Mumbai"
2022-08-12,45,39,3,2,1,5,"Malad West, Mumbai"
2022-08-13,45,100,2,3,1,8,"Malad West, Mumbai"
2022-08-14,48,67,2,2,1,7,"Malad West, Mumbai"
2022-08-15,44,78,1,4,1,7,"Malad West, Mumbai"
2022-08-16,41,27, ,6,1,8,"Malad West, Mumbai"
2022-08-17,4,37,1,5,1,8,"Malad West, Mumbai"
2022-08-18,36,32,2,4,1,7,"Malad West, Mumbai"
2022-08-19,24,22,1,3,1,8,"Malad West, Mumbai"
2022-08-20, ,25,2,3,1,6,"Malad West, Mumbai"
2022-08-21, ,28,2,3,1,3,"Malad West, Mumbai"
2022-08-22, ,39,2,3,1, ,"Malad West, Mumbai"
2022-08-23,14,32,1,3,1,4,"Malad West, Mumbai"
2022-08-24,22,28,3,3,1,8,"Malad West, Mumbai"
2022-08-25,43,35,4,3,1,8,"Malad West, Mumbai"
2022-08-26,53,49,6,3,1,7,"Malad West, Mumbai"
2022-08-27,46,39,5,3,1,7,"Malad West, Mumbai"
2022-08-28,44,42,6,3,1,10,"Malad West, Mumbai"
2022-08-29,44,49,6,2,1,10,"Malad West, Mumbai"
2022-08-30,47,44,9,2,1,10,"Malad West, Mumbai"
2022-08-31,46,26,11,3,1,9,"Malad West, Mumbai"
2022-09-01,51,47,12, ,1,9,"Malad West, Mumbai"
2022-09-02, ,48,8, ,1,9,"Malad West, Mumbai"
2022-09-03, ,33, , ,1, ,"Malad West, Mumbai"
2022-09-04, ,28,3, ,1,26,"Malad West, Mumbai"
2022-09-05, ,31,3, , ,19,"Malad West, Mumbai"
2022-09-06,56,43,7, ,1,20,"Malad West, Mumbai"
2022-09-07,79,38,4, ,1,20,"Malad West, Mumbai"
2022-09-08,75,44,9,1,1,21,"Malad West, Mumbai"
2022-09-09,73,41,6, ,1,25,"Malad West, Mumbai"
2022-09-10,75,35,2, ,1,23,"Malad West, Mumbai"
2022-09-11,61,30, , ,1,22,"Malad West, Mumbai"
2022-09-12,58,23, , ,1,18,"Malad West, Mumbai"
2022-09-13,58,16,1, , ,9,"Malad West, Mumbai"
2022-09-14,55,56,1, ,1,6,"Malad West, Mumbai"
2022-09-15,54,95,1, ,1,4,"Malad West, Mumbai"
2022-09-16,53,32,2, ,1,6,"Malad West, Mumbai"
2022-09-17,53,26,1, ,1,4,"Malad West, Mumbai"
2022-09-18,55,33,2, ,1,6,"Malad West, Mumbai"
2022-09-19,66,37,2, ,1,4,"Malad West, Mumbai"
2022-09-20,72,36,2, ,1,14,"Malad West, Mumbai"
2022-09-21,64,40,2, ,1,13,"Malad West, Mumbai"
2022-09-22,64,46,4, ,1,5,"Malad West, Mumbai"
2022-09-23,73,43,4, ,1,4,"Malad West, Mumbai"
2022-09-24,69,32,5, ,1,4,"Malad West, Mumbai"
2022-09-25, ,39,4, ,1,5,"Malad West, Mumbai"
2022-09-26, ,36,6, ,1,5,"Malad West, Mumbai"
2022-09-27, ,49,3, ,1,5,"Malad West, Mumbai"
2022-09-28, ,49,2, ,1,4,"Malad West, Mumbai"
2022-09-29, ,47,8, ,1,2,"Malad West, Mumbai"
2022-09-30, ,45,7, ,1,3,"Malad West, Mumbai"
2022-10-01, ,19,6, ,1,1,"Malad West, Mumbai"
2022-10-02, ,19,6, ,1,1,"Malad West, Mumbai"
2022-10-03, ,31,8, ,1, ,"Malad West, Mumbai"
2022-10-04,8,44,9, ,1,4,"Malad West, Mumbai"
2022-10-06,25,32,6, ,1,9,"Malad West, Mumbai"
2022-10-07,50,32,1, ,1,11,"Malad West, Mumbai"
2022-10-08,29,27,1, ,1,13,"Malad West, Mumbai"
2022-10-09,53,36,4, ,1,9,"Malad West, Mumbai"
2022-10-10,39,35,8, ,2,9,"Malad West, Mumbai"
2022-10-11,68,42,5, ,1,8,"Malad West, Mumbai"
2022-10-12,35,42,5, ,2,15,"Malad West, Mumbai"
2022-10-13,22,53,5, ,1,17,"Malad West, Mumbai"
2022-10-14,34,52,13, ,3,7,"Malad West, Mumbai"
2022-10-15,20,56,12, ,4,7,"Malad West, Mumbai"
2022-10-16,44,57,16, ,4,3,"Malad West, Mumbai"
2022-10-24,39,119,1, ,8,11,"Malad West, Mumbai"
2022-10-25,44,211,17,2,4,8,"Malad West, Mumbai"
2022-10-26,40,101,16,4,6,8,"Malad West, Mumbai"
2022-10-27,45,107,18,4,5,7,"Malad West, Mumbai"
2022-10-28,42,87,17,4,6,9,"Malad West, Mumbai"
2022-10-29,34,78,16,4,5,7,"Malad West, Mumbai"
2022-10-30,56,73,18,4,5,5,"Malad West, Mumbai"
2022-10-31, ,71,18,4,7,7,"Malad West, Mumbai"
2022-11-01, ,80,21,4,5,5,"Malad West, Mumbai"
2022-11-02,92,80,18,4,5,7,"Malad West, Mumbai"
2022-11-03,71,71,18,4,5,8,"Malad West, Mumbai"
2022-11-04,60,71,18,4,5,7,"Malad West, Mumbai"
