date, pm25, pm10, o3, no2, so2, co,location
2021-12-27, ,132,34,42,4,5,"Mazgaon, Mumbai"
2021-12-28,204,98,16,22,1,4,"Mazgaon, Mumbai"
2021-12-29,176,112,15,4,6,4,"Mazgaon, Mumbai"
2021-12-30,187,123,30,4,1,5,"Mazgaon, Mumbai"
2021-12-31,194,121,17,3,1,5,"Mazgaon, Mumbai"
2022-01-01,194,114,17,2,1,5,"Mazgaon, Mumbai"
2022-01-02,181,123,37,3,3,5,"Mazgaon, Mumbai"
2022-01-03,194,140,28,3, ,5,"Mazgaon, Mumbai"
2022-01-04,215,149,26,4,1,5,"Mazgaon, Mumbai"
2022-01-05,221,103,24,2,3,3,"Mazgaon, Mumbai"
2022-01-06,187,110,26,4,3,2,"Mazgaon, Mumbai"
2022-01-07,186,67,23,5,2,2,"Mazgaon, Mumbai"
2022-01-08,145,63,17,8,1,1,"Mazgaon, Mumbai"
2022-01-09,123,63,41,5,4,1,"Mazgaon, Mumbai"
2022-01-10,125,89,44,9,1,1,"Mazgaon, Mumbai"
2022-01-11,168,104,24,5,6,2,"Mazgaon, Mumbai"
2022-01-12,177,110,50,10,4,5,"Mazgaon, Mumbai"
2022-01-13,188,113,32,10,5,7,"Mazgaon, Mumbai"
2022-01-14,189,121,14,10,7,8,"Mazgaon, Mumbai"
2022-01-15,193,111,31,10,2,7,"Mazgaon, Mumbai"
2022-01-16,183,107,32,5,5,8,"Mazgaon, Mumbai"
2022-01-17,183,141,34,10,5,9,"Mazgaon, Mumbai"
2022-01-18,209,137,36,10,2,7,"Mazgaon, Mumbai"
2022-01-19,212,87,20,9,2,5,"Mazgaon, Mumbai"
2022-01-20,159,79,10,9,3,7,"Mazgaon, Mumbai"
2022-01-21,165,83,11,6,3,5,"Mazgaon, Mumbai"
2022-01-22,169,563,19,7,2,3,"Mazgaon, Mumbai"
2022-01-23,561,368,27,9,3,3,"Mazgaon, Mumbai"
2022-01-24,441,300,28,8,4,4,"Mazgaon, Mumbai"
2022-01-25,401,212,28,7,5,4,"Mazgaon, Mumbai"
2022-01-26,333,157,30,9,5,5,"Mazgaon, Mumbai"
2022-01-27,257,130,34,5,7,4,"Mazgaon, Mumbai"
2022-01-28,212,127,25,7,3,2,"Mazgaon, Mumbai"
2022-01-29,204,142,51,5,7,4,"Mazgaon, Mumbai"
2022-01-30,228,140,35,8,4,5,"Mazgaon, Mumbai"
2022-01-31,220,151,30,10,2,4,"Mazgaon, Mumbai"
2022-02-01,221,124,26,5,4,6,"Mazgaon, Mumbai"
2022-02-02,210,153,11,5,1,2,"Mazgaon, Mumbai"
2022-02-03,257,410,21,6,1,1,"Mazgaon, Mumbai"
2022-02-04,475,218,24,7,5,2,"Mazgaon, Mumbai"
