date, pm25, pm10, o3, no2, so2, co,location
2021-12-27, ,102,5,20,16,7,"Mulund West, Mumbai"
2021-12-28,162,79,6,17,16,6,"Mulund West, Mumbai"
2021-12-29,131,94,5,16,15,5,"Mulund West, Mumbai"
2021-12-30,162,441,5,20,19,7,"Mulund West, Mumbai"
2021-12-31,241,75,5,16,16,8,"Mulund West, Mumbai"
2022-01-01,149,140, ,18,27,7,"Mulund West, Mumbai"
2022-01-02,164,161, ,21,20,9,"Mulund West, Mumbai"
2022-01-03,170,109, ,20,19,8,"Mulund West, Mumbai"
2022-01-04,167,122, ,20,19,10,"Mulund West, Mumbai"
2022-01-05,176,147,33,19,22,7,"Mulund West, Mumbai"
2022-01-06,162,144, ,18,25,8,"Mulund West, Mumbai"
2022-01-07,229,132, ,18,23,7,"Mulund West, Mumbai"
2022-01-08,154,45, ,15,369,4,"Mulund West, Mumbai"
2022-01-09,75,195, ,16,482,5,"Mulund West, Mumbai"
2022-01-10,206,95,5,20,157,8,"Mulund West, Mumbai"
2022-01-11,202,101,7,15,66,7,"Mulund West, Mumbai"
2022-01-12,158,113,7,37,25,8,"Mulund West, Mumbai"
2022-01-13,171,98,6,30,45,9,"Mulund West, Mumbai"
2022-01-14,166,91,6,28,14,8,"Mulund West, Mumbai"
2022-01-15,167,75,6,27,20,8,"Mulund West, Mumbai"
2022-01-16,156,123,6,28,25,8,"Mulund West, Mumbai"
2022-01-17,192,95,5,22,18,9,"Mulund West, Mumbai"
2022-01-18,159,114,4,15,33,9,"Mulund West, Mumbai"
2022-01-19,159,85,4,21,64,10,"Mulund West, Mumbai"
2022-01-20,141,105,4,18,86,7,"Mulund West, Mumbai"
2022-01-21,116,73,4,17,61,7,"Mulund West, Mumbai"
2022-01-22,101,496,4,17,93,4,"Mulund West, Mumbai"
2022-01-23,210,252,5,14,225,6,"Mulund West, Mumbai"
2022-01-24,230,177,5,20,68,7,"Mulund West, Mumbai"
2022-01-25,165,266, ,20,95,7,"Mulund West, Mumbai"
2022-01-26,165,117, ,11,37,9,"Mulund West, Mumbai"
2022-01-27,152,86, ,14, ,5,"Mulund West, Mumbai"
2022-01-28,132,342,4,22,113,5,"Mulund West, Mumbai"
2022-01-29,332,91,4,21,33,5,"Mulund West, Mumbai"
2022-01-30,146,103,4,31, ,6,"Mulund West, Mumbai"
2022-01-31,160,91,4,21, ,9,"Mulund West, Mumbai"
2022-02-01,149,146,4,25,258,7,"Mulund West, Mumbai"
2022-02-02,169,105,4,26,1,7,"Mulund West, Mumbai"
2022-02-03,156,141,4,21, ,3,"Mulund West, Mumbai"
2022-02-04,151,150,4,25,7,4,"Mulund West, Mumbai"
2022-02-05,163,130,4,25, ,5,"Mulund West, Mumbai"
2022-02-06,165,186,4,25,3,5,"Mulund West, Mumbai"
2022-02-07,183,80,4,22, ,4,"Mulund West, Mumbai"
2022-02-08,121,78,5,20, ,4,"Mulund West, Mumbai"
2022-02-09,126,169, ,25, ,6,"Mulund West, Mumbai"
2022-02-10,162,114, ,30, ,9,"Mulund West, Mumbai"
2022-02-11,166, , , , , ,"Mulund West, Mumbai"
2022-02-20, ,74,33,17,35,4,"Mulund West, Mumbai"
2022-02-21,201,157,34,9,16,5,"Mulund West, Mumbai"
2022-02-22,169,86,28,1,16,5,"Mulund West, Mumbai"
2022-02-23,131,144,107,4,17,9,"Mulund West, Mumbai"
2022-02-24,159,130,41,3,11,7,"Mulund West, Mumbai"
2022-02-25,164,162,20,2,11,7,"Mulund West, Mumbai"
2022-02-26,179,68,9,7,26,7,"Mulund West, Mumbai"
2022-02-27,134,230,43,1,20,4,"Mulund West, Mumbai"
2022-02-28,226,191,16,9,116,8,"Mulund West, Mumbai"
2022-03-01,239,119,28,7,78,7,"Mulund West, Mumbai"
2022-03-02,162,94,30,6,61,6,"Mulund West, Mumbai"
2022-03-03,145,79,28,6,60,3,"Mulund West, Mumbai"
2022-03-04,101,130,31,7,63,6,"Mulund West, Mumbai"
2022-03-05,175,94,28,7,52,7,"Mulund West, Mumbai"
2022-03-06,152,106,34,12,61,9,"Mulund West, Mumbai"
2022-03-07,163,110, ,15,68,9,"Mulund West, Mumbai"
2022-03-08,167,150, ,13,58,9,"Mulund West, Mumbai"
2022-03-09,198,98, ,12,47,8,"Mulund West, Mumbai"
2022-03-10,162,100, ,13,60,7,"Mulund West, Mumbai"
2022-03-11,157,114, ,14,82,6,"Mulund West, Mumbai"
2022-03-12,170,93, ,12,53,7,"Mulund West, Mumbai"
2022-03-13,137,110, ,12,54,8,"Mulund West, Mumbai"
2022-03-14,140,112, ,15,78,6,"Mulund West, Mumbai"
2022-03-15,176,155, ,13,102,9,"Mulund West, Mumbai"
2022-03-16,204,129, ,18,86,11,"Mulund West, Mumbai"
2022-03-17,174,425, ,9,54,12,"Mulund West, Mumbai"
2022-03-18,174,105, ,9,62,5,"Mulund West, Mumbai"
2022-03-19,140,93, ,8,52,6,"Mulund West, Mumbai"
2022-03-20,111,119, ,8,124,6,"Mulund West, Mumbai"
2022-03-21,123,110, ,4,143,8,"Mulund West, Mumbai"
2022-03-22,153,107, ,2,5,6,"Mulund West, Mumbai"
2022-03-23,138,114, ,3,4,8,"Mulund West, Mumbai"
2022-03-24,162,89,8,2,5,6,"Mulund West, Mumbai"
2022-03-25,120,84,14,2,4,6,"Mulund West, Mumbai"
2022-03-26,106,86,14,3,4,5,"Mulund West, Mumbai"
2022-03-27,104,97,95,4,5,8,"Mulund West, Mumbai"
2022-03-28,120,138,22,2,5,4,"Mulund West, Mumbai"
2022-03-29,184,92,20,3,5,4,"Mulund West, Mumbai"
2022-03-30,112,94,14,5,5,5,"Mulund West, Mumbai"
2022-03-31,118,137,20,3,7,4,"Mulund West, Mumbai"
2022-04-01,152,162,14,3,8,3,"Mulund West, Mumbai"
2022-04-02,173,146,12,2,8,2,"Mulund West, Mumbai"
2022-04-03,158,161,11,3,7,2,"Mulund West, Mumbai"
2022-04-04,179,89,4,5,6,2,"Mulund West, Mumbai"
2022-04-05,93,122,3,4,6,3,"Mulund West, Mumbai"
2022-04-06,135,113,4,5,6,4,"Mulund West, Mumbai"
2022-04-07,143,85,5,5,6,4,"Mulund West, Mumbai"
2022-04-08,106,65,3,3,5,3,"Mulund West, Mumbai"
2022-04-09,88, , ,1, , ,"Mulund West, Mumbai"
2022-04-10,90,74,5,4,6,3,"Mulund West, Mumbai"
2022-04-11,93,133,10,6,7,3,"Mulund West, Mumbai"
2022-04-12,106,97,10,5,8,3,"Mulund West, Mumbai"
2022-04-13,116,74,9,7,8,4,"Mulund West, Mumbai"
2022-04-14,101,69,11,7,8,3,"Mulund West, Mumbai"
2022-04-15,86,74,8,7,8,3,"Mulund West, Mumbai"
2022-04-16,89,99,7,7,9,2,"Mulund West, Mumbai"
2022-04-17,78,123,70,7,8,2,"Mulund West, Mumbai"
2022-04-18,139,101,4,6,8,2,"Mulund West, Mumbai"
2022-04-19,73,105,17,6,7,3,"Mulund West, Mumbai"
2022-04-20,131,83,20,4,7,4,"Mulund West, Mumbai"
2022-04-21,134,95,20,7,8,5,"Mulund West, Mumbai"
2022-04-22,142, , ,7, , ,"Mulund West, Mumbai"
2022-04-23,136, , ,8, , ,"Mulund West, Mumbai"
2022-04-24,170,86,19,5,10,3,"Mulund West, Mumbai"
2022-04-25,105,120,8,6,9,4,"Mulund West, Mumbai"
2022-04-26,128,121,13,5,10,4,"Mulund West, Mumbai"
2022-04-27,162,116,12,6,9,5,"Mulund West, Mumbai"
2022-04-28,141,125,4,7,7,3,"Mulund West, Mumbai"
2022-04-29,131,95,5,6,8,3,"Mulund West, Mumbai"
2022-04-30,114,58,3,7,7,2,"Mulund West, Mumbai"
2022-05-01,69,59,4,8,7,2,"Mulund West, Mumbai"
2022-05-02,75,68,3,8,7,2,"Mulund West, Mumbai"
2022-05-03,79,74,15,8,7,3,"Mulund West, Mumbai"
2022-05-04,84,72,12,8,7,2,"Mulund West, Mumbai"
2022-05-05,84,98,3,7,7,3,"Mulund West, Mumbai"
2022-05-06,102,109,3,8,7,3,"Mulund West, Mumbai"
2022-05-07,119,87,3,7,7,3,"Mulund West, Mumbai"
2022-05-08,104,71,3,8,7,2,"Mulund West, Mumbai"
2022-05-09,78,72,4,8,7,2,"Mulund West, Mumbai"
2022-05-10,73,69,4,8,7,3,"Mulund West, Mumbai"
2022-05-11,77,74,6,8,7,3,"Mulund West, Mumbai"
2022-05-12,75,82, ,8,7,3,"Mulund West, Mumbai"
2022-05-13,89,90,3,7,7,3,"Mulund West, Mumbai"
2022-05-14,108,74, ,9,8,3,"Mulund West, Mumbai"
2022-05-15,87,80, ,5,7,3,"Mulund West, Mumbai"
2022-05-16,85,117, ,7,6,3,"Mulund West, Mumbai"
2022-05-17,122,145, ,6,5,3,"Mulund West, Mumbai"
2022-05-18,149,135, ,7,11,3,"Mulund West, Mumbai"
2022-05-19,143,105, ,7,12,3,"Mulund West, Mumbai"
2022-05-20,111,86, ,7,8,2,"Mulund West, Mumbai"
2022-05-21,101,67, ,8,8,2,"Mulund West, Mumbai"
2022-05-22,68,56, ,7,7,2,"Mulund West, Mumbai"
2022-05-23,66,59, ,6,7,2,"Mulund West, Mumbai"
2022-05-24,68,66, ,7,8,2,"Mulund West, Mumbai"
2022-05-25,66,67, ,7,7,3,"Mulund West, Mumbai"
2022-05-26,69,52, ,6,7,3,"Mulund West, Mumbai"
2022-05-27,66,49, ,7,7,2,"Mulund West, Mumbai"
2022-05-28,57,57, ,6,6,2,"Mulund West, Mumbai"
2022-05-29,62,62, ,6,6,2,"Mulund West, Mumbai"
2022-05-30,77,61, ,7,6,2,"Mulund West, Mumbai"
2022-05-31,62,63, ,6,6,2,"Mulund West, Mumbai"
2022-06-01,65,66, ,7,5,2,"Mulund West, Mumbai"
2022-06-02,70,74, ,7,6,3,"Mulund West, Mumbai"
2022-06-03,75,63, ,8,5,3,"Mulund West, Mumbai"
2022-06-04,59,56, ,6,5,2,"Mulund West, Mumbai"
2022-06-05,57,59, ,7,5,3,"Mulund West, Mumbai"
2022-06-06,63,54, ,7,7,3,"Mulund West, Mumbai"
2022-06-07,62,47, ,6,7,3,"Mulund West, Mumbai"
2022-06-08,46,51, ,7,7,3,"Mulund West, Mumbai"
2022-06-09,50,46, ,7,7,4,"Mulund West, Mumbai"
2022-06-10,65,31, ,8,7,3,"Mulund West, Mumbai"
2022-06-11,43,32, ,9,8,4,"Mulund West, Mumbai"
2022-06-12,44,45, ,8,7,3,"Mulund West, Mumbai"
2022-06-13,51,56, ,8,8,3,"Mulund West, Mumbai"
2022-06-14,66,60, ,8,7,3,"Mulund West, Mumbai"
2022-06-15,56,52, ,8,7,4,"Mulund West, Mumbai"
2022-06-16,65,54, ,8,8,5,"Mulund West, Mumbai"
2022-06-17,70,60, ,8,7,4,"Mulund West, Mumbai"
2022-06-18,68,35, ,8,7,4,"Mulund West, Mumbai"
2022-06-19,56,34, ,9,7,4,"Mulund West, Mumbai"
2022-06-20,49,32, ,8,7,4,"Mulund West, Mumbai"
2022-06-21,55,49, ,8,7,5,"Mulund West, Mumbai"
2022-06-22,69,51, ,9,7,6,"Mulund West, Mumbai"
2022-06-23,72,41, ,8,7,5,"Mulund West, Mumbai"
2022-06-24,64,37, ,17,9,4,"Mulund West, Mumbai"
2022-06-25,43,28, ,12,10,3,"Mulund West, Mumbai"
2022-06-26,37,30, ,10,10,5,"Mulund West, Mumbai"
2022-06-27,64, , , , , ,"Mulund West, Mumbai"
2022-06-28, ,41, ,6,9,7,"Mulund West, Mumbai"
2022-06-29,77,31, ,5,9,6,"Mulund West, Mumbai"
2022-06-30,65,32, ,6,8,6,"Mulund West, Mumbai"
2022-07-01,62,58, ,5,9,6,"Mulund West, Mumbai"
2022-07-02,62,45, ,6,9,6,"Mulund West, Mumbai"
2022-07-03,57,32, ,5,8,5,"Mulund West, Mumbai"
2022-07-04,54,27, ,4,8,6,"Mulund West, Mumbai"
2022-07-05,52,32, ,6,9,6,"Mulund West, Mumbai"
2022-07-06,64,49, ,7,7,6,"Mulund West, Mumbai"
2022-07-07,70,50, ,5,5,5,"Mulund West, Mumbai"
2022-07-08,70,49, ,5,5,5,"Mulund West, Mumbai"
2022-07-09,67,39, ,6,5,5,"Mulund West, Mumbai"
2022-07-10,60,32, ,4,5,6,"Mulund West, Mumbai"
2022-07-11,64,37, ,3,5,5,"Mulund West, Mumbai"
2022-07-12,61,36, ,3,4,4,"Mulund West, Mumbai"
2022-07-13,57,38, ,4,5,5,"Mulund West, Mumbai"
2022-07-14,60,56, ,3,5,6,"Mulund West, Mumbai"
2022-07-15,75,46, ,4,4,5,"Mulund West, Mumbai"
2022-07-16,68,40, ,4,5,5,"Mulund West, Mumbai"
2022-07-17,64,43, ,5,5,6,"Mulund West, Mumbai"
2022-07-18,70,46, ,4,4,6,"Mulund West, Mumbai"
2022-07-19,66,41, ,4,4,5,"Mulund West, Mumbai"
2022-07-20,65,43, ,5,5,6,"Mulund West, Mumbai"
2022-07-21,67,68, ,4,4,6,"Mulund West, Mumbai"
2022-07-22,68,46, ,4,4,5,"Mulund West, Mumbai"
2022-07-23,63,35, ,4,4,5,"Mulund West, Mumbai"
2022-07-24,58,45, ,5,5,6,"Mulund West, Mumbai"
2022-07-25,65,43, ,4,4,5,"Mulund West, Mumbai"
2022-07-26,69,38, ,5,4,6,"Mulund West, Mumbai"
2022-07-27,72,58, ,5,6,8,"Mulund West, Mumbai"
2022-07-28,82,52, ,3,7,4,"Mulund West, Mumbai"
2022-07-29,69,48, ,3,7,5,"Mulund West, Mumbai"
2022-07-30,60,52, ,4,7,4,"Mulund West, Mumbai"
2022-07-31,61,50, ,6,8,5,"Mulund West, Mumbai"
2022-08-01,51,49, ,3,6,6,"Mulund West, Mumbai"
2022-08-02,66,48, ,4,6,6,"Mulund West, Mumbai"
2022-08-03,77,39, ,4,6,6,"Mulund West, Mumbai"
2022-08-04,67,38, ,4,7,6,"Mulund West, Mumbai"
2022-08-05,66,37, ,4,7,6,"Mulund West, Mumbai"
2022-08-06,67,29, ,4,6,6,"Mulund West, Mumbai"
2022-08-07,57,30, ,4,6,6,"Mulund West, Mumbai"
2022-08-08,58,24, ,3,6,6,"Mulund West, Mumbai"
2022-08-09,46,33, ,2,7,6,"Mulund West, Mumbai"
2022-08-10,59,40, ,2,7,6,"Mulund West, Mumbai"
2022-08-11,63,44, ,2,7,6,"Mulund West, Mumbai"
2022-08-12,63,40, ,1,6,5,"Mulund West, Mumbai"
2022-08-13,59,37, ,1,5,6,"Mulund West, Mumbai"
2022-08-14,58,32, ,4,8,8,"Mulund West, Mumbai"
2022-08-15,54,35, ,3,7,6,"Mulund West, Mumbai"
2022-08-16,56,34, ,1,6,6,"Mulund West, Mumbai"
2022-08-17,54,39, ,1,7,6,"Mulund West, Mumbai"
2022-08-18,62,39, ,1,6,6,"Mulund West, Mumbai"
2022-08-19,55,32, ,1,6,7,"Mulund West, Mumbai"
2022-08-20,59,43, ,2,6,5,"Mulund West, Mumbai"
2022-08-21,57,38, ,1,6,5,"Mulund West, Mumbai"
2022-08-22,52,46, ,1,6,6,"Mulund West, Mumbai"
2022-08-23,48,37, ,1,6,7,"Mulund West, Mumbai"
2022-08-24,56,45, ,2,5,7,"Mulund West, Mumbai"
2022-08-25,63,45, ,2,6,7,"Mulund West, Mumbai"
2022-08-26,68,75, ,1,5,7,"Mulund West, Mumbai"
2022-08-27,82,66, ,1,3,7,"Mulund West, Mumbai"
2022-08-28,75,69, ,3,3,8,"Mulund West, Mumbai"
2022-08-29,91,68, ,2,1,7,"Mulund West, Mumbai"
2022-08-30,86,62, ,4,1,6,"Mulund West, Mumbai"
2022-08-31,94,34, ,3,3,6,"Mulund West, Mumbai"
2022-09-01,73,52, , ,7,14,"Mulund West, Mumbai"
2022-09-02,91,67, ,1,6,8,"Mulund West, Mumbai"
2022-09-03,107,85, ,2, ,7,"Mulund West, Mumbai"
2022-09-04,77,48, ,2,1,6,"Mulund West, Mumbai"
2022-09-05,63,35, ,3,5,6,"Mulund West, Mumbai"
2022-09-06,59,47, ,3,7,6,"Mulund West, Mumbai"
2022-09-07,66,40, ,2,7,7,"Mulund West, Mumbai"
2022-09-08,72,45, ,2,7,8,"Mulund West, Mumbai"
2022-09-09,83,58, ,3,7,9,"Mulund West, Mumbai"
2022-09-10,109,49, ,4,8,9,"Mulund West, Mumbai"
