date, pm25, pm10, o3, no2, so2, co,location
2021-12-27, ,131,25,5, ,3,"Navy Nagar-Colaba, Mumbai"
2021-12-28,171,92,23,6,1,2,"Navy Nagar-Colaba, Mumbai"
2021-12-29,150,114,49,27,3,4,"Navy Nagar-Colaba, Mumbai"
2021-12-30,180,116,32,15,2,4,"Navy Nagar-Colaba, Mumbai"
2021-12-31,178,117,37,13,1,5,"Navy Nagar-Colaba, Mumbai"
2022-01-01,176,113,34,12,1,5,"Navy Nagar-Colaba, Mumbai"
2022-01-02,177,114,33,10,1,5,"Navy Nagar-Colaba, Mumbai"
2022-01-03,176,146,37,12,2,6,"Navy Nagar-Colaba, Mumbai"
2022-01-04,201,146,36,9,3,6,"Navy Nagar-Colaba, Mumbai"
2022-01-05,217,114,22,7,2,5,"Navy Nagar-Colaba, Mumbai"
2022-01-06,177,141,23,8,3,5,"Navy Nagar-Colaba, Mumbai"
2022-01-07,207,84,32,6,2,4,"Navy Nagar-Colaba, Mumbai"
2022-01-08,150,59,35,4,4,3,"Navy Nagar-Colaba, Mumbai"
2022-01-09,83,66,51,21,2,2,"Navy Nagar-Colaba, Mumbai"
2022-01-10,108,108,36,8,2,4,"Navy Nagar-Colaba, Mumbai"
2022-01-11,154,93,55,8,5,4,"Navy Nagar-Colaba, Mumbai"
2022-01-12,137,35,67,7,1,7,"Navy Nagar-Colaba, Mumbai"
2022-01-13,70,137,54,7,2,7,"Navy Nagar-Colaba, Mumbai"
2022-01-14,200,119,28,23, ,7,"Navy Nagar-Colaba, Mumbai"
2022-01-15,185,109,53,6,2,7,"Navy Nagar-Colaba, Mumbai"
2022-01-16,166,114,42,12,3,8,"Navy Nagar-Colaba, Mumbai"
2022-01-17,180,120,31,29,1,8,"Navy Nagar-Colaba, Mumbai"
2022-01-18,178,130,37,31,7,8,"Navy Nagar-Colaba, Mumbai"
2022-01-19,186,82,43,18,2,5,"Navy Nagar-Colaba, Mumbai"
2022-01-20,146,86,15,6,1,6,"Navy Nagar-Colaba, Mumbai"
2022-01-21,146,75,27,4, ,5,"Navy Nagar-Colaba, Mumbai"
2022-01-22,113,550,43,4, ,2,"Navy Nagar-Colaba, Mumbai"
2022-01-23,206,371,58,11,4,2,"Navy Nagar-Colaba, Mumbai"
2022-01-24,151,246,51,12,5,5,"Navy Nagar-Colaba, Mumbai"
