date, pm25, pm10, o3, no2, so2, co,location
2019-06-24, ,43,1,2,7,3,"Nerul, Navi Mumbai"
2019-06-25,64,48,1,2,7,3,"Nerul, Navi Mumbai"
2019-06-26,59,24,2,2,7,3,"Nerul, Navi Mumbai"
2019-06-27,30,17,3,2,7,3,"Nerul, Navi Mumbai"
2019-06-28,24,19,4,3,7,4,"Nerul, Navi Mumbai"
2019-06-29,40,19,4,3,7,4,"Nerul, Navi Mumbai"
2019-06-30,45,17,5,5,7,5,"Nerul, Navi Mumbai"
2019-07-01,37,15,3,4,7,5,"Nerul, Navi Mumbai"
2019-07-02,36,31,1,4,7,5,"Nerul, Navi Mumbai"
2019-07-03,53,34,1,4,7,4,"Nerul, Navi Mumbai"
2019-07-04,51,38,2,3,5,2,"Nerul, Navi Mumbai"
2019-07-05,41,35,2,3,3,1,"Nerul, Navi Mumbai"
2019-07-06,28,45,3,2,3,1,"Nerul, Navi Mumbai"
2019-07-07,41,35,6,3,6,2,"Nerul, Navi Mumbai"
2019-07-08,26,35,4,2,4,3,"Nerul, Navi Mumbai"
2019-07-09,28,18,4,5,5,3,"Nerul, Navi Mumbai"
2019-07-10,22,34,4,4,4,3,"Nerul, Navi Mumbai"
2019-07-11,24,34,4,4,4,2,"Nerul, Navi Mumbai"
2019-07-12,29,37,3,5,4,2,"Nerul, Navi Mumbai"
2019-07-13,32,33,4,4,4,2,"Nerul, Navi Mumbai"
2019-07-14,27,44,4,3,4,2,"Nerul, Navi Mumbai"
2019-07-15,28,40,3,4,5,2,"Nerul, Navi Mumbai"
2019-07-16,37,39,4,5,4,3,"Nerul, Navi Mumbai"
2019-07-17,39,57,4,4,5,3,"Nerul, Navi Mumbai"
2019-07-18,52,62,9,7,5,3,"Nerul, Navi Mumbai"
2019-07-19,63,67,6,10,5,4,"Nerul, Navi Mumbai"
2019-07-20,69,52,18,13,6,6,"Nerul, Navi Mumbai"
2019-07-21,102,19,7,7,5,3,"Nerul, Navi Mumbai"
2019-07-22,29,29,6,6,5,2,"Nerul, Navi Mumbai"
2019-07-23,25,10,5,7,4,2,"Nerul, Navi Mumbai"
2019-07-24,30,25,4,6,4,3,"Nerul, Navi Mumbai"
2019-07-25,39,27,5,5,4,2,"Nerul, Navi Mumbai"
2019-07-26,37,27,6,4,4,2,"Nerul, Navi Mumbai"
2019-07-27,35,37,6,5,4,3,"Nerul, Navi Mumbai"
2019-07-28,43,37,6,7,5,3,"Nerul, Navi Mumbai"
2019-07-29,40,23,5,7,4,3,"Nerul, Navi Mumbai"
2019-07-30,30,24,6,4,4,2,"Nerul, Navi Mumbai"
2019-07-31,30,27,6,2,4,1,"Nerul, Navi Mumbai"
