date, pm25, pm10, o3, no2, so2, co,location
2019-12-02, ,131,10,7,18,9,"Powai, Mumbai"
2019-12-03,169,66,12,5,1,6,"Powai, Mumbai"
2019-12-04,121,76,7,4,2,9,"Powai, Mumbai"
2019-12-05,152,87,15,5,1,6,"Powai, Mumbai"
2019-12-06,164,79,17,6,1,7,"Powai, Mumbai"
2019-12-07,154,87,19,5,1,7,"Powai, Mumbai"
2019-12-08,164,84,27,7,1,9,"Powai, Mumbai"
2019-12-09,160,82,22,6,1,9,"Powai, Mumbai"
2019-12-10,158,86,17,6,1,9,"Powai, Mumbai"
2019-12-11,165,79,28,6,2,8,"Powai, Mumbai"
2019-12-12,160,69,22,5,2,7,"Powai, Mumbai"
2019-12-13,133,63,44,8,2,6,"Powai, Mumbai"
2019-12-14,127,75,62,9,3,8,"Powai, Mumbai"
2019-12-15,151,85,51,10,3,9,"Powai, Mumbai"
2019-12-16,162,78,39,9,3,7,"Powai, Mumbai"
2019-12-17,153,78,50,11,5,8,"Powai, Mumbai"
2019-12-18,151,74,29,9,2,7,"Powai, Mumbai"
2019-12-19,148,89,40,11,3,9,"Powai, Mumbai"
2019-12-20,165,86,25,9,3,9,"Powai, Mumbai"
2019-12-21,162,90,29,8,3,9,"Powai, Mumbai"
2019-12-22,166,90,27,11,3,9,"Powai, Mumbai"
2019-12-23,166,106,41,11,3,10,"Powai, Mumbai"
2019-12-24,178,112,24,8,2,10,"Powai, Mumbai"
2019-12-25,185,77,24,6,2,7,"Powai, Mumbai"
2019-12-26,149,84,30,9,2,8,"Powai, Mumbai"
2019-12-27,159,82,32,7,3,7,"Powai, Mumbai"
2019-12-28,159,90,36,8,4,7,"Powai, Mumbai"
2019-12-29,161, , , , , ,"Powai, Mumbai"
2019-12-31, ,97,43,12,4,9,"Powai, Mumbai"
2020-01-01,173,101,37,8,3,7,"Powai, Mumbai"
2020-01-02,179,90,34,7,3,6,"Powai, Mumbai"
2020-01-03,170,89,35,6,2,8,"Powai, Mumbai"
2020-01-04,170,94,23,8,3,9,"Powai, Mumbai"
2020-01-05,164,119,37,8,3,8,"Powai, Mumbai"
2020-01-06,211,88,36,11,3,9,"Powai, Mumbai"
2020-01-07,162,60,105,3,4,6,"Powai, Mumbai"
2020-01-08,131,74,42,7,1,6,"Powai, Mumbai"
2020-01-09,144,83,33,8,1,6,"Powai, Mumbai"
2020-01-10,153,89,39,9,2,6,"Powai, Mumbai"
2020-01-11,156,88,44,10,2,8,"Powai, Mumbai"
2020-01-12,163,74,28,5,1,6,"Powai, Mumbai"
2020-01-13,138,57,32,4,1,4,"Powai, Mumbai"
2020-01-14,94,54,34,7,1,4,"Powai, Mumbai"
2020-01-15,81,53,33,5,1,3,"Powai, Mumbai"
2020-01-16,95,52,27,8,1,5,"Powai, Mumbai"
2020-01-17,109,95,28,13,2,8,"Powai, Mumbai"
2020-01-18,162,94,51,12,3,8,"Powai, Mumbai"
2020-01-19,160,93,54,15,5,8,"Powai, Mumbai"
2020-01-20,161,87,59,16,3,9,"Powai, Mumbai"
2020-01-21,154,75,49,11,3,6,"Powai, Mumbai"
2020-01-22,135,85,48,10,4,7,"Powai, Mumbai"
2020-01-23,153,79,47,10,3,7,"Powai, Mumbai"
2020-01-24,147,90,53,11,3,7,"Powai, Mumbai"
2020-01-25,157,91,69,11,3,8,"Powai, Mumbai"
2020-01-26,160,69,38,9,3,6,"Powai, Mumbai"
2020-01-27,123,53,22,6,2,4,"Powai, Mumbai"
2020-01-28,75,60,32,3,1,2,"Powai, Mumbai"
2020-01-29,65,80,57,10,3,5,"Powai, Mumbai"
2020-01-30,130,84,48,12,3,7,"Powai, Mumbai"
2020-01-31,148,87,58,10,3,7,"Powai, Mumbai"
2020-02-01,155,101,58,14,4,8,"Powai, Mumbai"
2020-02-02,163,93,50,8,2,8,"Powai, Mumbai"
2020-02-03,167,84,52,7,3,6,"Powai, Mumbai"
2020-02-04,156,84,49,11,4,6,"Powai, Mumbai"
2020-02-05,141,73,44,8,3,5,"Powai, Mumbai"
2020-02-06,117,75,39,11,4,6,"Powai, Mumbai"
2020-02-07,120,89,39,12,4,6,"Powai, Mumbai"
2020-02-08,155,86,33,6,6,5,"Powai, Mumbai"
2020-02-09,156,78,34,7,5,5,"Powai, Mumbai"
2020-02-10,136,117,116,10,5,9,"Powai, Mumbai"
2020-02-11,175,79,37,8,8,9,"Powai, Mumbai"
2020-02-12,140,78,35,10,4,10,"Powai, Mumbai"
2020-02-13,140,74,37,8,3,7,"Powai, Mumbai"
2020-02-14,124,83,38,13,3,9,"Powai, Mumbai"
2020-02-15,129,102,52,14,6,11,"Powai, Mumbai"
2020-02-16,155,133,46,11,5,11,"Powai, Mumbai"
2020-02-17,192,107,49,16,7,11,"Powai, Mumbai"
2020-02-18,163,102,45,13,6,12,"Powai, Mumbai"
2020-02-19,164,75,15,6,2,9,"Powai, Mumbai"
2020-02-20,134,58,14,5,2,8,"Powai, Mumbai"
2020-02-21,99,76,21,9,2,9,"Powai, Mumbai"
2020-02-22,126,95,24,8,3,11,"Powai, Mumbai"
2020-02-23,147,110,30,10,3,13,"Powai, Mumbai"
2020-02-24,170,77,15,6,3,9,"Powai, Mumbai"
2020-02-25,112,74,21,6,3,9,"Powai, Mumbai"
2020-02-26,104,85,33,9,4,10,"Powai, Mumbai"
2020-02-27,131,95,29,12,5,12,"Powai, Mumbai"
2020-02-28,148,82,21,8,4,11,"Powai, Mumbai"
2020-02-29,133,71,17,5,3,10,"Powai, Mumbai"
2020-03-01,121,76,12,8,3,9,"Powai, Mumbai"
2020-03-02,111,81,10,3,2,7,"Powai, Mumbai"
2020-03-03,114,82,9,4,2,8,"Powai, Mumbai"
2020-03-04,134,78,9,4,2,7,"Powai, Mumbai"
2020-03-05,373,75,7,3,2,6,"Powai, Mumbai"
2020-03-06,75,82,15,2,1,6,"Powai, Mumbai"
2020-03-07,82,73,16,3,1,6,"Powai, Mumbai"
2020-03-08,80,215,7,3,1,7,"Powai, Mumbai"
2020-03-09,102,67,2,1, ,7,"Powai, Mumbai"
2020-03-10,100,51,7,1, ,6,"Powai, Mumbai"
2020-03-11,57,55,10,2, ,6,"Powai, Mumbai"
2020-03-12,64,64,18,3, ,6,"Powai, Mumbai"
2020-03-13,78,77,20,4, ,7,"Powai, Mumbai"
2020-03-14,88,92,26,6,1,9,"Powai, Mumbai"
2020-03-15,125,97,34,9,2,9,"Powai, Mumbai"
2020-03-16,136,81,35,8,1,9,"Powai, Mumbai"
2020-03-17,121,71,24,8,1,9,"Powai, Mumbai"
2020-03-18,106,57,15,4,1,7,"Powai, Mumbai"
2020-03-19,82,50,10,2, ,6,"Powai, Mumbai"
2020-03-20,68,48,12,2,1,6,"Powai, Mumbai"
2020-03-21,72,40,11, , ,5,"Powai, Mumbai"
2020-03-22,65,56,18,1,1,6,"Powai, Mumbai"
2020-03-23,88,67,19,1,1,7,"Powai, Mumbai"
2020-03-24,118,61,12,2, ,6,"Powai, Mumbai"
2020-03-25,100,57,15,2,1,6,"Powai, Mumbai"
2020-03-26,99,58,14,1, ,6,"Powai, Mumbai"
2020-03-27,87,52,18,1, ,6,"Powai, Mumbai"
2020-03-28,90,54,23,1, ,6,"Powai, Mumbai"
2020-03-29,82,51,19,1, ,6,"Powai, Mumbai"
2020-03-30,83,47,14,1, ,6,"Powai, Mumbai"
2020-03-31,80,46,17, , ,6,"Powai, Mumbai"
2020-04-01,72,59,19,1,1,6,"Powai, Mumbai"
2020-04-02,89,67,14, , ,6,"Powai, Mumbai"
2020-04-03,83,65,15,1,1,6,"Powai, Mumbai"
2020-04-04,90,62,19,1,1,6,"Powai, Mumbai"
2020-04-05,95,50,12,1, ,5,"Powai, Mumbai"
2020-04-06,73,59,10, , ,5,"Powai, Mumbai"
2020-04-07,79,72,8, ,1,5,"Powai, Mumbai"
2020-04-08,88,70,8, , ,5,"Powai, Mumbai"
2020-04-09,84,67,11, , ,6,"Powai, Mumbai"
2020-04-10,83,68,13,1, ,7,"Powai, Mumbai"
2020-04-11,99,64,13,1,1,7,"Powai, Mumbai"
2020-04-12,88,60,13,1,1,9,"Powai, Mumbai"
2020-04-13,79,58,14,1,2,15,"Powai, Mumbai"
2020-04-14,84,51,14,1,2,24,"Powai, Mumbai"
2020-04-15,78,47,10,1,2,21,"Powai, Mumbai"
2020-04-16,69,49,11,1,2,23,"Powai, Mumbai"
2020-04-17,71,48,11, ,2,23,"Powai, Mumbai"
2020-04-18,64,57,13,1,2,24,"Powai, Mumbai"
2020-04-19,69,59,15, ,3,21,"Powai, Mumbai"
2020-04-20,80,52,11, ,2,14,"Powai, Mumbai"
2020-04-21,61,52,8, ,2,7,"Powai, Mumbai"
2020-04-22,59,53,14, ,1,4,"Powai, Mumbai"
2020-04-23,67,42,13, ,1,1,"Powai, Mumbai"
2020-04-24,56,44,18, ,1,1,"Powai, Mumbai"
2020-04-25,53,48,20, ,1,1,"Powai, Mumbai"
2020-04-26,56,44,16, ,1,1,"Powai, Mumbai"
2020-04-27,54,49,19, ,1,1,"Powai, Mumbai"
2020-04-28,61,56,17, ,1,1,"Powai, Mumbai"
2020-04-29,64,56,15,1,1,1,"Powai, Mumbai"
2020-04-30,63,186,14, ,1,1,"Powai, Mumbai"
2020-05-01,54, ,13, ,1,1,"Powai, Mumbai"
2020-05-02,45,18,14, ,1,1,"Powai, Mumbai"
2020-05-03,74,13,13, ,1,1,"Powai, Mumbai"
2020-05-04,41,8,13,1,1,1,"Powai, Mumbai"
2020-05-05,43,27,18, ,2,1,"Powai, Mumbai"
2020-05-06,42,9,17, ,19,1,"Powai, Mumbai"
2020-05-07,40,14,14, ,21,1,"Powai, Mumbai"
2020-05-08,50,29,15, ,23,1,"Powai, Mumbai"
2020-05-09,46,25,13, ,24,1,"Powai, Mumbai"
2020-05-10,46,36,16, ,25,1,"Powai, Mumbai"
2020-05-11,57,41,13, ,26,1,"Powai, Mumbai"
2020-05-12,47,35,11, ,26,1,"Powai, Mumbai"
2020-05-13,48,24,13, ,26,1,"Powai, Mumbai"
2020-05-14,52,31,20, ,22,1,"Powai, Mumbai"
2020-05-15,58,68,12, , ,1,"Powai, Mumbai"
2020-05-16,81,69,14, ,1,1,"Powai, Mumbai"
2020-05-17,91,37,13, , ,1,"Powai, Mumbai"
2020-05-18,67,35,12, ,3,1,"Powai, Mumbai"
2020-05-19,52,25,8, ,5,1,"Powai, Mumbai"
2020-05-20,43,13,9, ,4,2,"Powai, Mumbai"
2020-05-21,35,53,8, ,3,1,"Powai, Mumbai"
2020-05-22,38,27,9, ,3,2,"Powai, Mumbai"
2020-05-23,43,22,7, ,2,2,"Powai, Mumbai"
2020-05-24,41,6,8, ,2,2,"Powai, Mumbai"
2020-05-25,37,14,7, ,2,2,"Powai, Mumbai"
2020-05-26,41,19,6, ,1,1,"Powai, Mumbai"
