date, pm25, pm10, o3, no2, co,location
2021-12-27, ,69,14,4,1,"Siddharth Nagar-Worli, Mumbai"
2021-12-28,146,53,28,4,2,"Siddharth Nagar-Worli, Mumbai"
2021-12-29,111,70,10,4,4,"Siddharth Nagar-Worli, Mumbai"
2021-12-30,143,73,11,10,5,"Siddharth Nagar-Worli, Mumbai"
2021-12-31,147,65,11,8,6,"Siddharth Nagar-Worli, Mumbai"
2022-01-01,132,22,15,7,5,"Siddharth Nagar-Worli, Mumbai"
2022-01-02,48,39,17,6,6,"Siddharth Nagar-Worli, Mumbai"
2022-01-03,80,70,33,16,6,"Siddharth Nagar-Worli, Mumbai"
2022-01-04,145,91,20,7,6,"Siddharth Nagar-Worli, Mumbai"
2022-01-05,156,63,23,16,4,"Siddharth Nagar-Worli, Mumbai"
2022-01-06,124,81,27,16,5,"Siddharth Nagar-Worli, Mumbai"
2022-01-07,152,49,14,6,4,"Siddharth Nagar-Worli, Mumbai"
2022-01-08,108,30,14,6,3,"Siddharth Nagar-Worli, Mumbai"
2022-01-09,67,38,25,7,3,"Siddharth Nagar-Worli, Mumbai"
2022-01-10,82,61,20,6,5,"Siddharth Nagar-Worli, Mumbai"
2022-01-11,124,55,19,5,4,"Siddharth Nagar-Worli, Mumbai"
2022-01-12,113,65,22,4,5,"Siddharth Nagar-Worli, Mumbai"
2022-01-13,138,70,23,4,6,"Siddharth Nagar-Worli, Mumbai"
2022-01-14,143,67,25,18,5,"Siddharth Nagar-Worli, Mumbai"
2022-01-15,135,62,14,4,5,"Siddharth Nagar-Worli, Mumbai"
2022-01-16,125,60,11,4,5,"Siddharth Nagar-Worli, Mumbai"
2022-01-17,122,64,17,4,5,"Siddharth Nagar-Worli, Mumbai"
2022-01-18,132,65,52,18,6,"Siddharth Nagar-Worli, Mumbai"
2022-01-19,136,47,21,7,4,"Siddharth Nagar-Worli, Mumbai"
2022-01-20,99,34,8,10,4,"Siddharth Nagar-Worli, Mumbai"
2022-01-21,76,38,15,7,4,"Siddharth Nagar-Worli, Mumbai"
2022-01-22,84,338,18,10,2,"Siddharth Nagar-Worli, Mumbai"
2022-01-23,304,146,37,16,3,"Siddharth Nagar-Worli, Mumbai"
2022-01-24,210,116,23,9,5,"Siddharth Nagar-Worli, Mumbai"
2022-01-25,182,102,37,6,5,"Siddharth Nagar-Worli, Mumbai"
