date, pm25, pm10, o3, no2, so2, co,location
2019-12-02, ,77,34,30,40,2,"Sion, Mumbai"
2019-12-03,85,85,26,24,3,4,"Sion, Mumbai"
2019-12-04,140,87,18,30,4,6,"Sion, Mumbai"
2019-12-05,141,108,20,35,7,6,"Sion, Mumbai"
2019-12-06,169,115,33,39,6,6,"Sion, Mumbai"
2019-12-07,160,114,42,38,6,7,"Sion, Mumbai"
2019-12-08,172,102,38,34,5,6,"Sion, Mumbai"
2019-12-09,162,110,39,36,5,9,"Sion, Mumbai"
2019-12-10,165,119,31,40,4,9,"Sion, Mumbai"
2019-12-11,177,133,36,34,7,13,"Sion, Mumbai"
2019-12-12,183,100,21,34,4,7,"Sion, Mumbai"
2019-12-13,150,96,28,34,4,7,"Sion, Mumbai"
2019-12-14,152,108,33,32,5,8,"Sion, Mumbai"
2019-12-15,164,115,30,36,5,9,"Sion, Mumbai"
2019-12-16,173,121,32,32,5,9,"Sion, Mumbai"
2019-12-17,170,103,33,36,6,7,"Sion, Mumbai"
2019-12-18,163,102,27,37,5,7,"Sion, Mumbai"
2019-12-19,162,150,59,36,7,9,"Sion, Mumbai"
2019-12-20,181,122,23,54,7,10,"Sion, Mumbai"
2019-12-21,172,130,25,37,8,10,"Sion, Mumbai"
2019-12-22,181,120,30,31,8,11,"Sion, Mumbai"
2019-12-23,176,143,57,43,7,12,"Sion, Mumbai"
2019-12-24,196,147,20,43,6,10,"Sion, Mumbai"
2019-12-25,203,114,19,38,6,8,"Sion, Mumbai"
2019-12-26,168,119,26,36,7,9,"Sion, Mumbai"
2019-12-27,174,105,20,33,5,7,"Sion, Mumbai"
2019-12-28,167,101,36,30,5,6,"Sion, Mumbai"
2019-12-29,165, , , , , ,"Sion, Mumbai"
2019-12-31, ,150,40,39,7,11,"Sion, Mumbai"
2020-01-01,183,120,35,36,5,6,"Sion, Mumbai"
2020-01-02,169,118,37,39,5,7,"Sion, Mumbai"
2020-01-03,165,118,34,41,5,7,"Sion, Mumbai"
2020-01-04,165,126,33,34,6,8,"Sion, Mumbai"
2020-01-05,162,142,140,33,8,8,"Sion, Mumbai"
2020-01-06,185,135,32,33,3,9,"Sion, Mumbai"
2020-01-07,164,121,23,27,4,10,"Sion, Mumbai"
2020-01-08,147,108,36,39,3,6,"Sion, Mumbai"
2020-01-09,143,131,33,38,4,9,"Sion, Mumbai"
2020-01-10,157,160,29,39,3,10,"Sion, Mumbai"
2020-01-11,188,165,30,31,7,12,"Sion, Mumbai"
2020-01-12,180,92,21,25,2,6,"Sion, Mumbai"
2020-01-13,161,85,24,24,2,5,"Sion, Mumbai"
2020-01-14,120,81,25,25,1,4,"Sion, Mumbai"
2020-01-15,108,81,22,29,1,4,"Sion, Mumbai"
2020-01-16,130,104,30,37,2,7,"Sion, Mumbai"
2020-01-17,144,136,30,53,3,9,"Sion, Mumbai"
2020-01-18,163,190,33,45,5,15,"Sion, Mumbai"
2020-01-19,168,158,52,44,5,14,"Sion, Mumbai"
2020-01-20,167,237,28,44,7,19,"Sion, Mumbai"
2020-01-21,183,191,24,42,9,16,"Sion, Mumbai"
2020-01-22,225,157,31,44,7,11,"Sion, Mumbai"
2020-01-23,173,133,32,42,5,9,"Sion, Mumbai"
2020-01-24,161,178,64,47,6,13,"Sion, Mumbai"
2020-01-25,171,208,38,46,7,15,"Sion, Mumbai"
2020-01-26,167,94,19,25,3,6,"Sion, Mumbai"
2020-01-27,117,86,13,20,2,4,"Sion, Mumbai"
2020-01-28,96,83,18,24, ,3,"Sion, Mumbai"
2020-01-29,91,115,35,37,4,6,"Sion, Mumbai"
2020-01-30,137,154,31,44,6,10,"Sion, Mumbai"
2020-01-31,143,170,29,50,6,13,"Sion, Mumbai"
2020-02-01,159,155,42,32,6,11,"Sion, Mumbai"
2020-02-02,150,147,31,37,4,11,"Sion, Mumbai"
2020-02-03,150,120,33,39,4,6,"Sion, Mumbai"
2020-02-04,143,137,29,51,7,9,"Sion, Mumbai"
2020-02-05,137,107,31,42,5,5,"Sion, Mumbai"
2020-02-06,111,154,28,42,6,8,"Sion, Mumbai"
2020-02-07,128,133,28,40,5,9,"Sion, Mumbai"
2020-02-08,142,115,24,30,6,6,"Sion, Mumbai"
2020-02-09,126,106,26,34,6,5,"Sion, Mumbai"
2020-02-10,119,117,29,36,11,8,"Sion, Mumbai"
2020-02-11,134,128,32,43,5,8,"Sion, Mumbai"
2020-02-12,142,197,24,36,5,11,"Sion, Mumbai"
2020-02-13,202,137,29,32,7,9,"Sion, Mumbai"
2020-02-14,157,144,26,28,6,9,"Sion, Mumbai"
2020-02-15,151,154,39,35,7,8,"Sion, Mumbai"
2020-02-16,149,249,39,35,7,16,"Sion, Mumbai"
2020-02-17,283,216,37,36,7,12,"Sion, Mumbai"
2020-02-18,173,263,34,29,6,12,"Sion, Mumbai"
2020-02-19,174,155,19,25,5,12,"Sion, Mumbai"
2020-02-20,138,102,15,23,2,7,"Sion, Mumbai"
2020-02-21,118,141,32,33,7,10,"Sion, Mumbai"
2020-02-22,156,184,35,37,5,11,"Sion, Mumbai"
2020-02-23,158,177,37,31,7,13,"Sion, Mumbai"
2020-02-24,160,164,17,29,5,10,"Sion, Mumbai"
2020-02-25,140,148,28,33,6,4,"Sion, Mumbai"
2020-02-26,121,154,39,35,5,8,"Sion, Mumbai"
2020-02-27,153,263,35,32,12,17,"Sion, Mumbai"
2020-02-28,193,235,25,25,8,14,"Sion, Mumbai"
2020-02-29,173,100,18,22,1,5,"Sion, Mumbai"
2020-03-01,137,148,17,16,4,11,"Sion, Mumbai"
2020-03-02,160,102,12,24, ,3,"Sion, Mumbai"
2020-03-03,143,99,19,16, ,3,"Sion, Mumbai"
2020-03-04,128,92,19,15,2,2,"Sion, Mumbai"
2020-03-05,116,86,11,12, ,1,"Sion, Mumbai"
2020-03-06,94,107,18,16,1,2,"Sion, Mumbai"
2020-03-07,110,113,22,18,2,4,"Sion, Mumbai"
2020-03-08,109,120,23,20,3,7,"Sion, Mumbai"
2020-03-09,113,100,14,9,2,6,"Sion, Mumbai"
2020-03-10,102,67,14,14,1,1,"Sion, Mumbai"
2020-03-11,68,76,15,14,2,2,"Sion, Mumbai"
2020-03-12,71,93,24,22,2,2,"Sion, Mumbai"
2020-03-13,90,112,27,26,3,4,"Sion, Mumbai"
2020-03-14,102,160,34,20,6,11,"Sion, Mumbai"
2020-03-15,133,212,36,31,10,14,"Sion, Mumbai"
2020-03-16,155,288,36,29,15,22,"Sion, Mumbai"
2020-03-17,162,168,27,21,10,13,"Sion, Mumbai"
2020-03-18,132,96,16,18,5,6,"Sion, Mumbai"
2020-03-19,96,79,11,10,4,4,"Sion, Mumbai"
2020-03-20,80,72,16,9,2,3,"Sion, Mumbai"
2020-03-21,71,56,15,4,1,1,"Sion, Mumbai"
2020-03-22,61,64,19,6,2,1,"Sion, Mumbai"
2020-03-23,70,84,26,7,2,3,"Sion, Mumbai"
2020-03-24,93,70,19,6,1,1,"Sion, Mumbai"
2020-03-25,80,60,19,6,1,1,"Sion, Mumbai"
2020-03-26,71,66,24,4, ,1,"Sion, Mumbai"
2020-03-27,73,69,30,8,1,3,"Sion, Mumbai"
2020-03-28,82,67,33,5,1,1,"Sion, Mumbai"
2020-03-29,78,63,23,7,1,2,"Sion, Mumbai"
2020-03-30,74,65,19,6,1,2,"Sion, Mumbai"
2020-03-31,75,62,23,5,1,2,"Sion, Mumbai"
2020-04-01,71,71,29,5,1,1,"Sion, Mumbai"
2020-04-02,79,71,18,4, ,1,"Sion, Mumbai"
2020-04-03,80,68,18,4,1,2,"Sion, Mumbai"
2020-04-04,81,66,24,5,1,2,"Sion, Mumbai"
2020-04-05,94,57,16,3, , ,"Sion, Mumbai"
2020-04-06,72,74,16,4, ,2,"Sion, Mumbai"
2020-04-07,95,83,14,4,1,1,"Sion, Mumbai"
2020-04-08,103,82,13,3,1,2,"Sion, Mumbai"
2020-04-09,106,70,18,3,1, ,"Sion, Mumbai"
2020-04-10,97,72,23,4,1,1,"Sion, Mumbai"
2020-04-11,108,65,20,5,2,1,"Sion, Mumbai"
2020-04-12,99,64,21,6,2,1,"Sion, Mumbai"
2020-04-13,94,63,26,5,2,1,"Sion, Mumbai"
2020-04-14,93,65,26,5,3,3,"Sion, Mumbai"
2020-04-15,101,54,16,5,2,1,"Sion, Mumbai"
2020-04-16,79,54,16,3,2,1,"Sion, Mumbai"
2020-04-17,76,54,20,4,2,1,"Sion, Mumbai"
2020-04-18,74,58,21,5,2,1,"Sion, Mumbai"
2020-04-19,79,69,21,6,4,1,"Sion, Mumbai"
2020-04-20,91,62,17,5,3,2,"Sion, Mumbai"
2020-04-21,81,57,14,3,2,1,"Sion, Mumbai"
2020-04-22,69,59,14,4,3,1,"Sion, Mumbai"
2020-04-23,73,51,12,3,3,1,"Sion, Mumbai"
2020-04-24,63,50,17,3,3, ,"Sion, Mumbai"
2020-04-25,58,62,17,4,3,2,"Sion, Mumbai"
2020-04-26,72,51,2,2,2,1,"Sion, Mumbai"
2020-04-27,65,54, ,3,2, ,"Sion, Mumbai"
2020-04-28,58,61, ,2,3,2,"Sion, Mumbai"
2020-04-29,70,56, ,2,3, ,"Sion, Mumbai"
2020-04-30,65,48, ,2,3, ,"Sion, Mumbai"
2020-05-01,52,45, ,2,3, ,"Sion, Mumbai"
2020-05-02,51,324, ,2,2, ,"Sion, Mumbai"
2020-05-03,48,73,1,2,2, ,"Sion, Mumbai"
2020-05-04,82,42,1, ,3, ,"Sion, Mumbai"
2020-05-05,45,52,1, ,5,1,"Sion, Mumbai"
2020-05-06,54,51,1,2,6,1,"Sion, Mumbai"
2020-05-07,63,59,1, ,5,1,"Sion, Mumbai"
2020-05-08,64,55,1, ,6, ,"Sion, Mumbai"
2020-05-09,51,49,1, ,6, ,"Sion, Mumbai"
2020-05-10,49,59,1,6,6,1,"Sion, Mumbai"
2020-05-11,59,55,1,6,6,1,"Sion, Mumbai"
2020-05-12,53,55,1,6,7, ,"Sion, Mumbai"
2020-05-13,45,112,1,5,12,1,"Sion, Mumbai"
2020-05-14,84,65,1,5,24,2,"Sion, Mumbai"
2020-05-15,60,82,1,6,7,1,"Sion, Mumbai"
2020-05-16,84,182,1,6,13,1,"Sion, Mumbai"
2020-05-17,173,448,1,6,48, ,"Sion, Mumbai"
2020-05-18,436,116,1,6,70,1,"Sion, Mumbai"
2020-05-19,123,77,12,9,55, ,"Sion, Mumbai"
2020-05-20,90,41,16,13, , ,"Sion, Mumbai"
2020-05-21,56,37,16,14, , ,"Sion, Mumbai"
2020-05-22,48,44,14,15,6, ,"Sion, Mumbai"
2020-05-23,54,38,12,13,7, ,"Sion, Mumbai"
2020-05-24,45,46,13,8,7, ,"Sion, Mumbai"
2020-05-25,50,49,13,6,7, ,"Sion, Mumbai"
2020-05-26,49,43,13,6,7, ,"Sion, Mumbai"
2020-05-27,43,39,13,6,7, ,"Sion, Mumbai"
2020-05-28,41,24,11,6,7, ,"Sion, Mumbai"
2020-05-29,28,29,8,6,7, ,"Sion, Mumbai"
2020-05-30,29,34,10,6,7, ,"Sion, Mumbai"
