date, pm25, pm10, o3, no2, so2, co,location
2019-07-03, ,40,3,4, ,4,"Worli, Mumbai"
2019-07-04,48,59,6,2, ,2,"Worli, Mumbai"
2019-07-05,45,57,7,1, ,2,"Worli, Mumbai"
2019-07-06,35,67,7,1, ,2,"Worli, Mumbai"
2019-07-07,50,57,7,2, ,3,"Worli, Mumbai"
2019-07-08,42,56,9,2,1,3,"Worli, Mumbai"
2019-07-09,38,39,7,5,1,3,"Worli, Mumbai"
2019-07-10,25,59,6,3,1,1,"Worli, Mumbai"
2019-07-11,28,53,6,3,1,1,"Worli, Mumbai"
2019-07-12,26,45,5,3,2,1,"Worli, Mumbai"
2019-07-13,26,46,6,3,3,1,"Worli, Mumbai"
2019-07-14,23,53,6,3,4,1,"Worli, Mumbai"
2019-07-15,32,52,4,3,5,1,"Worli, Mumbai"
2019-07-16,29,57,4,3,5,1,"Worli, Mumbai"
2019-07-17,33,59,4,4,6,1,"Worli, Mumbai"
2019-07-18,42,61,4,5,4,2,"Worli, Mumbai"
2019-07-19,55,45,5,7,1,3,"Worli, Mumbai"
2019-07-20,48,39,9,9,1,3,"Worli, Mumbai"
2019-07-21,68,24,8,6,1,2,"Worli, Mumbai"
2019-07-22,33,29,8,6,1,2,"Worli, Mumbai"
2019-07-23,18,29,9,5,1,1,"Worli, Mumbai"
2019-07-24,17,50,10,5, ,1,"Worli, Mumbai"
2019-07-25,39,59,8,4,1,1,"Worli, Mumbai"
2019-07-26,35,58,10,3, ,1,"Worli, Mumbai"
2019-07-27,39,53,10,4, ,1,"Worli, Mumbai"
2019-07-28,40,43,9,4,1,1,"Worli, Mumbai"
2019-07-29,38,31,9,4, ,1,"Worli, Mumbai"
2019-07-30,26,34,8,4, ,1,"Worli, Mumbai"
2019-07-31,33,45,12,3, ,1,"Worli, Mumbai"
2019-08-01,31,40,7,2, , ,"Worli, Mumbai"
2019-08-02,32,38,6,1, , ,"Worli, Mumbai"
2019-08-03,25,47,7,2, , ,"Worli, Mumbai"
2019-08-04,38,45,6,2, , ,"Worli, Mumbai"
