date,pm25,pm10,o3,no2,so2,co,location
2021-12-27,122.0,94.0,3.0,3.0,1.0,2.0,"Borivali East MPCB, Mumbai"
2021-12-28,174.0,73.0,18.0,2.0,1.0,1.0,"Borivali East MPCB, Mumbai"
2021-12-29,145.0,85.0,21.0,1.0,1.0,2.0,"Borivali East MPCB, Mumbai"
2021-12-30,169.0,116.0,24.0,1.0,1.0,1.0,"Borivali East MPCB, Mumbai"
2021-12-31,298.0,74.0,23.0,1.0,1.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-01,165.0,70.0,24.0,1.0,1.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-02,154.0,67.0,24.0,1.0,1.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-03,152.0,77.0,29.0,2.0,1.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-04,160.0,87.0,30.0,2.0,1.0,2.0,"Borivali East MPCB, Mumbai"
2022-01-05,175.0,72.0,20.0,1.0,1.0,2.0,"Borivali East MPCB, Mumbai"
2022-01-06,162.0,84.0,28.0,2.0,1.0,2.0,"Borivali East MPCB, Mumbai"
2022-01-07,176.0,66.0,13.0,2.0,2.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-08,178.6,51.0,22.0,2.0,1.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-09,181.2,36.0,21.0,1.0,1.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-10,183.8,79.0,34.0,3.0,3.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-11,112.0,110.0,31.0,2.0,4.0,2.0,"Borivali East MPCB, Mumbai"
2022-01-12,189.0,81.0,31.0,2.0,6.0,2.0,"Borivali East MPCB, Mumbai"
2022-01-13,173.0,82.0,26.0,2.0,9.0,2.0,"Borivali East MPCB, Mumbai"
2022-01-14,175.0,79.0,25.0,2.0,11.0,2.0,"Borivali East MPCB, Mumbai"
2022-01-15,170.0,69.0,16.0,1.0,12.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-16,160.0,72.0,19.0,2.0,15.0,2.0,"Borivali East MPCB, Mumbai"
2022-01-17,162.0,71.0,24.0,1.0,16.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-18,159.0,76.0,27.0,3.0,17.0,2.0,"Borivali East MPCB, Mumbai"
2022-01-19,161.0,65.0,26.0,2.0,19.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-20,137.0,48.0,15.0,1.0,21.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-21,93.0,55.0,10.0,1.0,22.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-22,86.0,116.0,22.0,2.0,23.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-23,164.0,177.0,21.0,2.0,22.0,2.0,"Borivali East MPCB, Mumbai"
2022-01-24,151.0,144.0,28.0,2.0,23.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-25,149.0,118.0,29.0,2.0,24.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-26,152.0,97.0,29.0,3.0,26.0,2.0,"Borivali East MPCB, Mumbai"
2022-01-27,149.0,85.0,28.0,2.0,26.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-28,138.0,76.0,27.0,2.0,27.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-29,138.0,68.0,27.0,2.0,26.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-30,129.0,70.0,31.0,3.0,27.0,1.0,"Borivali East MPCB, Mumbai"
2022-01-31,136.0,71.0,23.0,2.0,29.0,1.0,"Borivali East MPCB, Mumbai"
2022-02-01,140.0,89.0,27.0,4.0,29.0,2.0,"Borivali East MPCB, Mumbai"
2022-02-02,166.0,66.0,18.0,2.0,30.0,1.0,"Borivali East MPCB, Mumbai"
2022-02-03,119.0,124.0,20.0,1.0,31.0,1.0,"Borivali East MPCB, Mumbai"
2022-02-04,131.0,134.0,28.0,2.0,30.0,1.0,"Borivali East MPCB, Mumbai"
2022-02-05,146.0,112.0,34.0,2.0,30.0,1.0,"Borivali East MPCB, Mumbai"
2022-02-06,158.0,87.0,22.0,1.0,31.0,1.0,"Borivali East MPCB, Mumbai"
2022-02-07,138.0,60.0,17.0,1.0,30.0,1.0,"Borivali East MPCB, Mumbai"
2022-02-08,91.0,66.0,19.0,1.0,30.0,1.0,"Borivali East MPCB, Mumbai"
2022-02-09,118.0,79.0,22.0,2.0,18.0,1.0,"Borivali East MPCB, Mumbai"
2022-02-10,151.0,81.0,23.0,3.0,3.0,1.0,"Borivali East MPCB, Mumbai"
2022-02-11,149.0,75.0,25.0,2.0,2.0,1.0,"Borivali East MPCB, Mumbai"
