date,pm25,pm10,o3,no2,so2,co,location
2021-12-27,153.0,110.0,9.0,26.0,8.0,9.0,"Chakala-Andheri East, Mumbai"
2021-12-28,166.0,89.0,6.0,17.0,8.0,8.0,"Chakala-Andheri East, Mumbai"
2021-12-29,150.0,114.0,8.0,15.0,7.0,8.0,"Chakala-Andheri East, Mumbai"
2021-12-30,164.0,107.0,6.0,18.0,7.0,8.0,"Chakala-Andheri East, Mumbai"
2021-12-31,159.0,97.0,10.0,15.0,6.0,8.0,"Chakala-Andheri East, Mumbai"
2022-01-01,148.0,102.0,6.0,22.0,12.0,10.0,"Chakala-Andheri East, Mumbai"
2022-01-02,154.0,113.0,13.0,17.0,13.0,11.0,"Chakala-Andheri East, Mumbai"
2022-01-03,165.0,114.0,5.0,26.0,7.0,8.0,"Chakala-Andheri East, Mumbai"
2022-01-04,161.0,136.0,8.0,18.0,8.0,10.0,"Chakala-Andheri East, Mumbai"
2022-01-05,175.0,91.0,4.0,23.0,5.0,6.0,"Chakala-Andheri East, Mumbai"
2022-01-06,149.0,101.0,24.0,21.0,9.0,8.0,"Chakala-Andheri East, Mumbai"
2022-01-07,156.0,74.0,11.0,24.0,8.0,8.0,"Chakala-Andheri East, Mumbai"
2022-01-08,129.0,64.0,25.0,18.0,8.0,2.0,"Chakala-Andheri East, Mumbai"
2022-01-09,105.0,66.0,19.0,13.0,6.0,6.0,"Chakala-Andheri East, Mumbai"
2022-01-10,107.0,108.0,40.0,31.0,8.0,9.0,"Chakala-Andheri East, Mumbai"
2022-01-11,162.0,85.0,39.0,27.0,11.0,7.0,"Chakala-Andheri East, Mumbai"
2022-01-12,146.0,98.0,45.0,29.0,10.0,6.0,"Chakala-Andheri East, Mumbai"
2022-01-13,158.0,112.0,18.0,27.0,4.0,5.0,"Chakala-Andheri East, Mumbai"
2022-01-14,165.0,81.0,30.0,25.0,3.0,7.0,"Chakala-Andheri East, Mumbai"
2022-01-15,135.0,12.0,33.0,23.0,4.0,9.0,"Chakala-Andheri East, Mumbai"
2022-01-16,25.0,23.0,24.0,19.0,6.0,3.0,"Chakala-Andheri East, Mumbai"
2022-01-17,44.0,105.0,30.0,27.0,11.0,8.0,"Chakala-Andheri East, Mumbai"
2022-01-18,161.0,112.0,45.0,31.0,11.0,5.0,"Chakala-Andheri East, Mumbai"
2022-01-19,163.0,88.0,23.0,24.0,8.0,3.0,"Chakala-Andheri East, Mumbai"
2022-01-20,146.0,81.0,9.0,17.0,6.0,1.0,"Chakala-Andheri East, Mumbai"
2022-01-21,134.0,74.0,9.0,13.0,6.0,2.0,"Chakala-Andheri East, Mumbai"
2022-01-22,126.0,140.5,14.0,13.0,5.0,1.5,"Chakala-Andheri East, Mumbai"
2022-01-23,342.0,207.0,20.0,15.0,4.0,1.0,"Chakala-Andheri East, Mumbai"
2022-01-24,217.0,162.0,25.0,20.0,5.0,2.0,"Chakala-Andheri East, Mumbai"
2022-01-25,196.0,150.0,29.0,18.0,5.0,3.0,"Chakala-Andheri East, Mumbai"
2022-01-26,185.0,120.0,30.0,17.0,7.0,5.0,"Chakala-Andheri East, Mumbai"
2022-01-27,171.0,110.0,29.0,4.0,8.0,4.0,"Chakala-Andheri East, Mumbai"
2022-01-28,167.0,99.0,23.0,6.0,5.0,3.0,"Chakala-Andheri East, Mumbai"
2022-01-29,160.0,117.0,25.0,7.0,4.0,6.0,"Chakala-Andheri East, Mumbai"
2022-01-30,170.0,121.0,35.0,6.0,12.0,10.0,"Chakala-Andheri East, Mumbai"
2022-01-31,171.0,119.0,18.0,6.0,7.0,8.0,"Chakala-Andheri East, Mumbai"
2022-02-01,170.0,132.0,15.0,4.0,12.0,8.0,"Chakala-Andheri East, Mumbai"
2022-02-02,181.0,103.0,10.0,7.0,5.0,5.0,"Chakala-Andheri East, Mumbai"
2022-02-03,160.0,140.0,20.0,7.0,9.0,2.0,"Chakala-Andheri East, Mumbai"
2022-02-04,182.0,150.0,31.0,7.0,8.0,9.0,"Chakala-Andheri East, Mumbai"
2022-02-05,187.0,144.0,24.0,4.0,3.0,9.0,"Chakala-Andheri East, Mumbai"
2022-02-06,184.0,107.0,21.0,7.0,6.0,8.0,"Chakala-Andheri East, Mumbai"
2022-02-07,165.0,75.0,7.0,7.0,3.0,7.0,"Chakala-Andheri East, Mumbai"
2022-02-08,132.0,74.0,6.0,4.0,6.0,7.0,"Chakala-Andheri East, Mumbai"
2022-02-09,128.0,112.0,2.0,7.0,6.0,9.0,"Chakala-Andheri East, Mumbai"
2022-02-10,167.0,99.0,1.0,4.0,5.0,6.0,"Chakala-Andheri East, Mumbai"
2022-02-11,158.0,102.0,1.0,7.0,5.0,7.0,"Chakala-Andheri East, Mumbai"
2022-02-12,161.0,108.0,1.0,4.0,8.0,10.0,"Chakala-Andheri East, Mumbai"
2022-02-13,162.0,89.0,1.0,7.0,4.0,7.0,"Chakala-Andheri East, Mumbai"
2022-02-14,152.0,86.0,1.0,7.0,1.0,5.0,"Chakala-Andheri East, Mumbai"
2022-02-15,142.0,96.0,1.0,8.0,6.0,6.0,"Chakala-Andheri East, Mumbai"
2022-02-16,154.0,75.0,2.0,4.0,2.0,5.0,"Chakala-Andheri East, Mumbai"
2022-02-17,137.0,98.0,4.0,4.0,3.0,11.0,"Chakala-Andheri East, Mumbai"
2022-02-18,159.0,106.0,13.0,7.0,8.0,7.0,"Chakala-Andheri East, Mumbai"
2022-02-19,165.0,97.0,14.0,7.0,4.0,6.0,"Chakala-Andheri East, Mumbai"
2022-02-20,154.0,109.0,3.0,4.0,2.0,8.0,"Chakala-Andheri East, Mumbai"
2022-02-21,166.0,114.0,5.0,7.0,8.0,9.0,"Chakala-Andheri East, Mumbai"
2022-02-22,164.0,93.0,4.0,29.0,10.0,12.0,"Chakala-Andheri East, Mumbai"
2022-02-23,147.0,129.0,3.0,22.0,12.0,11.0,"Chakala-Andheri East, Mumbai"
2022-02-24,178.0,161.0,4.0,24.0,8.0,10.0,"Chakala-Andheri East, Mumbai"
2022-02-25,195.0,113.0,3.0,23.0,45.0,9.333333333333334,"Chakala-Andheri East, Mumbai"
2022-02-26,156.0,131.0,6.0,44.0,18.0,8.666666666666666,"Chakala-Andheri East, Mumbai"
2022-02-27,160.0,122.0,7.0,7.0,13.0,8.0,"Chakala-Andheri East, Mumbai"
2022-02-28,143.0,121.0,12.0,24.0,4.0,6.0,"Chakala-Andheri East, Mumbai"
2022-03-01,170.0,141.0,2.0,59.0,5.0,8.0,"Chakala-Andheri East, Mumbai"
2022-03-02,183.0,140.0,4.0,30.0,2.0,6.0,"Chakala-Andheri East, Mumbai"
2022-03-03,183.0,138.0,7.0,24.0,7.0,6.0,"Chakala-Andheri East, Mumbai"
2022-03-04,180.0,146.0,3.0,33.0,3.0,5.0,"Chakala-Andheri East, Mumbai"
2022-03-05,185.0,142.0,6.0,12.0,6.0,8.0,"Chakala-Andheri East, Mumbai"
2022-03-06,183.0,140.0,4.0,4.0,5.0,4.0,"Chakala-Andheri East, Mumbai"
2022-03-07,183.0,136.0,4.0,8.0,3.0,6.0,"Chakala-Andheri East, Mumbai"
2022-03-08,182.0,130.0,11.0,11.0,1.0,3.0,"Chakala-Andheri East, Mumbai"
2022-03-09,178.0,124.0,27.0,17.0,1.0,3.0,"Chakala-Andheri East, Mumbai"
2022-03-10,175.0,137.0,55.0,27.0,7.0,8.0,"Chakala-Andheri East, Mumbai"
2022-03-11,182.0,105.0,84.0,10.0,1.0,6.0,"Chakala-Andheri East, Mumbai"
2022-03-12,165.0,124.0,49.0,13.0,3.0,6.0,"Chakala-Andheri East, Mumbai"
2022-03-13,175.0,132.0,40.0,27.0,6.0,9.0,"Chakala-Andheri East, Mumbai"
2022-03-14,179.0,149.0,70.0,29.0,5.0,8.0,"Chakala-Andheri East, Mumbai"
2022-03-15,189.0,133.0,39.0,14.0,6.0,7.0,"Chakala-Andheri East, Mumbai"
