date,pm25,pm10,o3,no2,so2,co,location
2019-12-02,135.0,75.0,9.0,23.0,1.0,6.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-03,92.0,92.0,7.5,16.0,9.0,9.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-04,145.0,125.0,6.0,10.0,3.0,9.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-05,175.0,116.0,15.0,17.0,4.0,10.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-06,170.0,108.0,17.0,19.0,6.0,10.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-07,161.0,113.0,16.0,23.0,5.0,10.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-08,171.0,104.0,15.0,23.0,5.0,11.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-09,166.0,109.0,14.0,26.0,4.0,12.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-10,166.0,127.0,9.0,22.0,4.0,15.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-11,177.0,127.0,13.0,20.0,4.0,14.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-12,174.0,101.0,11.0,19.0,3.0,10.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-13,147.0,99.0,11.0,18.0,4.0,9.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-14,146.0,109.0,10.0,19.0,4.0,11.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-15,165.0,123.0,7.0,18.0,4.0,14.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-16,175.0,119.0,12.0,16.0,4.0,12.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-17,167.0,107.0,12.0,18.0,5.0,11.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-18,162.0,101.0,14.0,19.0,4.0,10.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-19,160.0,129.0,11.0,24.0,5.0,13.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-20,176.0,142.0,9.0,17.0,5.0,16.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-21,178.0,132.0,12.0,15.0,6.0,14.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-22,181.0,123.0,11.0,14.0,6.0,13.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-23,177.0,145.0,14.0,20.0,5.0,14.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-24,193.0,160.0,8.0,18.0,5.0,15.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-25,207.0,127.0,9.0,15.0,5.0,13.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-26,178.0,128.0,8.0,17.0,5.0,13.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-27,176.0,114.0,10.0,15.0,4.0,10.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-28,167.0,110.0,11.0,15.0,5.0,9.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-29,167.0,120.0,13.333333333333334,17.333333333333332,5.0,10.333333333333334,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2019-12-31,181.0,140.0,18.0,22.0,5.0,13.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-01,188.0,135.0,11.0,25.0,3.0,10.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-02,194.0,128.0,13.0,24.0,3.0,10.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-03,178.0,195.0,13.0,24.0,3.0,10.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-04,183.0,117.0,12.0,16.0,3.0,10.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-05,172.0,107.0,9.0,21.0,5.0,9.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-06,163.0,122.0,8.0,23.0,13.0,14.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-07,171.0,106.0,7.0,12.0,2.0,9.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-08,157.0,106.0,13.0,23.0,3.0,8.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-09,160.0,219.0,15.0,20.0,4.0,9.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-10,217.0,141.0,10.0,17.0,5.0,11.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-11,170.0,140.0,10.0,14.0,4.0,14.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-12,176.0,100.0,5.0,12.0,2.0,8.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-13,207.0,94.0,7.0,11.0,2.0,7.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-14,118.0,91.0,7.0,16.0,2.0,6.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-15,109.0,82.0,8.0,16.0,2.0,5.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-16,109.0,107.0,9.0,19.0,3.0,8.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-17,148.0,135.0,10.0,26.0,4.0,10.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-18,174.0,157.0,8.0,16.0,4.0,15.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-19,185.0,141.0,10.0,22.0,5.0,16.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-20,174.0,165.0,6.0,14.0,5.0,18.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-21,179.0,145.0,6.0,27.0,4.0,14.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-22,162.0,151.0,8.0,19.0,4.0,13.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-23,170.0,129.0,7.0,18.0,4.0,11.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-24,162.0,164.0,8.0,21.0,5.0,16.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-25,179.0,167.0,10.0,19.0,5.0,17.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-26,186.0,95.0,6.0,18.0,3.0,9.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-27,128.0,76.0,6.0,13.0,2.0,6.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-28,84.0,95.0,8.0,20.0,1.0,4.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-29,80.0,124.0,12.0,23.0,3.0,8.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-30,146.0,137.0,9.0,27.0,4.0,10.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-01-31,160.0,148.0,10.0,26.0,4.0,12.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-02-01,168.0,154.0,17.0,16.0,5.0,14.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-02-02,170.0,136.0,10.0,16.0,3.0,13.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
2020-02-03,174.0,130.0,13.0,22.0,4.0,10.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai"
