date,pm25,pm10,o3,no2,so2,co,location
2021-12-27,163.0,16.0,16.0,13.0,2.0,33.0,"Deonar, Mumbai"
2021-12-28,36.0,50.0,6.0,12.0,2.0,30.0,"Deonar, Mumbai"
2021-12-29,88.0,96.0,14.0,14.0,10.0,32.0,"Deonar, Mumbai"
2021-12-30,159.0,102.0,7.0,15.0,3.0,34.0,"Deonar, Mumbai"
2021-12-31,163.0,89.0,17.0,17.0,4.0,35.0,"Deonar, Mumbai"
2022-01-01,154.0,94.0,16.0,16.0,3.0,36.0,"Deonar, Mumbai"
2022-01-02,157.0,100.0,24.0,13.0,8.0,37.0,"Deonar, Mumbai"
2022-01-03,159.0,111.0,14.0,14.0,7.0,38.0,"Deonar, Mumbai"
2022-01-04,168.0,110.0,12.0,17.0,11.0,38.0,"Deonar, Mumbai"
2022-01-05,168.0,89.0,9.0,9.0,4.0,36.0,"Deonar, Mumbai"
2022-01-06,151.0,99.0,10.0,10.0,11.0,36.0,"Deonar, Mumbai"
2022-01-07,162.0,76.0,2.0,9.0,14.0,35.0,"Deonar, Mumbai"
2022-01-08,139.0,54.0,13.0,6.0,6.0,32.0,"Deonar, Mumbai"
2022-01-09,94.0,63.0,11.0,11.0,8.0,29.0,"Deonar, Mumbai"
2022-01-10,110.0,90.0,8.0,14.0,8.0,34.0,"Deonar, Mumbai"
2022-01-11,156.0,82.0,8.0,14.0,16.0,35.0,"Deonar, Mumbai"
2022-01-12,144.0,98.0,8.0,9.0,9.5,39.0,"Deonar, Mumbai"
2022-01-13,162.0,100.0,12.0,14.0,3.0,21.0,"Deonar, Mumbai"
2022-01-14,159.0,100.0,11.0,14.0,2.0,5.0,"Deonar, Mumbai"
2022-01-15,162.0,92.0,23.0,6.0,2.0,5.0,"Deonar, Mumbai"
2022-01-16,153.0,91.0,20.0,17.0,12.0,12.0,"Deonar, Mumbai"
2022-01-17,154.0,102.0,23.0,15.0,7.0,2.0,"Deonar, Mumbai"
2022-01-18,161.0,100.0,21.0,8.0,2.0,2.0,"Deonar, Mumbai"
2022-01-19,159.0,92.0,22.0,11.0,2.0,3.0,"Deonar, Mumbai"
2022-01-20,150.0,71.0,20.0,9.0,2.0,3.0,"Deonar, Mumbai"
2022-01-21,125.0,67.0,15.0,11.0,1.6666666666666667,2.0,"Deonar, Mumbai"
2022-01-22,122.0,155.0,22.0,4.0,1.3333333333333335,1.0,"Deonar, Mumbai"
2022-01-23,363.0,243.0,20.0,6.0,1.0,3.0,"Deonar, Mumbai"
2022-01-24,247.0,164.0,23.0,6.0,3.0,9.333333333333334,"Deonar, Mumbai"
2022-01-25,205.0,143.0,19.0,9.0,1.0,15.666666666666668,"Deonar, Mumbai"
2022-01-26,192.0,123.0,18.0,14.0,7.0,22.0,"Deonar, Mumbai"
2022-01-27,178.0,104.0,17.0,13.0,10.0,21.0,"Deonar, Mumbai"
2022-01-28,166.0,106.0,19.0,16.0,15.0,25.0,"Deonar, Mumbai"
2022-01-29,167.0,103.0,13.0,21.0,11.0,22.0,"Deonar, Mumbai"
2022-01-30,165.0,104.0,21.0,19.0,14.0,16.0,"Deonar, Mumbai"
2022-01-31,165.0,106.0,14.0,27.0,16.0,15.0,"Deonar, Mumbai"
2022-02-01,163.0,110.0,16.0,25.0,27.0,14.0,"Deonar, Mumbai"
2022-02-02,170.0,93.0,19.0,16.0,18.0,13.0,"Deonar, Mumbai"
2022-02-03,153.0,126.0,22.0,10.0,2.0,6.0,"Deonar, Mumbai"
2022-02-04,179.0,160.0,21.0,9.0,5.5,9.0,"Deonar, Mumbai"
2022-02-05,204.0,143.0,10.0,12.0,9.0,23.0,"Deonar, Mumbai"
2022-02-06,191.0,102.0,23.0,14.0,7.0,25.0,"Deonar, Mumbai"
2022-02-07,167.0,71.0,25.0,5.0,5.5,10.0,"Deonar, Mumbai"
2022-02-08,133.0,79.0,27.0,12.0,4.0,12.0,"Deonar, Mumbai"
2022-02-09,145.0,100.0,15.0,13.0,2.5,14.0,"Deonar, Mumbai"
2022-02-10,164.0,98.0,14.0,6.0,1.0,13.0,"Deonar, Mumbai"
2022-02-11,160.0,97.0,23.0,8.0,1.0,15.0,"Deonar, Mumbai"
2022-02-12,159.0,107.0,13.0,15.0,1.0,18.0,"Deonar, Mumbai"
2022-02-13,165.0,89.0,24.0,15.0,3.0,17.5,"Deonar, Mumbai"
2022-02-14,153.0,66.0,22.0,12.0,1.0,17.0,"Deonar, Mumbai"
2022-02-15,123.0,59.0,11.0,8.0,1.0,20.0,"Deonar, Mumbai"
2022-02-16,111.0,72.0,11.0,16.0,2.0,21.0,"Deonar, Mumbai"
2022-02-17,132.0,91.0,11.0,9.0,1.0,21.0,"Deonar, Mumbai"
2022-02-18,160.0,137.0,10.0,18.0,1.0,23.0,"Deonar, Mumbai"
2022-02-19,151.0,83.0,11.0,5.0,1.0,21.0,"Deonar, Mumbai"
2022-02-20,147.0,95.0,21.0,9.0,1.0,23.0,"Deonar, Mumbai"
2022-02-21,159.0,94.0,10.0,16.0,2.0,23.0,"Deonar, Mumbai"
2022-02-22,147.0,89.0,16.0,18.0,1.0,24.0,"Deonar, Mumbai"
2022-02-23,153.0,114.0,9.0,13.0,1.0,27.0,"Deonar, Mumbai"
2022-02-24,173.0,130.0,19.0,11.0,1.0,25.0,"Deonar, Mumbai"
2022-02-25,184.0,130.0,9.0,13.0,1.0,25.0,"Deonar, Mumbai"
2022-02-26,184.0,105.0,14.0,17.0,3.0,26.0,"Deonar, Mumbai"
2022-02-27,168.0,113.0,10.0,10.0,1.0,27.0,"Deonar, Mumbai"
2022-02-28,173.0,110.0,15.0,16.0,2.0,27.0,"Deonar, Mumbai"
2022-03-01,170.0,126.0,20.0,15.0,4.0,29.0,"Deonar, Mumbai"
2022-03-02,179.0,115.0,22.0,21.0,6.0,30.0,"Deonar, Mumbai"
2022-03-03,172.0,102.0,14.0,14.0,2.0,26.0,"Deonar, Mumbai"
2022-03-04,162.0,103.0,20.0,16.0,5.0,28.0,"Deonar, Mumbai"
2022-03-05,164.0,110.0,20.0,13.0,1.0,30.0,"Deonar, Mumbai"
2022-03-06,169.0,104.0,19.0,10.0,6.0,29.0,"Deonar, Mumbai"
2022-03-07,166.0,122.0,16.0,11.0,4.0,30.0,"Deonar, Mumbai"
2022-03-08,177.0,112.0,15.0,18.0,3.0,23.0,"Deonar, Mumbai"
2022-03-09,170.0,112.0,15.0,16.0,2.0,14.0,"Deonar, Mumbai"
2022-03-10,171.0,108.0,16.0,14.0,3.0,12.0,"Deonar, Mumbai"
2022-03-11,167.0,84.0,9.0,7.0,3.0,11.0,"Deonar, Mumbai"
2022-03-12,147.0,106.0,8.0,16.0,4.0,12.0,"Deonar, Mumbai"
2022-03-13,165.0,99.0,14.0,17.0,8.0,12.0,"Deonar, Mumbai"
2022-03-14,160.0,115.0,14.0,10.0,5.0,15.0,"Deonar, Mumbai"
2022-03-15,173.0,110.0,7.0,19.0,3.0,16.0,"Deonar, Mumbai"
