date,pm25,pm10,o3,no2,so2,co,location
2021-12-27,150.0,93.0,12.0,4.0,1.0,14.0,"Malad West, Mumbai"
2021-12-28,55.0,74.0,12.0,3.0,1.0,11.0,"Malad West, Mumbai"
2021-12-29,50.0,89.0,12.0,4.0,1.0,12.0,"Malad West, Mumbai"
2021-12-30,53.0,83.0,11.0,4.0,1.0,14.0,"Malad West, Mumbai"
2021-12-31,59.0,128.0,12.0,4.0,1.0,16.0,"Malad West, Mumbai"
2022-01-01,47.0,87.0,11.0,4.0,1.0,17.0,"Malad West, Mumbai"
2022-01-02,54.0,90.0,15.0,4.0,2.0,20.0,"Malad West, Mumbai"
2022-01-03,51.0,93.0,15.0,3.0,2.0,20.0,"Malad West, Mumbai"
2022-01-04,51.0,96.0,15.0,3.0,2.0,20.0,"Malad West, Mumbai"
2022-01-05,45.0,81.0,10.0,3.0,2.0,14.0,"Malad West, Mumbai"
2022-01-06,59.0,104.0,11.0,3.0,2.0,20.0,"Malad West, Mumbai"
2022-01-07,55.0,70.0,5.0,3.0,1.0,17.0,"Malad West, Mumbai"
2022-01-08,40.0,48.0,12.0,3.0,2.0,7.0,"Malad West, Mumbai"
2022-01-09,42.0,52.0,16.0,3.0,2.0,2.0,"Malad West, Mumbai"
2022-01-10,58.0,82.0,16.0,3.0,2.0,10.0,"Malad West, Mumbai"
2022-01-11,53.0,72.0,15.0,3.0,2.0,6.0,"Malad West, Mumbai"
2022-01-12,60.0,84.0,16.0,3.0,2.0,10.0,"Malad West, Mumbai"
2022-01-13,51.0,86.0,14.0,3.0,2.0,12.0,"Malad West, Mumbai"
2022-01-14,56.0,87.0,12.0,3.0,2.0,13.0,"Malad West, Mumbai"
2022-01-15,57.0,73.0,11.0,3.0,2.0,14.0,"Malad West, Mumbai"
2022-01-16,59.0,10.0,13.0,3.0,2.0,15.0,"Malad West, Mumbai"
2022-01-17,59.0,22.0,14.0,3.0,2.0,15.0,"Malad West, Mumbai"
2022-01-18,84.0,91.0,17.0,3.0,2.0,12.0,"Malad West, Mumbai"
2022-01-19,171.0,93.0,12.0,3.0,2.0,12.0,"Malad West, Mumbai"
2022-01-20,161.0,50.0,6.0,3.0,1.0,10.0,"Malad West, Mumbai"
2022-01-21,125.0,58.0,6.0,2.0,2.0,12.0,"Malad West, Mumbai"
2022-01-22,104.0,120.5,11.0,2.0,2.0,2.0,"Malad West, Mumbai"
2022-01-23,116.0,183.0,12.0,2.0,2.0,1.0,"Malad West, Mumbai"
2022-01-24,121.0,138.0,14.0,3.0,2.0,3.0,"Malad West, Mumbai"
2022-01-25,146.0,116.0,16.0,3.0,2.0,5.0,"Malad West, Mumbai"
2022-01-26,154.0,120.0,16.0,3.0,2.0,14.0,"Malad West, Mumbai"
2022-01-27,166.0,91.0,16.0,3.0,2.0,7.0,"Malad West, Mumbai"
2022-01-28,153.0,102.0,18.0,3.0,2.0,8.0,"Malad West, Mumbai"
2022-01-29,149.0,103.0,18.0,3.0,2.0,14.0,"Malad West, Mumbai"
2022-01-30,165.0,91.0,23.0,3.0,2.0,13.0,"Malad West, Mumbai"
2022-01-31,172.0,78.0,14.0,3.0,2.0,10.0,"Malad West, Mumbai"
2022-02-01,167.0,92.0,14.0,3.0,2.0,13.0,"Malad West, Mumbai"
2022-02-02,172.0,95.0,7.0,3.0,2.0,15.0,"Malad West, Mumbai"
2022-02-03,158.0,131.0,8.0,2.0,1.0,8.0,"Malad West, Mumbai"
2022-02-04,107.0,136.0,13.0,3.0,2.0,9.0,"Malad West, Mumbai"
2022-02-05,148.0,121.0,20.0,3.0,2.0,9.0,"Malad West, Mumbai"
2022-02-06,159.0,81.0,11.0,2.0,2.0,10.0,"Malad West, Mumbai"
2022-02-07,128.0,59.0,8.0,3.0,2.0,9.0,"Malad West, Mumbai"
2022-02-08,101.0,66.0,9.0,2.0,1.0,9.0,"Malad West, Mumbai"
2022-02-09,122.0,80.0,15.0,3.0,2.0,8.0,"Malad West, Mumbai"
2022-02-10,154.0,83.0,15.0,3.0,2.0,7.0,"Malad West, Mumbai"
2022-02-11,140.0,136.0,18.0,3.0,2.0,9.0,"Malad West, Mumbai"
2022-02-12,156.0,100.0,19.0,3.0,2.0,13.0,"Malad West, Mumbai"
2022-02-13,167.0,82.0,12.0,3.0,2.0,11.0,"Malad West, Mumbai"
2022-02-14,151.0,61.0,10.0,3.0,1.0,8.0,"Malad West, Mumbai"
2022-02-15,119.0,45.0,7.0,2.0,2.0,9.0,"Malad West, Mumbai"
2022-02-16,103.0,64.0,8.0,3.0,2.0,12.0,"Malad West, Mumbai"
2022-02-17,125.0,85.0,8.0,3.0,2.0,15.0,"Malad West, Mumbai"
2022-02-18,148.0,82.0,12.0,3.0,1.0,11.0,"Malad West, Mumbai"
2022-02-19,155.0,77.0,16.0,3.0,2.0,10.0,"Malad West, Mumbai"
2022-02-20,158.0,94.0,19.0,3.0,2.0,12.0,"Malad West, Mumbai"
2022-02-21,160.0,80.0,8.0,2.0,2.0,11.0,"Malad West, Mumbai"
2022-02-22,146.0,73.0,9.0,3.0,2.0,12.0,"Malad West, Mumbai"
2022-02-23,142.0,96.0,18.0,3.0,2.0,12.0,"Malad West, Mumbai"
2022-02-24,165.0,128.0,20.0,3.0,2.0,10.0,"Malad West, Mumbai"
2022-02-25,163.0,124.0,13.0,3.0,2.0,11.0,"Malad West, Mumbai"
2022-02-26,152.0,105.0,22.0,3.0,1.0,9.0,"Malad West, Mumbai"
2022-02-27,157.0,114.0,21.0,3.0,1.0,10.0,"Malad West, Mumbai"
2022-02-28,167.0,121.0,18.0,3.0,2.0,10.0,"Malad West, Mumbai"
2022-03-01,169.0,134.0,18.0,3.0,2.0,13.0,"Malad West, Mumbai"
2022-03-02,169.0,109.0,22.0,3.0,2.0,11.0,"Malad West, Mumbai"
2022-03-03,162.0,87.0,20.0,3.0,1.0,7.0,"Malad West, Mumbai"
2022-03-04,138.0,120.0,21.0,3.0,2.0,13.0,"Malad West, Mumbai"
2022-03-05,157.0,130.0,17.0,3.0,2.0,17.0,"Malad West, Mumbai"
2022-03-06,167.0,112.0,18.0,3.0,2.0,13.0,"Malad West, Mumbai"
2022-03-07,161.0,102.0,18.0,3.0,2.0,13.0,"Malad West, Mumbai"
2022-03-08,156.0,138.0,17.0,3.0,2.0,15.0,"Malad West, Mumbai"
2022-03-09,167.0,120.0,20.0,3.0,2.0,14.0,"Malad West, Mumbai"
2022-03-10,170.0,119.0,22.0,4.0,2.0,12.0,"Malad West, Mumbai"
2022-03-11,167.0,83.0,25.0,6.0,2.0,7.0,"Malad West, Mumbai"
2022-03-12,152.0,109.0,14.0,5.0,2.0,10.0,"Malad West, Mumbai"
