date,pm25,pm10,o3,no2,so2,co,location
27-12-2021,147,102,5,20,16,7,"Mulund West, Mumbai"
28-12-2021,162,79,6,17,16,6,"Mulund West, Mumbai"
29-12-2021,131,94,5,16,15,5,"Mulund West, Mumbai"
30-12-2021,162,84.5,5,20,19,7,"Mulund West, Mumbai"
31-12-2021,241,75,5,16,16,8,"Mulund West, Mumbai"
01-01-2022,149,140,10.6,18,27,7,"Mulund West, Mumbai"
02-01-2022,164,161,16.2,21,20,9,"Mulund West, Mumbai"
03-01-2022,170,109,21.8,20,19,8,"Mulund West, Mumbai"
04-01-2022,167,122,5,20,19,10,"Mulund West, Mumbai"
05-01-2022,176,147,33,19,22,7,"Mulund West, Mumbai"
06-01-2022,162,144,27.4,18,25,8,"Mulund West, Mumbai"
07-01-2022,229,132,21.8,18,23,7,"Mulund West, Mumbai"
08-01-2022,154,45,16.2,15,33.75,4,"Mulund West, Mumbai"
09-01-2022,75,195,5,16,44.5,5,"Mulund West, Mumbai"
10-01-2022,206,95,5,20,55.25,8,"Mulund West, Mumbai"
11-01-2022,202,101,7,15,66,7,"Mulund West, Mumbai"
12-01-2022,158,113,7,16.16666667,25,8,"Mulund West, Mumbai"
13-01-2022,171,98,6,17.33333333,45,9,"Mulund West, Mumbai"
14-01-2022,166,91,6,18.5,14,8,"Mulund West, Mumbai"
15-01-2022,167,75,6,7,20,8,"Mulund West, Mumbai"
16-01-2022,156,123,6,7,25,8,"Mulund West, Mumbai"
17-01-2022,192,95,5,22,18,9,"Mulund West, Mumbai"
18-01-2022,159,114,4,15,33,9,"Mulund West, Mumbai"
19-01-2022,159,85,4,21,64,10,"Mulund West, Mumbai"
20-01-2022,141,105,4,18,86,7,"Mulund West, Mumbai"
21-01-2022,116,73,4,17,61,7,"Mulund West, Mumbai"
22-01-2022,101,77.5,4,17,93,4,"Mulund West, Mumbai"
23-01-2022,210,82,5,14,80.5,6,"Mulund West, Mumbai"
24-01-2022,230,177,5,20,68,7,"Mulund West, Mumbai"
25-01-2022,165,82,4.75,20,95,7,"Mulund West, Mumbai"
26-01-2022,165,117,4.5,11,37,9,"Mulund West, Mumbai"
27-01-2022,152,86,4.25,14,75,5,"Mulund West, Mumbai"
28-01-2022,132,82,4,22,113,5,"Mulund West, Mumbai"
29-01-2022,332,91,4,21,33,5,"Mulund West, Mumbai"
30-01-2022,146,103,4,21,25,6,"Mulund West, Mumbai"
31-01-2022,160,91,4,21,17,9,"Mulund West, Mumbai"
01-02-2022,149,146,4,25,9,7,"Mulund West, Mumbai"
02-02-2022,169,105,4,26,1,7,"Mulund West, Mumbai"
03-02-2022,156,141,4,21,4,3,"Mulund West, Mumbai"
04-02-2022,151,150,4,25,7,4,"Mulund West, Mumbai"
05-02-2022,163,130,4,25,5,5,"Mulund West, Mumbai"
06-02-2022,165,186,4,25,3,5,"Mulund West, Mumbai"
07-02-2022,183,80,4,22,5.285714286,4,"Mulund West, Mumbai"
08-02-2022,121,78,5,20,7.571428571,4,"Mulund West, Mumbai"
09-02-2022,126,169,7.333333333,25,9.857142857,6,"Mulund West, Mumbai"
10-02-2022,162,114,9.666666667,24.27272727,5,9,"Mulund West, Mumbai"
11-02-2022,166,110,12,23.54545455,5,8.5,"Mulund West, Mumbai"
20-02-2022,197.5,74,33,17,35,4,"Mulund West, Mumbai"
21-02-2022,201,157,34,9,16,5,"Mulund West, Mumbai"
22-02-2022,169,86,28,1,16,5,"Mulund West, Mumbai"
23-02-2022,131,144,34.5,4,17,9,"Mulund West, Mumbai"
24-02-2022,159,130,41,3,11,7,"Mulund West, Mumbai"
25-02-2022,164,162,20,2,11,7,"Mulund West, Mumbai"
26-02-2022,179,68,9,7,26,7,"Mulund West, Mumbai"
27-02-2022,134,230,12.5,1,20,4,"Mulund West, Mumbai"
28-02-2022,226,191,16,9,49,8,"Mulund West, Mumbai"
01-03-2022,239,119,28,7,78,7,"Mulund West, Mumbai"
02-03-2022,162,94,30,6,61,6,"Mulund West, Mumbai"
03-03-2022,145,79,28,6,60,3,"Mulund West, Mumbai"
04-03-2022,101,130,31,7,63,6,"Mulund West, Mumbai"
05-03-2022,175,94,28,7,52,7,"Mulund West, Mumbai"
06-03-2022,152,106,34,12,61,9,"Mulund West, Mumbai"
07-03-2022,163,110,32.55555556,15,68,9,"Mulund West, Mumbai"
08-03-2022,167,150,31.11111111,13,58,9,"Mulund West, Mumbai"
09-03-2022,198,98,29.66666667,12,47,8,"Mulund West, Mumbai"
10-03-2022,162,100,3.96875,13,60,7,"Mulund West, Mumbai"
11-03-2022,157,114,3.96875,14,82,6,"Mulund West, Mumbai"
12-03-2022,170,93,3.96875,12,53,7,"Mulund West, Mumbai"
13-03-2022,137,110,3.96875,12,54,8,"Mulund West, Mumbai"
14-03-2022,140,112,3.96875,15,78,6,"Mulund West, Mumbai"
15-03-2022,176,155,3.96875,13,102,9,"Mulund West, Mumbai"
16-03-2022,204,129,3.96875,18,86,11,"Mulund West, Mumbai"
17-03-2022,174,117,3.96875,9,54,12,"Mulund West, Mumbai"
18-03-2022,174,105,3.96875,9,62,5,"Mulund West, Mumbai"
19-03-2022,140,93,3.96875,8,52,6,"Mulund West, Mumbai"
