date,pm25,pm10,o3,no2,so2,co,location
2021-12-27,161.0,131.0,25.0,5.0,6.0,3.0,"Navy Nagar-Colaba, Mumbai"
2021-12-28,171.0,92.0,23.0,6.0,1.0,2.0,"Navy Nagar-Colaba, Mumbai"
2021-12-29,150.0,114.0,49.0,27.0,3.0,4.0,"Navy Nagar-Colaba, Mumbai"
2021-12-30,180.0,116.0,32.0,15.0,2.0,4.0,"Navy Nagar-Colaba, Mumbai"
2021-12-31,178.0,117.0,37.0,13.0,1.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-01-01,176.0,113.0,34.0,12.0,1.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-01-02,177.0,114.0,33.0,10.0,1.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-01-03,176.0,146.0,37.0,12.0,2.0,6.0,"Navy Nagar-Colaba, Mumbai"
2022-01-04,201.0,146.0,36.0,9.0,3.0,6.0,"Navy Nagar-Colaba, Mumbai"
2022-01-05,217.0,114.0,22.0,7.0,2.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-01-06,177.0,141.0,23.0,8.0,3.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-01-07,207.0,84.0,32.0,6.0,2.0,4.0,"Navy Nagar-Colaba, Mumbai"
2022-01-08,150.0,59.0,35.0,4.0,4.0,3.0,"Navy Nagar-Colaba, Mumbai"
2022-01-09,83.0,66.0,51.0,21.0,2.0,2.0,"Navy Nagar-Colaba, Mumbai"
2022-01-10,108.0,108.0,36.0,8.0,2.0,4.0,"Navy Nagar-Colaba, Mumbai"
2022-01-11,154.0,93.0,55.0,8.0,5.0,4.0,"Navy Nagar-Colaba, Mumbai"
2022-01-12,137.0,35.0,67.0,7.0,1.0,7.0,"Navy Nagar-Colaba, Mumbai"
2022-01-13,70.0,137.0,54.0,7.0,2.0,7.0,"Navy Nagar-Colaba, Mumbai"
2022-01-14,200.0,119.0,28.0,23.0,2.0,7.0,"Navy Nagar-Colaba, Mumbai"
2022-01-15,185.0,109.0,53.0,6.0,2.0,7.0,"Navy Nagar-Colaba, Mumbai"
2022-01-16,166.0,114.0,42.0,12.0,3.0,8.0,"Navy Nagar-Colaba, Mumbai"
2022-01-17,180.0,120.0,31.0,29.0,1.0,8.0,"Navy Nagar-Colaba, Mumbai"
2022-01-18,178.0,130.0,37.0,31.0,7.0,8.0,"Navy Nagar-Colaba, Mumbai"
2022-01-19,186.0,82.0,43.0,18.0,2.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-01-20,146.0,86.0,15.0,6.0,1.0,6.0,"Navy Nagar-Colaba, Mumbai"
2022-01-21,146.0,75.0,27.0,4.0,2.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-01-22,113.0,83.75,43.0,4.0,3.0,2.0,"Navy Nagar-Colaba, Mumbai"
2022-01-23,206.0,92.5,58.0,11.0,4.0,2.0,"Navy Nagar-Colaba, Mumbai"
2022-01-24,151.0,246.0,51.0,12.0,5.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-01-25,158.0,199.0,65.0,24.0,2.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-01-26,147.0,155.0,50.0,25.0,2.0,7.0,"Navy Nagar-Colaba, Mumbai"
2022-01-27,153.0,120.0,62.0,7.0,1.5,6.0,"Navy Nagar-Colaba, Mumbai"
2022-01-28,141.0,123.0,31.0,8.0,1.0,6.0,"Navy Nagar-Colaba, Mumbai"
2022-01-29,134.0,144.0,88.0,11.0,2.0,9.0,"Navy Nagar-Colaba, Mumbai"
2022-01-30,152.0,116.0,32.0,8.0,1.0,8.0,"Navy Nagar-Colaba, Mumbai"
2022-01-31,162.0,98.0,26.0,3.0,1.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-02-01,129.0,129.0,27.0,5.0,1.75,7.0,"Navy Nagar-Colaba, Mumbai"
2022-02-02,177.0,117.0,27.0,3.0,2.5,8.0,"Navy Nagar-Colaba, Mumbai"
2022-02-03,163.0,169.0,37.0,10.0,3.25,3.0,"Navy Nagar-Colaba, Mumbai"
2022-02-04,134.0,93.0,63.0,24.0,4.0,6.0,"Navy Nagar-Colaba, Mumbai"
2022-02-05,143.0,194.0,80.0,21.0,6.0,7.0,"Navy Nagar-Colaba, Mumbai"
2022-02-06,142.0,120.0,41.0,2.0,5.25,4.0,"Navy Nagar-Colaba, Mumbai"
2022-02-07,133.0,92.0,24.0,6.0,4.5,6.0,"Navy Nagar-Colaba, Mumbai"
2022-02-08,129.0,91.0,45.0,4.0,3.75,7.0,"Navy Nagar-Colaba, Mumbai"
2022-02-09,125.0,119.0,74.0,25.0,3.0,9.0,"Navy Nagar-Colaba, Mumbai"
2022-02-10,147.0,121.0,78.0,8.0,3.0,10.0,"Navy Nagar-Colaba, Mumbai"
2022-02-11,147.0,104.0,84.0,5.0,2.0,9.0,"Navy Nagar-Colaba, Mumbai"
2022-02-12,134.0,119.0,80.0,9.0,1.0,12.0,"Navy Nagar-Colaba, Mumbai"
2022-02-13,154.0,98.0,58.0,28.0,2.0,10.0,"Navy Nagar-Colaba, Mumbai"
2022-02-14,155.0,68.0,42.0,7.0,1.0,6.0,"Navy Nagar-Colaba, Mumbai"
2022-02-15,95.0,74.0,27.0,16.0,1.25,7.0,"Navy Nagar-Colaba, Mumbai"
2022-02-16,85.0,64.0,37.0,9.0,1.5,7.0,"Navy Nagar-Colaba, Mumbai"
2022-02-17,96.0,77.0,41.0,6.0,1.75,7.0,"Navy Nagar-Colaba, Mumbai"
2022-02-18,135.0,112.0,28.0,9.0,2.0,10.0,"Navy Nagar-Colaba, Mumbai"
2022-02-19,162.0,92.0,52.0,23.0,4.0,8.0,"Navy Nagar-Colaba, Mumbai"
2022-02-20,158.0,106.0,89.0,7.0,3.0,11.0,"Navy Nagar-Colaba, Mumbai"
2022-02-21,148.0,97.0,46.0,8.0,4.0,10.0,"Navy Nagar-Colaba, Mumbai"
2022-02-22,133.0,99.0,56.0,12.0,3.6,9.0,"Navy Nagar-Colaba, Mumbai"
2022-02-23,137.0,110.0,42.0,11.0,3.2,9.0,"Navy Nagar-Colaba, Mumbai"
2022-02-24,141.0,167.0,80.0,8.0,2.8,9.0,"Navy Nagar-Colaba, Mumbai"
2022-02-25,150.0,137.0,32.0,7.0,6.0,9.0,"Navy Nagar-Colaba, Mumbai"
2022-02-26,145.0,122.0,100.0,23.0,2.0,9.0,"Navy Nagar-Colaba, Mumbai"
2022-02-27,142.0,136.0,87.0,8.0,2.0,10.0,"Navy Nagar-Colaba, Mumbai"
2022-02-28,143.0,133.0,99.0,8.0,1.0,11.0,"Navy Nagar-Colaba, Mumbai"
2022-03-01,159.0,147.0,41.0,9.0,1.0,11.0,"Navy Nagar-Colaba, Mumbai"
2022-03-02,165.0,130.0,48.0,9.0,1.0,11.0,"Navy Nagar-Colaba, Mumbai"
2022-03-03,147.0,118.0,42.0,12.0,2.0,10.0,"Navy Nagar-Colaba, Mumbai"
2022-03-04,134.0,131.0,101.0,13.0,5.0,13.0,"Navy Nagar-Colaba, Mumbai"
2022-03-05,144.0,127.0,90.0,13.0,1.0,11.0,"Navy Nagar-Colaba, Mumbai"
2022-03-06,145.0,111.0,76.0,7.0,1.0,12.0,"Navy Nagar-Colaba, Mumbai"
2022-03-07,151.0,140.0,65.0,10.0,5.0,8.0,"Navy Nagar-Colaba, Mumbai"
2022-03-08,162.0,136.0,26.0,7.0,4.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-03-09,184.0,141.0,58.0,1.0,3.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-03-10,177.0,131.0,36.0,4.0,3.0,4.0,"Navy Nagar-Colaba, Mumbai"
2022-03-11,168.0,103.0,51.0,3.0,1.0,2.0,"Navy Nagar-Colaba, Mumbai"
2022-03-12,137.0,125.0,33.0,3.0,4.0,3.0,"Navy Nagar-Colaba, Mumbai"
2022-03-13,140.0,123.0,33.0,19.0,1.0,4.0,"Navy Nagar-Colaba, Mumbai"
2022-03-14,136.0,154.0,99.0,24.0,2.0,10.0,"Navy Nagar-Colaba, Mumbai"
2022-03-15,150.0,100.0,36.0,15.0,2.0,7.0,"Navy Nagar-Colaba, Mumbai"
2022-03-16,133.0,107.0,33.0,13.0,2.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-03-17,136.0,95.0,58.0,3.0,2.0,6.0,"Navy Nagar-Colaba, Mumbai"
2022-03-18,137.0,75.0,32.0,3.0,2.0,4.0,"Navy Nagar-Colaba, Mumbai"
2022-03-19,120.0,84.0,18.0,3.0,4.0,3.0,"Navy Nagar-Colaba, Mumbai"
2022-03-20,139.0,117.0,60.0,3.0,4.0,4.0,"Navy Nagar-Colaba, Mumbai"
2022-03-21,128.0,103.0,63.0,3.0,2.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-03-22,139.0,126.0,63.0,17.0,2.0,6.0,"Navy Nagar-Colaba, Mumbai"
2022-03-23,135.0,127.0,29.0,3.0,1.8333333333333333,5.0,"Navy Nagar-Colaba, Mumbai"
2022-03-24,145.0,79.0,16.0,3.0,1.6666666666666667,4.0,"Navy Nagar-Colaba, Mumbai"
2022-03-25,93.0,78.0,15.0,3.0,1.5,3.0,"Navy Nagar-Colaba, Mumbai"
2022-03-26,109.0,86.5,16.0,3.0,4.0,4.0,"Navy Nagar-Colaba, Mumbai"
2022-03-27,121.5,95.0,17.0,3.0,4.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-03-28,134.0,96.0,13.0,12.0,1.0,2.0,"Navy Nagar-Colaba, Mumbai"
2022-03-29,109.0,89.0,25.0,14.0,1.0,3.0,"Navy Nagar-Colaba, Mumbai"
2022-03-30,116.0,87.0,30.0,12.0,1.0,3.0,"Navy Nagar-Colaba, Mumbai"
2022-03-31,124.0,226.0,20.0,4.0,1.0,4.0,"Navy Nagar-Colaba, Mumbai"
2022-04-01,136.0,167.0,27.0,11.0,4.0,3.0,"Navy Nagar-Colaba, Mumbai"
2022-04-02,133.0,144.0,14.0,3.0,4.0,3.0,"Navy Nagar-Colaba, Mumbai"
2022-04-03,143.0,115.0,26.0,11.0,4.0,4.0,"Navy Nagar-Colaba, Mumbai"
2022-04-04,135.0,89.0,22.0,2.0,4.0,4.0,"Navy Nagar-Colaba, Mumbai"
2022-04-05,104.0,84.0,11.0,11.0,4.0,4.0,"Navy Nagar-Colaba, Mumbai"
2022-04-06,123.0,74.0,32.0,2.0,4.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-04-07,129.0,71.0,28.0,3.0,4.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-04-08,128.0,63.0,22.0,11.0,4.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-04-09,112.0,66.0,20.0,10.0,4.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-04-10,112.0,61.0,30.0,2.0,4.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-04-11,119.0,78.0,27.0,3.0,4.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-04-12,126.0,84.0,30.0,4.0,4.0,6.0,"Navy Nagar-Colaba, Mumbai"
2022-04-13,135.0,66.0,26.0,10.0,4.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-04-14,124.0,69.0,22.0,2.0,4.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-04-15,118.0,79.0,14.0,3.0,4.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-04-16,119.0,75.0,22.0,10.0,4.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-04-17,113.0,69.0,23.0,10.0,4.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-04-18,100.0,77.0,12.0,10.75,4.0,5.0,"Navy Nagar-Colaba, Mumbai"
2022-04-19,107.0,72.0,43.0,11.5,4.0,11.0,"Navy Nagar-Colaba, Mumbai"
2022-04-20,123.0,90.0,40.0,12.25,4.0,13.0,"Navy Nagar-Colaba, Mumbai"
2022-04-21,135.0,99.0,50.0,13.0,4.0,2.0,"Navy Nagar-Colaba, Mumbai"
2022-04-22,143.0,98.0,24.0,4.0,4.0,1.6666666666666667,"Navy Nagar-Colaba, Mumbai"
2022-04-23,138.0,73.0,13.0,1.0,4.0,1.3333333333333335,"Navy Nagar-Colaba, Mumbai"
2022-04-24,128.0,100.0,12.0,10.0,1.0,1.0,"Navy Nagar-Colaba, Mumbai"
2022-04-25,110.0,65.0,12.0,4.0,2.0,3.0,"Navy Nagar-Colaba, Mumbai"
2022-04-26,91.0,67.0,19.0,2.0,1.8571428571428572,2.0,"Navy Nagar-Colaba, Mumbai"
2022-04-27,93.0,72.0,13.0,1.0,1.7142857142857144,2.0,"Navy Nagar-Colaba, Mumbai"
2022-04-28,97.0,68.0,4.0,1.0,1.5714285714285714,2.0,"Navy Nagar-Colaba, Mumbai"
2022-04-29,82.0,60.0,10.0,1.0,4.0,3.0,"Navy Nagar-Colaba, Mumbai"
2022-04-30,106.0,50.0,3.0,2.0,4.0,3.0,"Navy Nagar-Colaba, Mumbai"
2022-05-01,83.0,57.0,5.0,3.0,2.0,4.0,"Navy Nagar-Colaba, Mumbai"
2022-05-02,83.0,69.0,7.0,13.0,1.0,3.0,"Navy Nagar-Colaba, Mumbai"
2022-05-03,109.0,83.0,5.0,15.0,1.0,2.0,"Navy Nagar-Colaba, Mumbai"
2022-05-04,113.0,82.0,9.0,13.0,1.0,1.0,"Navy Nagar-Colaba, Mumbai"
2022-05-05,114.0,127.0,3.0,9.0,1.25,2.0,"Navy Nagar-Colaba, Mumbai"
2022-05-06,150.0,139.0,5.0,12.0,1.5,3.0,"Navy Nagar-Colaba, Mumbai"
2022-05-07,150.0,106.0,5.0,16.0,1.75,2.0,"Navy Nagar-Colaba, Mumbai"
2022-05-08,135.0,86.0,10.0,28.0,2.0,2.0,"Navy Nagar-Colaba, Mumbai"
2022-05-09,108.0,80.0,5.0,18.0,1.9807692307692308,2.5,"Navy Nagar-Colaba, Mumbai"
2022-05-10,101.0,84.0,4.0,15.0,1.9615384615384615,3.0,"Navy Nagar-Colaba, Mumbai"
