date,pm25,pm10,o3,no2,so2,co,location
2019-06-24,56.0,43.0,1.0,2.0,7.0,3.0,"Nerul, Navi Mumbai"
2019-06-25,64.0,48.0,1.0,2.0,7.0,3.0,"Nerul, Navi Mumbai"
2019-06-26,59.0,24.0,2.0,2.0,7.0,3.0,"Nerul, Navi Mumbai"
2019-06-27,30.0,17.0,3.0,2.0,7.0,3.0,"Nerul, Navi Mumbai"
2019-06-28,24.0,19.0,4.0,3.0,7.0,4.0,"Nerul, Navi Mumbai"
2019-06-29,40.0,19.0,4.0,3.0,7.0,4.0,"Nerul, Navi Mumbai"
2019-06-30,45.0,17.0,5.0,5.0,7.0,5.0,"Nerul, Navi Mumbai"
2019-07-01,37.0,15.0,3.0,4.0,7.0,5.0,"Nerul, Navi Mumbai"
2019-07-02,36.0,31.0,1.0,4.0,7.0,5.0,"Nerul, Navi Mumbai"
2019-07-03,53.0,34.0,1.0,4.0,7.0,4.0,"Nerul, Navi Mumbai"
2019-07-04,51.0,38.0,2.0,3.0,5.0,2.0,"Nerul, Navi Mumbai"
2019-07-05,41.0,35.0,2.0,3.0,3.0,1.0,"Nerul, Navi Mumbai"
2019-07-06,28.0,45.0,3.0,2.0,3.0,1.0,"Nerul, Navi Mumbai"
2019-07-07,41.0,35.0,6.0,3.0,6.0,2.0,"Nerul, Navi Mumbai"
2019-07-08,26.0,35.0,4.0,2.0,4.0,3.0,"Nerul, Navi Mumbai"
2019-07-09,28.0,18.0,4.0,5.0,5.0,3.0,"Nerul, Navi Mumbai"
2019-07-10,22.0,34.0,4.0,4.0,4.0,3.0,"Nerul, Navi Mumbai"
2019-07-11,24.0,34.0,4.0,4.0,4.0,2.0,"Nerul, Navi Mumbai"
2019-07-12,29.0,37.0,3.0,5.0,4.0,2.0,"Nerul, Navi Mumbai"
2019-07-13,32.0,33.0,4.0,4.0,4.0,2.0,"Nerul, Navi Mumbai"
2019-07-14,27.0,44.0,4.0,3.0,4.0,2.0,"Nerul, Navi Mumbai"
2019-07-15,28.0,40.0,3.0,4.0,5.0,2.0,"Nerul, Navi Mumbai"
2019-07-16,37.0,39.0,4.0,5.0,4.0,3.0,"Nerul, Navi Mumbai"
2019-07-17,39.0,57.0,4.0,4.0,5.0,3.0,"Nerul, Navi Mumbai"
2019-07-18,52.0,62.0,9.0,7.0,5.0,3.0,"Nerul, Navi Mumbai"
2019-07-19,63.0,67.0,6.0,10.0,5.0,4.0,"Nerul, Navi Mumbai"
2019-07-20,69.0,52.0,18.0,13.0,6.0,6.0,"Nerul, Navi Mumbai"
2019-07-21,102.0,19.0,7.0,7.0,5.0,3.0,"Nerul, Navi Mumbai"
2019-07-22,29.0,29.0,6.0,6.0,5.0,2.0,"Nerul, Navi Mumbai"
2019-07-23,25.0,10.0,5.0,7.0,4.0,2.0,"Nerul, Navi Mumbai"
2019-07-24,30.0,25.0,4.0,6.0,4.0,3.0,"Nerul, Navi Mumbai"
2019-07-25,39.0,27.0,5.0,5.0,4.0,2.0,"Nerul, Navi Mumbai"
2019-07-26,37.0,27.0,6.0,4.0,4.0,2.0,"Nerul, Navi Mumbai"
2019-07-27,35.0,37.0,6.0,5.0,4.0,3.0,"Nerul, Navi Mumbai"
2019-07-28,43.0,37.0,6.0,7.0,5.0,3.0,"Nerul, Navi Mumbai"
2019-07-29,40.0,23.0,5.0,7.0,4.0,3.0,"Nerul, Navi Mumbai"
2019-07-30,30.0,24.0,6.0,4.0,4.0,2.0,"Nerul, Navi Mumbai"
2019-07-31,30.0,27.0,6.0,2.0,4.0,1.0,"Nerul, Navi Mumbai"
2019-08-01,18.0,19.0,4.0,4.0,4.0,1.0,"Nerul, Navi Mumbai"
2019-08-02,18.0,15.0,6.0,4.0,4.0,1.0,"Nerul, Navi Mumbai"
2019-08-03,18.0,23.0,7.0,4.0,4.0,2.0,"Nerul, Navi Mumbai"
2019-08-04,30.0,33.0,4.0,5.0,5.0,1.0,"Nerul, Navi Mumbai"
2019-08-05,33.0,30.0,4.0,3.0,5.0,1.0,"Nerul, Navi Mumbai"
2019-08-06,28.0,31.0,12.0,4.0,5.0,1.0,"Nerul, Navi Mumbai"
2019-08-07,28.0,51.0,7.0,3.0,5.0,1.0,"Nerul, Navi Mumbai"
2019-08-08,51.0,50.0,6.0,2.0,6.0,1.0,"Nerul, Navi Mumbai"
2019-08-09,57.0,44.0,6.0,3.0,4.0,2.0,"Nerul, Navi Mumbai"
2019-08-10,51.0,41.0,7.0,4.0,5.0,4.0,"Nerul, Navi Mumbai"
2019-08-11,48.0,41.0,7.0,3.0,5.0,3.0,"Nerul, Navi Mumbai"
2019-08-12,42.0,38.0,8.0,4.0,4.0,2.0,"Nerul, Navi Mumbai"
2019-08-13,43.0,45.0,7.0,5.0,4.0,3.0,"Nerul, Navi Mumbai"
2019-08-14,51.0,34.0,7.0,3.0,4.0,3.0,"Nerul, Navi Mumbai"
2019-08-15,45.0,31.0,6.0,2.0,4.0,3.0,"Nerul, Navi Mumbai"
2019-08-16,35.0,40.0,8.0,3.0,4.0,2.0,"Nerul, Navi Mumbai"
2019-08-17,37.0,41.0,9.0,4.0,4.0,3.0,"Nerul, Navi Mumbai"
2019-08-18,45.0,41.0,8.0,5.0,4.0,3.0,"Nerul, Navi Mumbai"
2019-08-19,55.0,62.0,11.0,6.0,5.0,3.0,"Nerul, Navi Mumbai"
2019-08-20,58.0,63.0,9.0,6.0,5.0,4.0,"Nerul, Navi Mumbai"
2019-08-21,55.0,42.0,11.0,7.0,5.0,4.0,"Nerul, Navi Mumbai"
2019-08-22,47.0,39.0,14.0,6.0,5.0,4.0,"Nerul, Navi Mumbai"
2019-08-23,50.0,42.0,21.0,5.0,5.0,3.0,"Nerul, Navi Mumbai"
2019-08-24,45.0,31.0,38.0,6.0,4.0,3.0,"Nerul, Navi Mumbai"
2019-08-25,35.0,39.0,4.0,5.0,5.0,3.0,"Nerul, Navi Mumbai"
2019-08-26,48.0,46.0,7.0,3.0,5.0,3.0,"Nerul, Navi Mumbai"
2019-08-27,50.0,36.0,7.0,4.0,5.0,2.0,"Nerul, Navi Mumbai"
