date,pm25,pm10,o3,no2,so2,co,location
2019-12-02,151.0,131.0,10.0,7.0,18.0,9.0,"Powai, Mumbai"
2019-12-03,169.0,66.0,12.0,5.0,1.0,6.0,"Powai, Mumbai"
2019-12-04,121.0,76.0,7.0,4.0,2.0,9.0,"Powai, Mumbai"
2019-12-05,152.0,87.0,15.0,5.0,1.0,6.0,"Powai, Mumbai"
2019-12-06,164.0,79.0,17.0,6.0,1.0,7.0,"Powai, Mumbai"
2019-12-07,154.0,87.0,19.0,5.0,1.0,7.0,"Powai, Mumbai"
2019-12-08,164.0,84.0,27.0,7.0,1.0,9.0,"Powai, Mumbai"
2019-12-09,160.0,82.0,22.0,6.0,1.0,9.0,"Powai, Mumbai"
2019-12-10,158.0,86.0,17.0,6.0,1.0,9.0,"Powai, Mumbai"
2019-12-11,165.0,79.0,28.0,6.0,2.0,8.0,"Powai, Mumbai"
2019-12-12,160.0,69.0,22.0,5.0,2.0,7.0,"Powai, Mumbai"
2019-12-13,133.0,63.0,44.0,8.0,2.0,6.0,"Powai, Mumbai"
2019-12-14,127.0,75.0,62.0,9.0,3.0,8.0,"Powai, Mumbai"
2019-12-15,151.0,85.0,51.0,10.0,3.0,9.0,"Powai, Mumbai"
2019-12-16,162.0,78.0,39.0,9.0,3.0,7.0,"Powai, Mumbai"
2019-12-17,153.0,78.0,50.0,11.0,5.0,8.0,"Powai, Mumbai"
2019-12-18,151.0,74.0,29.0,9.0,2.0,7.0,"Powai, Mumbai"
2019-12-19,148.0,89.0,40.0,11.0,3.0,9.0,"Powai, Mumbai"
2019-12-20,165.0,86.0,25.0,9.0,3.0,9.0,"Powai, Mumbai"
2019-12-21,162.0,90.0,29.0,8.0,3.0,9.0,"Powai, Mumbai"
2019-12-22,166.0,90.0,27.0,11.0,3.0,9.0,"Powai, Mumbai"
2019-12-23,166.0,106.0,41.0,11.0,3.0,10.0,"Powai, Mumbai"
2019-12-24,178.0,112.0,24.0,8.0,2.0,10.0,"Powai, Mumbai"
2019-12-25,185.0,77.0,24.0,6.0,2.0,7.0,"Powai, Mumbai"
2019-12-26,149.0,84.0,30.0,9.0,2.0,8.0,"Powai, Mumbai"
2019-12-27,159.0,82.0,32.0,7.0,3.0,7.0,"Powai, Mumbai"
2019-12-28,159.0,90.0,36.0,8.0,4.0,7.0,"Powai, Mumbai"
2019-12-29,161.0,92.33333333333333,38.333333333333336,9.333333333333334,4.0,7.666666666666667,"Powai, Mumbai"
2019-12-31,169.0,97.0,43.0,12.0,4.0,9.0,"Powai, Mumbai"
2020-01-01,173.0,101.0,37.0,8.0,3.0,7.0,"Powai, Mumbai"
2020-01-02,179.0,90.0,34.0,7.0,3.0,6.0,"Powai, Mumbai"
2020-01-03,170.0,89.0,35.0,6.0,2.0,8.0,"Powai, Mumbai"
2020-01-04,170.0,94.0,23.0,8.0,3.0,9.0,"Powai, Mumbai"
2020-01-05,164.0,119.0,37.0,8.0,3.0,8.0,"Powai, Mumbai"
2020-01-06,211.0,88.0,36.0,11.0,3.0,9.0,"Powai, Mumbai"
