date,pm25,pm10,o3,no2,co,location
27-12-2021,150,69,14,4,1,"Siddharth Nagar Worli, Mumbai"
28-12-2021,146,53,28,4,2,"Siddharth Nagar Worli, Mumbai"
29-12-2021,111,70,10,4,4,"Siddharth Nagar Worli, Mumbai"
30-12-2021,143,73,11,10,5,"Siddharth Nagar Worli, Mumbai"
31-12-2021,147,65,11,8,6,"Siddharth Nagar Worli, Mumbai"
01-01-2022,132,22,15,7,5,"Siddharth Nagar Worli, Mumbai"
02-01-2022,48,39,17,6,6,"Siddharth Nagar Worli, Mumbai"
03-01-2022,80,70,33,16,6,"Siddharth Nagar Worli, Mumbai"
04-01-2022,145,91,20,7,6,"Siddharth Nagar Worli, Mumbai"
05-01-2022,156,63,23,16,4,"Siddharth Nagar Worli, Mumbai"
06-01-2022,124,81,27,16,5,"Siddharth Nagar Worli, Mumbai"
07-01-2022,152,49,14,6,4,"Siddharth Nagar Worli, Mumbai"
08-01-2022,108,30,14,6,3,"Siddharth Nagar Worli, Mumbai"
09-01-2022,67,38,25,7,3,"Siddharth Nagar Worli, Mumbai"
10-01-2022,82,61,20,6,5,"Siddharth Nagar Worli, Mumbai"
11-01-2022,124,55,19,5,4,"Siddharth Nagar Worli, Mumbai"
12-01-2022,113,65,22,4,5,"Siddharth Nagar Worli, Mumbai"
13-01-2022,138,70,23,4,6,"Siddharth Nagar Worli, Mumbai"
14-01-2022,143,67,25,18,5,"Siddharth Nagar Worli, Mumbai"
15-01-2022,135,62,14,4,5,"Siddharth Nagar Worli, Mumbai"
16-01-2022,125,60,11,4,5,"Siddharth Nagar Worli, Mumbai"
17-01-2022,122,64,17,4,5,"Siddharth Nagar Worli, Mumbai"
18-01-2022,132,65,52,18,6,"Siddharth Nagar Worli, Mumbai"
19-01-2022,136,47,21,7,4,"Siddharth Nagar Worli, Mumbai"
20-01-2022,99,34,8,10,4,"Siddharth Nagar Worli, Mumbai"
21-01-2022,76,38,15,7,4,"Siddharth Nagar Worli, Mumbai"
22-01-2022,84,85,18,10,2,"Siddharth Nagar Worli, Mumbai"
23-01-2022,304,146,37,16,3,"Siddharth Nagar Worli, Mumbai"
24-01-2022,210,116,23,9,5,"Siddharth Nagar Worli, Mumbai"
25-01-2022,182,102,37,6,5,"Siddharth Nagar Worli, Mumbai"
