date,pm25,pm10,o3,no2,so2,co,location
2019-12-02,155.0,77.0,34.0,30.0,40.0,2.0,"Sion, Mumbai"
2019-12-03,85.0,85.0,26.0,24.0,3.0,4.0,"Sion, Mumbai"
2019-12-04,140.0,87.0,18.0,30.0,4.0,6.0,"Sion, Mumbai"
2019-12-05,141.0,108.0,20.0,35.0,7.0,6.0,"Sion, Mumbai"
2019-12-06,169.0,115.0,33.0,39.0,6.0,6.0,"Sion, Mumbai"
2019-12-07,160.0,114.0,42.0,38.0,6.0,7.0,"Sion, Mumbai"
2019-12-08,172.0,102.0,38.0,34.0,5.0,6.0,"Sion, Mumbai"
2019-12-09,162.0,110.0,39.0,36.0,5.0,9.0,"Sion, Mumbai"
2019-12-10,165.0,119.0,31.0,40.0,4.0,9.0,"Sion, Mumbai"
2019-12-11,177.0,133.0,36.0,34.0,7.0,13.0,"Sion, Mumbai"
2019-12-12,183.0,100.0,21.0,34.0,4.0,7.0,"Sion, Mumbai"
2019-12-13,150.0,96.0,28.0,34.0,4.0,7.0,"Sion, Mumbai"
2019-12-14,152.0,108.0,33.0,32.0,5.0,8.0,"Sion, Mumbai"
2019-12-15,164.0,115.0,30.0,36.0,5.0,9.0,"Sion, Mumbai"
2019-12-16,173.0,121.0,32.0,32.0,5.0,9.0,"Sion, Mumbai"
2019-12-17,170.0,103.0,33.0,36.0,6.0,7.0,"Sion, Mumbai"
2019-12-18,163.0,102.0,27.0,37.0,5.0,7.0,"Sion, Mumbai"
2019-12-19,162.0,150.0,59.0,36.0,7.0,9.0,"Sion, Mumbai"
2019-12-20,181.0,122.0,23.0,54.0,7.0,10.0,"Sion, Mumbai"
2019-12-21,172.0,130.0,25.0,37.0,8.0,10.0,"Sion, Mumbai"
2019-12-22,181.0,120.0,30.0,31.0,8.0,11.0,"Sion, Mumbai"
2019-12-23,176.0,143.0,57.0,43.0,7.0,12.0,"Sion, Mumbai"
2019-12-24,196.0,147.0,20.0,43.0,6.0,10.0,"Sion, Mumbai"
2019-12-25,203.0,114.0,19.0,38.0,6.0,8.0,"Sion, Mumbai"
2019-12-26,168.0,119.0,26.0,36.0,7.0,9.0,"Sion, Mumbai"
2019-12-27,174.0,105.0,20.0,33.0,5.0,7.0,"Sion, Mumbai"
2019-12-28,167.0,101.0,36.0,30.0,5.0,6.0,"Sion, Mumbai"
2019-12-29,165.0,117.33333333333333,37.333333333333336,33.0,5.666666666666667,7.666666666666667,"Sion, Mumbai"
2019-12-31,177.0,150.0,40.0,39.0,7.0,11.0,"Sion, Mumbai"
2020-01-01,183.0,120.0,35.0,36.0,5.0,6.0,"Sion, Mumbai"
2020-01-02,169.0,118.0,37.0,39.0,5.0,7.0,"Sion, Mumbai"
2020-01-03,165.0,118.0,34.0,41.0,5.0,7.0,"Sion, Mumbai"
2020-01-04,165.0,126.0,33.0,34.0,6.0,8.0,"Sion, Mumbai"
2020-01-05,162.0,142.0,32.5,33.0,8.0,8.0,"Sion, Mumbai"
