date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
27-12-2021,163,97,2,5,7,15,"Bandra Kurla Complex, Mumbai",29.4,17.9,23,73,13.8,9,357,1014.2,0
28-12-2021,105,6,2,4,7,8,"Bandra Kurla Complex, Mumbai",28,18.4,22.8,75,21.5,11.1,343,1013.6,0
29-12-2021,4,4,4,7,15,9,"Bandra Kurla Complex, Mumbai",27.5,19.5,22.8,66,20.8,13.9,352,1013.9,0
30-12-2021,4,45.5,2.5,8,11,20.5,"Bandra Kurla Complex, Mumbai",30,18.8,23.2,66,20.8,11.5,15,1014.6,0
31-12-2021,79,87,1,9,7,32,"Bandra Kurla Complex, Mumbai",31.4,20.9,24.8,66,16.3,12,37,1015.4,0
01-01-2022,154,96,4,20,15,14,"Bandra Kurla Complex, Mumbai",31.3,20.4,24.8,64,13.9,10.7,28,1015.8,0
02-01-2022,157,99,4,10,8,10.5,"Bandra Kurla Complex, Mumbai",30.6,20.5,24.8,65,14.1,9.2,10,1014.6,0
03-01-2022,154,105,10,4,9,7,"Bandra Kurla Complex, Mumbai",30.9,21.4,25,68,13.8,9,9,1014,0
04-01-2022,163,106,13,10,12,7,"Bandra Kurla Complex, Mumbai",31.2,20.4,24.7,73,15.1,8.6,3,1013.9,0
05-01-2022,164,92,3,7,13,4,"Bandra Kurla Complex, Mumbai",28.5,20.4,24.1,80,17.3,8,328,1013.5,0
06-01-2022,154,100,5,1,8,3,"Bandra Kurla Complex, Mumbai",27.9,20.5,23.5,80,16.5,9.3,344,1013.1,0
07-01-2022,157,93,3,2,7,2,"Bandra Kurla Complex, Mumbai",27.4,19.6,23.2,79,15.5,7,301,1012.5,0
08-01-2022,153,71,8,5,11,1.666666667,"Bandra Kurla Complex, Mumbai",24.5,21,22.5,85,12.1,7.3,357,1013.8,2.3
09-01-2022,122,71,8,1,7,1.333333333,"Bandra Kurla Complex, Mumbai",25.4,18.8,21.7,58,22,14.9,347,1013.9,0
10-01-2022,122,101,9,3,12,1,"Bandra Kurla Complex, Mumbai",24.2,16,19.6,57,23.1,13.6,348,1014,0
11-01-2022,161,89,13,2,14,16,"Bandra Kurla Complex, Mumbai",24.5,14.8,19.6,72,15.2,8.7,348,1013.6,0
12-01-2022,152,109,20,1,16,15,"Bandra Kurla Complex, Mumbai",25,16.4,20.7,68,18.4,12.1,345,1013.2,0
13-01-2022,166,57,5,3,6,14,"Bandra Kurla Complex, Mumbai",25.9,15.6,20.6,72,15.4,7.5,341,1012.3,0
14-01-2022,91,32,9,1,16,11,"Bandra Kurla Complex, Mumbai",25.8,17.2,21.4,76,16.1,9.3,345,1012.3,0
15-01-2022,57,74.5,6.5,1,14.5,17.5,"Bandra Kurla Complex, Mumbai",28.8,18,22.5,67,20.5,11.3,8,1012.9,0
16-01-2022,113.5,117,4,1,13,24,"Bandra Kurla Complex, Mumbai",31.4,19,24,59,18.7,11.7,38,1013.2,0
17-01-2022,170,106,11,1,17,14,"Bandra Kurla Complex, Mumbai",30.7,20.3,24.5,65,14.8,10.2,8,1015.1,0
18-01-2022,164,112,14,2,17,13,"Bandra Kurla Complex, Mumbai",29,20,24.1,67,19,11,351,1014.9,0
