date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
2019-12-02,150.0,81.5,12.0,2.0,4.0,6.0,"Borivali East, Mumbai",33.8,24.0,28.2,61,11.9,8.0,47,1011.4,0.0
2019-12-03,215.0,50.0,17.0,2.0,4.0,3.0,"Borivali East, Mumbai",32.8,23.2,27.4,65,12.7,8.3,84,1011.7,0.0
2019-12-04,105.0,63.0,2.0,2.0,4.0,5.0,"Borivali East, Mumbai",32.3,24.0,27.3,69,12.2,8.7,63,1012.6,0.0
2019-12-05,146.0,72.0,2.0,1.0,4.0,4.0,"Borivali East, Mumbai",29.9,25.0,27.4,73,11.5,6.1,70,1014.2,2.4
2019-12-06,157.0,71.0,3.0,1.0,4.0,5.0,"Borivali East, Mumbai",33.3,25.1,28.0,58,14.6,8.7,48,1013.6,0.0
2019-12-07,145.0,80.0,3.0,1.0,4.0,4.0,"Borivali East, Mumbai",32.0,22.8,26.3,57,13.2,9.3,24,1012.8,0.0
2019-12-08,159.0,65.0,8.0,1.0,4.0,4.0,"Borivali East, Mumbai",32.1,21.9,26.0,59,13.4,8.8,38,1013.1,0.0
2019-12-09,146.0,62.0,6.0,1.0,9.0,5.0,"Borivali East, Mumbai",32.7,22.0,26.4,65,11.9,8.3,26,1012.9,0.0
2019-12-10,138.0,66.0,3.0,1.0,4.0,5.0,"Borivali East, Mumbai",32.5,22.2,26.5,71,12.7,7.0,353,1011.8,0.0
2019-12-11,147.0,69.0,3.0,1.0,4.0,5.0,"Borivali East, Mumbai",31.8,21.8,26.2,72,11.9,5.9,324,1010.7,0.0
2019-12-12,150.0,63.0,3.0,1.0,4.0,6.0,"Borivali East, Mumbai",30.4,21.1,25.2,72,14.0,6.7,311,1010.6,0.0
2019-12-13,132.0,83.0,3.0,1.0,4.0,6.0,"Borivali East, Mumbai",29.8,20.0,24.1,76,17.8,8.0,343,1012.6,0.0
2019-12-14,90.0,81.5,3.0,1.0,4.0,6.0,"Borivali East, Mumbai",30.3,18.3,23.6,66,16.6,9.5,343,1014.5,0.0
