date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
2021-12-27,153.0,110.0,9.0,26.0,8.0,9.0,"Chakala-Andheri East, Mumbai",29.4,17.9,23.0,73,13.8,9.0,357,1014.2,0.0
2021-12-28,166.0,89.0,6.0,17.0,8.0,8.0,"Chakala-Andheri East, Mumbai",28.0,18.4,22.8,75,21.5,11.1,343,1013.6,0.0
2021-12-29,150.0,114.0,8.0,15.0,7.0,8.0,"Chakala-Andheri East, Mumbai",27.5,19.5,22.8,66,20.8,13.9,352,1013.9,0.0
2021-12-30,164.0,107.0,6.0,18.0,7.0,8.0,"Chakala-Andheri East, Mumbai",30.0,18.8,23.2,66,20.8,11.5,15,1014.6,0.0
2021-12-31,159.0,97.0,10.0,15.0,6.0,8.0,"Chakala-Andheri East, Mumbai",31.4,20.9,24.8,66,16.3,12.0,37,1015.4,0.0
2022-01-01,148.0,102.0,6.0,22.0,12.0,10.0,"Chakala-Andheri East, Mumbai",31.3,20.4,24.8,64,13.9,10.7,28,1015.8,0.0
2022-01-02,154.0,113.0,13.0,17.0,13.0,11.0,"Chakala-Andheri East, Mumbai",30.6,20.5,24.8,65,14.1,9.2,10,1014.6,0.0
2022-01-03,165.0,114.0,5.0,26.0,7.0,8.0,"Chakala-Andheri East, Mumbai",30.9,21.4,25.0,68,13.8,9.0,9,1014.0,0.0
2022-01-04,161.0,136.0,8.0,18.0,8.0,10.0,"Chakala-Andheri East, Mumbai",31.2,20.4,24.7,73,15.1,8.6,3,1013.9,0.0
2022-01-05,175.0,91.0,4.0,23.0,5.0,6.0,"Chakala-Andheri East, Mumbai",28.5,20.4,24.1,80,17.3,8.0,328,1013.5,0.0
2022-01-06,149.0,101.0,24.0,21.0,9.0,8.0,"Chakala-Andheri East, Mumbai",27.9,20.5,23.5,80,16.5,9.3,344,1013.1,0.0
2022-01-07,156.0,74.0,11.0,24.0,8.0,8.0,"Chakala-Andheri East, Mumbai",27.4,19.6,23.2,79,15.5,7.0,301,1012.5,0.0
2022-01-08,129.0,64.0,25.0,18.0,8.0,2.0,"Chakala-Andheri East, Mumbai",24.5,21.0,22.5,85,12.1,7.3,357,1013.8,2.3
2022-01-09,105.0,66.0,19.0,13.0,6.0,6.0,"Chakala-Andheri East, Mumbai",25.4,18.8,21.7,58,22.0,14.9,347,1013.9,0.0
2022-01-10,107.0,108.0,40.0,31.0,8.0,9.0,"Chakala-Andheri East, Mumbai",24.2,16.0,19.6,57,23.1,13.6,348,1014.0,0.0
2022-01-11,162.0,85.0,39.0,27.0,11.0,7.0,"Chakala-Andheri East, Mumbai",24.5,14.8,19.6,72,15.2,8.7,348,1013.6,0.0
2022-01-12,146.0,98.0,45.0,29.0,10.0,6.0,"Chakala-Andheri East, Mumbai",25.0,16.4,20.7,68,18.4,12.1,345,1013.2,0.0
2022-01-13,158.0,112.0,18.0,27.0,4.0,5.0,"Chakala-Andheri East, Mumbai",25.9,15.6,20.6,72,15.4,7.5,341,1012.3,0.0
2022-01-14,165.0,81.0,30.0,25.0,3.0,7.0,"Chakala-Andheri East, Mumbai",25.8,17.2,21.4,76,16.1,9.3,345,1012.3,0.0
2022-01-15,135.0,12.0,33.0,23.0,4.0,9.0,"Chakala-Andheri East, Mumbai",28.8,18.0,22.5,67,20.5,11.3,8,1012.9,0.0
2022-01-16,25.0,23.0,24.0,19.0,6.0,3.0,"Chakala-Andheri East, Mumbai",31.4,19.0,24.0,59,18.7,11.7,38,1013.2,0.0
2022-01-17,44.0,105.0,30.0,27.0,11.0,8.0,"Chakala-Andheri East, Mumbai",30.7,20.3,24.5,65,14.8,10.2,8,1015.1,0.0
2022-01-18,161.0,112.0,45.0,31.0,11.0,5.0,"Chakala-Andheri East, Mumbai",29.0,20.0,24.1,67,19.0,11.0,351,1014.9,0.0
2022-01-19,163.0,88.0,23.0,24.0,8.0,3.0,"Chakala-Andheri East, Mumbai",29.2,18.8,23.6,69,17.2,9.9,343,1013.5,0.0
2022-01-20,146.0,81.0,9.0,17.0,6.0,1.0,"Chakala-Andheri East, Mumbai",27.5,19.0,22.7,70,16.1,10.1,332,1012.0,0.0
2022-01-21,134.0,74.0,9.0,13.0,6.0,2.0,"Chakala-Andheri East, Mumbai",27.1,18.8,22.4,84,14.2,8.0,336,1011.8,0.0
2022-01-22,126.0,140.5,14.0,13.0,5.0,1.5,"Chakala-Andheri East, Mumbai",26.6,20.2,23.5,81,22.7,11.8,279,1010.3,1.0
2022-01-23,342.0,207.0,20.0,15.0,4.0,1.0,"Chakala-Andheri East, Mumbai",23.3,17.6,21.5,60,22.4,16.8,316,1011.6,0.4
2022-01-24,217.0,162.0,25.0,20.0,5.0,2.0,"Chakala-Andheri East, Mumbai",24.2,14.3,19.1,57,25.5,12.8,1,1012.5,0.0
2022-01-25,196.0,150.0,29.0,18.0,5.0,3.0,"Chakala-Andheri East, Mumbai",25.4,14.2,19.7,56,18.8,11.5,353,1012.1,0.0
2022-01-26,185.0,120.0,30.0,17.0,7.0,5.0,"Chakala-Andheri East, Mumbai",27.2,15.8,21.0,55,19.9,12.2,355,1011.9,0.0
2022-01-27,171.0,110.0,29.0,4.0,8.0,4.0,"Chakala-Andheri East, Mumbai",29.2,16.9,22.1,53,20.5,10.6,3,1012.2,0.0
2022-01-28,167.0,99.0,23.0,6.0,5.0,3.0,"Chakala-Andheri East, Mumbai",30.6,18.5,23.6,45,17.8,13.6,26,1013.1,0.0
2022-01-29,160.0,117.0,25.0,7.0,4.0,6.0,"Chakala-Andheri East, Mumbai",31.0,17.1,23.0,49,17.2,11.0,11,1014.0,0.0
2022-01-30,170.0,121.0,35.0,6.0,12.0,10.0,"Chakala-Andheri East, Mumbai",29.9,16.2,22.3,56,15.2,9.9,352,1012.9,0.0
2022-01-31,171.0,119.0,18.0,6.0,7.0,8.0,"Chakala-Andheri East, Mumbai",29.2,16.8,22.4,56,17.3,10.7,341,1012.1,0.0
2022-02-01,170.0,132.0,15.0,4.0,12.0,8.0,"Chakala-Andheri East, Mumbai",29.4,16.0,21.8,65,20.1,12.1,344,1011.3,0.0
2022-02-02,181.0,103.0,10.0,7.0,5.0,5.0,"Chakala-Andheri East, Mumbai",27.9,16.5,21.8,78,18.1,10.3,330,1011.4,0.0
2022-02-03,160.0,140.0,20.0,7.0,9.0,2.0,"Chakala-Andheri East, Mumbai",26.2,17.0,21.8,85,13.1,7.5,265,1011.4,0.0
2022-02-04,182.0,150.0,31.0,7.0,8.0,9.0,"Chakala-Andheri East, Mumbai",26.0,18.6,22.2,75,12.7,7.7,299,1011.0,0.0
2022-02-05,187.0,144.0,24.0,4.0,3.0,9.0,"Chakala-Andheri East, Mumbai",27.6,15.6,21.3,70,19.2,10.3,347,1011.5,0.0
2022-02-06,184.0,107.0,21.0,7.0,6.0,8.0,"Chakala-Andheri East, Mumbai",27.5,17.5,21.9,69,19.4,10.3,325,1013.1,0.0
2022-02-07,165.0,75.0,7.0,7.0,3.0,7.0,"Chakala-Andheri East, Mumbai",26.0,18.2,21.6,81,21.9,11.4,332,1014.4,0.0
2022-02-08,132.0,74.0,6.0,4.0,6.0,7.0,"Chakala-Andheri East, Mumbai",25.6,18.2,21.6,80,17.3,10.0,325,1013.7,0.0
2022-02-09,128.0,112.0,2.0,7.0,6.0,9.0,"Chakala-Andheri East, Mumbai",26.4,17.7,21.7,79,19.3,11.6,345,1013.2,0.0
2022-02-10,167.0,99.0,1.0,4.0,5.0,6.0,"Chakala-Andheri East, Mumbai",30.2,18.5,23.6,56,24.0,13.5,346,1012.5,0.0
2022-02-11,158.0,102.0,1.0,7.0,5.0,7.0,"Chakala-Andheri East, Mumbai",32.2,20.9,25.4,45,21.7,14.5,9,1011.9,0.0
2022-02-12,161.0,108.0,1.0,4.0,8.0,10.0,"Chakala-Andheri East, Mumbai",30.8,20.0,24.5,50,21.0,11.9,347,1011.7,0.0
2022-02-13,162.0,89.0,1.0,7.0,4.0,7.0,"Chakala-Andheri East, Mumbai",30.2,18.5,23.7,59,19.5,10.7,337,1010.2,0.0
2022-02-14,152.0,86.0,1.0,7.0,1.0,5.0,"Chakala-Andheri East, Mumbai",29.0,18.6,23.6,53,19.5,11.9,345,1010.7,0.0
2022-02-15,142.0,96.0,1.0,8.0,6.0,6.0,"Chakala-Andheri East, Mumbai",27.2,19.0,22.9,65,17.3,11.3,332,1010.9,0.0
2022-02-16,154.0,75.0,2.0,4.0,2.0,5.0,"Chakala-Andheri East, Mumbai",26.5,18.7,22.1,80,16.5,9.4,332,1009.4,0.0
2022-02-17,137.0,98.0,4.0,4.0,3.0,11.0,"Chakala-Andheri East, Mumbai",26.9,17.6,21.9,81,14.0,6.8,323,1008.2,0.0
2022-02-18,159.0,106.0,13.0,7.0,8.0,7.0,"Chakala-Andheri East, Mumbai",28.1,18.4,23.1,78,14.6,6.8,284,1009.1,0.0
2022-02-19,165.0,97.0,14.0,7.0,4.0,6.0,"Chakala-Andheri East, Mumbai",29.6,18.9,23.7,75,17.9,9.9,327,1011.1,0.0
2022-02-20,154.0,109.0,3.0,4.0,2.0,8.0,"Chakala-Andheri East, Mumbai",31.0,19.4,24.4,63,20.2,11.7,339,1010.8,0.0
2022-02-21,166.0,114.0,5.0,7.0,8.0,9.0,"Chakala-Andheri East, Mumbai",31.2,17.9,23.9,55,22.9,12.8,338,1010.1,0.0
2022-02-22,164.0,93.0,4.0,29.0,10.0,12.0,"Chakala-Andheri East, Mumbai",30.4,18.4,23.5,65,21.8,10.6,334,1010.9,0.0
2022-02-23,147.0,129.0,3.0,22.0,12.0,11.0,"Chakala-Andheri East, Mumbai",29.9,18.5,24.1,65,18.9,11.2,338,1012.3,0.0
2022-02-24,178.0,161.0,4.0,24.0,8.0,10.0,"Chakala-Andheri East, Mumbai",30.2,20.1,25.2,61,20.1,11.5,328,1013.6,0.0
2022-02-25,195.0,113.0,3.0,23.0,45.0,9.333333333333334,"Chakala-Andheri East, Mumbai",30.7,20.6,25.3,56,22.9,12.5,325,1013.0,0.0
2022-02-26,156.0,131.0,6.0,44.0,18.0,8.666666666666666,"Chakala-Andheri East, Mumbai",30.5,20.0,24.7,62,21.8,12.6,334,1012.9,0.0
2022-02-27,160.0,122.0,7.0,7.0,13.0,8.0,"Chakala-Andheri East, Mumbai",31.1,19.9,25.2,54,24.2,12.3,332,1013.1,0.0
2022-02-28,143.0,121.0,12.0,24.0,4.0,6.0,"Chakala-Andheri East, Mumbai",32.3,20.0,25.5,49,21.3,11.4,332,1012.6,0.0
2022-03-01,170.0,141.0,2.0,59.0,5.0,8.0,"Chakala-Andheri East, Mumbai",32.5,21.0,25.9,51,18.9,11.0,337,1012.6,0.0
2022-03-02,183.0,140.0,4.0,30.0,2.0,6.0,"Chakala-Andheri East, Mumbai",34.5,21.6,27.0,50,22.4,12.0,339,1011.6,0.0
2022-03-03,183.0,138.0,7.0,24.0,7.0,6.0,"Chakala-Andheri East, Mumbai",35.3,21.6,27.7,43,24.7,15.4,345,1011.5,0.0
2022-03-04,180.0,146.0,3.0,33.0,3.0,5.0,"Chakala-Andheri East, Mumbai",34.5,23.8,27.6,37,24.7,16.2,343,1011.9,0.0
2022-03-05,185.0,142.0,6.0,12.0,6.0,8.0,"Chakala-Andheri East, Mumbai",34.2,20.8,26.6,48,23.7,11.5,337,1010.9,0.0
2022-03-06,183.0,140.0,4.0,4.0,5.0,4.0,"Chakala-Andheri East, Mumbai",34.2,22.5,27.3,51,20.4,11.0,327,1009.8,0.0
2022-03-07,183.0,136.0,4.0,8.0,3.0,6.0,"Chakala-Andheri East, Mumbai",32.2,24.2,27.7,54,16.0,10.6,326,1010.1,0.0
2022-03-08,182.0,130.0,11.0,11.0,1.0,3.0,"Chakala-Andheri East, Mumbai",36.0,25.2,29.0,52,23.2,13.7,354,1010.1,0.0
2022-03-09,178.0,124.0,27.0,17.0,1.0,3.0,"Chakala-Andheri East, Mumbai",34.0,24.5,28.4,54,16.9,10.1,342,1010.1,0.1
2022-03-10,175.0,137.0,55.0,27.0,7.0,8.0,"Chakala-Andheri East, Mumbai",33.8,23.1,28.1,54,19.0,10.6,346,1009.9,0.0
2022-03-11,182.0,105.0,84.0,10.0,1.0,6.0,"Chakala-Andheri East, Mumbai",33.2,24.0,28.4,51,16.5,9.7,330,1009.6,0.0
2022-03-12,165.0,124.0,49.0,13.0,3.0,6.0,"Chakala-Andheri East, Mumbai",36.3,22.8,28.6,52,18.0,10.1,334,1009.3,0.0
2022-03-13,175.0,132.0,40.0,27.0,6.0,9.0,"Chakala-Andheri East, Mumbai",36.2,22.5,29.0,47,23.3,12.5,342,1009.5,0.0
2022-03-14,179.0,149.0,70.0,29.0,5.0,8.0,"Chakala-Andheri East, Mumbai",36.0,22.8,29.1,36,21.5,12.7,346,1009.9,0.0
2022-03-15,189.0,133.0,39.0,14.0,6.0,7.0,"Chakala-Andheri East, Mumbai",36.0,23.8,29.6,43,22.2,13.5,337,1008.6,0.0
2022-03-16,180.0,145.0,46.0,28.0,5.0,8.0,"Chakala-Andheri East, Mumbai",35.3,23.2,29.9,45,26.0,14.3,338,1007.2,0.0
2022-03-17,187.0,126.0,20.0,9.0,5.0,4.0,"Chakala-Andheri East, Mumbai",35.5,24.5,29.8,44,23.5,12.8,328,1006.4,0.0
2022-03-18,177.0,87.0,24.0,15.0,4.0,4.0,"Chakala-Andheri East, Mumbai",34.8,22.8,29.2,54,27.1,14.1,327,1006.1,0.0
2022-03-19,153.0,90.0,14.0,12.0,2.0,9.0,"Chakala-Andheri East, Mumbai",32.0,23.5,27.7,71,20.8,10.1,277,1006.4,0.0
2022-03-20,153.0,111.0,24.0,17.0,2.0,7.0,"Chakala-Andheri East, Mumbai",30.2,24.0,27.0,79,26.9,9.8,268,1007.2,0.0
2022-03-21,168.0,129.0,12.0,24.0,1.0,4.0,"Chakala-Andheri East, Mumbai",30.5,22.5,26.8,75,24.2,11.6,321,1008.0,0.0
2022-03-22,178.0,133.0,13.0,24.0,3.0,8.0,"Chakala-Andheri East, Mumbai",34.2,24.5,29.3,46,26.5,14.7,339,1007.3,0.0
2022-03-23,179.0,146.0,42.0,20.0,3.0,4.0,"Chakala-Andheri East, Mumbai",38.0,26.1,30.9,31,28.0,16.2,345,1006.4,0.0
2022-03-24,188.0,90.0,18.0,15.0,2.0,5.0,"Chakala-Andheri East, Mumbai",33.7,24.9,28.5,46,20.1,9.5,301,1006.9,0.0
