date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
2019-07-13,51.0,35.0,3.0,1.0,3.0,1.0,"Colaba, Mumbai",27.8,25.6,26.7,91,23.5,18.6,210,1007.9,6.0
2019-07-14,48.0,43.0,4.0,1.0,3.0,1.0,"Colaba, Mumbai",28.3,26.0,27.1,89,20.4,17.2,236,1007.2,6.1
2019-07-15,49.0,44.0,4.0,1.0,3.0,1.0,"Colaba, Mumbai",29.1,25.9,27.3,88,23.4,18.4,236,1006.0,5.0
2019-07-16,54.0,42.0,4.0,1.0,3.0,1.0,"Colaba, Mumbai",27.8,25.8,26.8,89,18.8,16.2,225,1006.7,6.5
2019-07-17,53.0,53.0,4.0,1.0,3.0,1.0,"Colaba, Mumbai",28.3,25.7,26.9,88,18.2,13.2,234,1006.7,8.1
2019-07-18,57.0,64.0,10.0,2.0,3.0,2.0,"Colaba, Mumbai",28.3,25.9,27.1,88,16.7,12.5,236,1005.0,3.4
2019-07-19,73.0,43.0,5.0,6.0,3.0,2.0,"Colaba, Mumbai",29.0,26.1,27.5,87,15.9,8.2,247,1003.2,2.7
2019-07-20,63.0,41.0,10.0,6.0,4.0,3.0,"Colaba, Mumbai",28.6,26.5,27.5,88,14.0,5.8,268,1002.3,9.6
2019-07-21,84.0,17.0,8.0,2.0,3.0,2.0,"Colaba, Mumbai",29.2,26.0,27.3,88,14.7,8.7,304,1001.1,66.0
2019-07-22,38.0,14.0,6.0,1.0,3.0,1.0,"Colaba, Mumbai",29.5,26.3,27.8,86,21.6,11.3,196,1000.3,4.7
2019-07-23,28.0,22.0,5.0,1.0,3.0,1.0,"Colaba, Mumbai",28.8,26.1,27.4,88,35.2,20.2,222,1001.2,13.2
2019-07-24,45.0,38.0,5.0,1.0,3.0,1.0,"Colaba, Mumbai",27.5,26.4,26.8,90,33.7,23.7,248,1003.5,147.8
2019-07-25,56.0,39.0,5.0,1.0,3.0,1.0,"Colaba, Mumbai",27.6,26.4,26.9,90,23.9,18.4,248,1006.2,20.6
2019-07-26,53.0,41.0,5.0,1.0,3.0,1.0,"Colaba, Mumbai",27.6,26.0,26.6,90,25.7,21.4,250,1005.5,30.3
2019-07-27,56.0,47.0,6.0,1.0,3.0,1.0,"Colaba, Mumbai",27.3,25.8,26.3,90,30.2,24.6,256,1005.2,43.0
2019-07-28,59.0,45.0,5.0,1.0,3.0,1.0,"Colaba, Mumbai",27.5,25.8,26.8,87,29.9,23.0,259,1005.1,12.0
2019-07-29,56.0,32.0,5.0,1.0,3.0,1.0,"Colaba, Mumbai",26.6,25.5,26.2,90,29.4,23.7,258,1004.5,27.9
2019-07-30,47.0,29.0,4.0,1.0,3.0,1.0,"Colaba, Mumbai",26.9,25.8,26.2,89,33.7,28.6,255,1005.2,65.5
2019-07-31,46.0,34.0,6.0,1.0,3.0,1.0,"Colaba, Mumbai",26.8,25.6,26.3,89,30.0,25.6,252,1006.3,31.8
2019-08-01,46.0,30.0,8.0,4.0,3.0,1.0,"Colaba, Mumbai",27.8,26.2,26.8,86,30.0,27.3,254,1005.7,14.2
2019-08-02,43.0,23.0,5.0,4.0,3.0,1.0,"Colaba, Mumbai",28.2,25.6,26.5,89,35.3,29.5,245,1004.6,33.1
2019-08-03,39.0,34.0,5.0,4.0,4.0,1.0,"Colaba, Mumbai",26.2,25.7,26.0,91,37.1,30.3,246,1003.7,97.5
2019-08-04,47.0,38.0,3.0,4.0,2.0,1.0,"Colaba, Mumbai",26.6,25.8,26.3,89,37.0,28.7,266,1003.2,90.7
2019-08-05,50.0,34.0,8.0,4.0,1.9411764705882355,1.0,"Colaba, Mumbai",26.6,25.8,26.1,91,31.0,26.9,262,1002.9,56.9
2019-08-06,46.0,38.0,8.0,4.0,1.8823529411764703,2.0,"Colaba, Mumbai",27.2,25.9,26.4,90,32.7,27.6,255,1002.9,40.8
2019-08-07,51.0,56.0,7.0,1.0,1.8235294117647056,2.0,"Colaba, Mumbai",28.1,26.0,26.8,88,34.7,28.3,257,1001.8,19.2
2019-08-08,68.0,54.0,8.0,1.0,4.0,2.0,"Colaba, Mumbai",27.7,26.3,26.9,87,36.4,32.2,260,1000.3,11.9
2019-08-09,68.0,133.0,9.0,1.0,4.0,2.0,"Colaba, Mumbai",27.9,26.3,27.0,86,39.7,35.9,252,1000.5,9.2
2019-08-10,72.0,49.0,10.0,1.0,4.0,2.0,"Colaba, Mumbai",28.2,26.2,27.1,84,42.5,35.9,238,1002.0,10.0
2019-08-11,61.0,47.0,9.0,1.0,4.0,2.0,"Colaba, Mumbai",28.2,25.6,26.7,86,37.0,27.4,236,1004.3,13.6
2019-08-12,57.0,39.0,9.0,2.0,4.0,2.0,"Colaba, Mumbai",28.1,25.7,26.8,87,23.4,18.7,244,1005.4,5.5
2019-08-13,50.0,49.0,10.0,1.0,4.0,2.0,"Colaba, Mumbai",28.2,25.7,26.8,89,20.5,15.6,244,1005.4,5.0
2019-08-14,58.0,38.0,9.0,1.0,4.0,2.0,"Colaba, Mumbai",27.7,25.9,26.7,90,19.8,15.6,239,1006.2,8.6
2019-08-15,56.0,42.0,9.0,1.0,4.0,2.0,"Colaba, Mumbai",27.3,25.6,26.5,89,23.7,19.2,239,1007.1,10.9
2019-08-16,54.0,42.0,11.0,1.0,4.0,2.0,"Colaba, Mumbai",28.4,25.6,26.8,87,26.4,20.7,239,1006.5,7.7
2019-08-17,51.0,40.0,11.0,1.0,4.0,2.0,"Colaba, Mumbai",28.2,25.9,27.0,86,23.9,19.0,229,1006.2,3.5
2019-08-18,50.0,41.0,9.0,1.0,4.0,3.0,"Colaba, Mumbai",28.5,25.8,26.9,86,18.9,14.1,229,1007.9,2.5
2019-08-19,51.0,50.0,8.0,1.0,4.0,3.0,"Colaba, Mumbai",28.0,25.8,26.9,87,16.6,10.7,236,1008.8,2.6
2019-08-20,48.0,42.0,10.0,1.0,4.0,3.0,"Colaba, Mumbai",28.3,25.8,27.1,87,16.2,8.6,274,1008.8,1.7
2019-08-21,44.0,39.0,9.0,2.0,1.0,3.0,"Colaba, Mumbai",27.4,25.9,26.6,89,15.2,10.1,275,1008.2,5.1
2019-08-22,47.0,34.0,8.0,2.0,3.0,3.0,"Colaba, Mumbai",27.3,25.4,26.3,89,15.1,10.2,266,1007.5,4.8
2019-08-23,45.0,35.0,11.0,1.8333333333333333,3.0,2.0,"Colaba, Mumbai",27.7,25.1,26.3,89,16.7,10.7,240,1007.5,5.1
2019-08-24,45.0,33.8,10.2,1.6666666666666667,3.6,2.2,"Colaba, Mumbai",27.5,25.0,26.2,89,16.8,13.4,214,1007.1,6.2
2019-08-28,41.0,29.0,7.0,1.0,6.0,3.0,"Colaba, Mumbai",27.5,25.4,26.5,89,22.4,17.7,199,1004.9,4.1
2019-08-29,40.0,27.0,6.0,1.0,7.0,3.0,"Colaba, Mumbai",28.0,25.4,26.8,88,21.5,14.1,203,1005.3,5.1
