date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
2019-12-02,135.0,75.0,9.0,23.0,1.0,6.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai",33.4,24.2,28.0,65,13.6,9.5,25,1011.3,0.0
2019-12-03,92.0,92.0,7.5,16.0,9.0,9.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai",32.2,24.5,27.7,67,14.2,9.7,75,1011.6,0.1
2019-12-04,145.0,125.0,6.0,10.0,3.0,9.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai",31.6,24.8,27.4,71,11.6,9.5,27,1012.5,0.0
2019-12-05,175.0,116.0,15.0,17.0,4.0,10.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai",29.5,25.5,27.6,74,16.4,8.1,45,1014.1,3.4
2019-12-06,170.0,108.0,17.0,19.0,6.0,10.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai",32.5,25.2,28.0,61,19.5,10.7,29,1013.5,0.0
2019-12-07,161.0,113.0,16.0,23.0,5.0,10.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai",31.5,23.0,26.4,61,17.7,10.2,13,1012.7,0.0
2019-12-08,171.0,104.0,15.0,23.0,5.0,11.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai",31.5,22.4,26.0,64,14.7,9.3,16,1013.1,0.0
2019-12-09,166.0,109.0,14.0,26.0,4.0,12.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai",32.0,22.1,26.5,69,14.7,9.0,7,1012.8,0.0
2019-12-10,166.0,127.0,9.0,22.0,4.0,15.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai",31.5,22.5,26.6,75,14.7,7.8,344,1011.7,0.0
2019-12-11,177.0,127.0,13.0,20.0,4.0,14.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai",30.2,22.4,26.1,77,13.7,8.0,337,1010.7,0.0
2019-12-12,174.0,101.0,11.0,19.0,3.0,10.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai",29.5,22.2,25.6,74,15.0,7.9,322,1010.6,0.0
2019-12-13,147.0,99.0,11.0,18.0,4.0,9.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai",28.8,21.7,24.6,78,20.8,10.7,350,1012.6,0.0
2019-12-14,146.0,109.0,10.0,19.0,4.0,11.0,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai",29.2,19.9,24.1,67,19.9,11.9,349,1014.5,0.0
