date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
2021-12-27,163.0,16.0,16.0,13.0,2.0,33.0,"Deonar, Mumbai",28.7,19.0,23.2,75,15.8,9.1,351,1014.1,0.0
2021-12-28,36.0,50.0,6.0,12.0,2.0,30.0,"Deonar, Mumbai",27.6,19.1,23.0,76,22.7,11.1,341,1013.5,0.0
2021-12-29,88.0,96.0,14.0,14.0,10.0,32.0,"Deonar, Mumbai",27.4,20.0,23.0,69,22.0,14.9,353,1013.8,0.0
2021-12-30,159.0,102.0,7.0,15.0,3.0,34.0,"Deonar, Mumbai",29.9,19.1,23.5,69,23.0,11.6,8,1014.5,0.0
2021-12-31,163.0,89.0,17.0,17.0,4.0,35.0,"Deonar, Mumbai",31.1,21.5,25.0,68,18.4,12.1,29,1015.3,0.0
2022-01-01,154.0,94.0,16.0,16.0,3.0,36.0,"Deonar, Mumbai",31.0,20.7,24.9,68,17.0,10.9,20,1015.8,0.0
2022-01-02,157.0,100.0,24.0,13.0,8.0,37.0,"Deonar, Mumbai",30.0,21.1,24.9,68,15.8,9.3,4,1014.5,0.0
2022-01-03,159.0,111.0,14.0,14.0,7.0,38.0,"Deonar, Mumbai",30.4,21.7,25.0,71,16.6,8.8,357,1013.9,0.0
2022-01-04,168.0,110.0,12.0,17.0,11.0,38.0,"Deonar, Mumbai",31.0,21.1,24.9,74,16.9,8.3,355,1013.9,0.0
2022-01-05,168.0,89.0,9.0,9.0,4.0,36.0,"Deonar, Mumbai",27.8,21.0,24.3,80,18.9,8.2,326,1013.5,0.0
2022-01-06,151.0,99.0,10.0,10.0,11.0,36.0,"Deonar, Mumbai",27.5,21.0,23.7,81,18.4,9.7,341,1013.0,0.0
2022-01-07,162.0,76.0,2.0,9.0,14.0,35.0,"Deonar, Mumbai",26.7,19.7,23.4,80,17.3,7.4,295,1012.5,0.0
2022-01-08,139.0,54.0,13.0,6.0,6.0,32.0,"Deonar, Mumbai",24.2,21.4,22.6,86,12.3,7.3,6,1013.8,3.7
2022-01-09,94.0,63.0,11.0,11.0,8.0,29.0,"Deonar, Mumbai",25.4,19.6,22.0,60,24.1,15.5,346,1013.8,0.0
2022-01-10,110.0,90.0,8.0,14.0,8.0,34.0,"Deonar, Mumbai",24.1,17.1,20.1,58,24.9,14.2,349,1014.0,0.0
2022-01-11,156.0,82.0,8.0,14.0,16.0,35.0,"Deonar, Mumbai",24.1,15.9,20.0,73,16.1,8.8,344,1013.5,0.0
2022-01-12,144.0,98.0,8.0,9.0,9.5,39.0,"Deonar, Mumbai",24.6,17.5,21.0,70,21.4,12.6,345,1013.1,0.0
2022-01-13,162.0,100.0,12.0,14.0,3.0,21.0,"Deonar, Mumbai",25.4,17.0,21.0,74,17.5,7.8,337,1012.3,0.0
2022-01-14,159.0,100.0,11.0,14.0,2.0,5.0,"Deonar, Mumbai",25.5,18.1,21.8,77,17.7,8.9,340,1012.3,0.0
