date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
2021-12-27,135.0,117.0,3.0,26.0,9.0,10.0,"Kandivali East, Mumbai",29.4,18.2,23.3,73,14.0,9.6,357,1014.2,0.0
2021-12-28,173.0,91.0,3.0,19.0,8.0,9.0,"Kandivali East, Mumbai",27.5,18.5,22.7,76,22.2,12.0,348,1013.6,0.0
2021-12-29,150.0,134.0,4.0,17.0,8.0,10.0,"Kandivali East, Mumbai",27.0,19.5,22.7,67,22.8,15.5,354,1013.9,0.0
2021-12-30,165.0,137.2941176470588,6.0,6.0,8.0,9.0,"Kandivali East, Mumbai",29.4,19.5,23.4,66,21.3,13.3,29,1014.6,0.0
2021-12-31,165.82857142857142,140.58823529411765,5.0,5.0,8.0,10.0,"Kandivali East, Mumbai",31.0,21.6,24.9,66,17.7,14.8,60,1015.5,0.0
2022-01-01,166.65714285714284,143.88235294117646,3.0,4.0,8.0,9.0,"Kandivali East, Mumbai",31.0,21.1,24.9,64,16.9,12.0,47,1015.8,0.0
2022-01-02,167.4857142857143,87.0,3.0,5.0,9.0,11.0,"Kandivali East, Mumbai",30.0,21.2,24.7,65,13.0,9.7,21,1014.7,0.0
2022-01-03,123.0,87.0,3.0,5.0,8.0,9.0,"Kandivali East, Mumbai",30.6,21.2,25.0,68,14.8,9.7,31,1014.0,0.0
2022-01-04,123.0,87.0,3.0,5.0,9.0,11.0,"Kandivali East, Mumbai",30.6,20.4,24.6,73,14.0,8.8,7,1013.9,0.0
2022-01-05,123.0,87.0,3.0,3.0,8.0,9.0,"Kandivali East, Mumbai",28.2,20.7,24.0,80,15.5,8.1,334,1013.5,0.0
2022-01-06,123.0,87.0,4.0,5.0,9.0,11.0,"Kandivali East, Mumbai",27.5,20.6,23.5,80,16.4,9.9,347,1013.1,0.0
2022-01-07,123.0,87.0,4.0,4.0,9.0,9.0,"Kandivali East, Mumbai",27.2,19.2,23.1,79,14.8,7.6,297,1012.5,0.0
2022-01-08,123.0,87.0,5.0,3.0,8.0,7.0,"Kandivali East, Mumbai",24.8,20.6,22.4,84,15.5,8.7,351,1013.8,1.7
2022-01-09,123.0,87.0,4.0,5.0,8.0,8.0,"Kandivali East, Mumbai",25.0,18.6,21.4,56,22.4,16.2,351,1014.0,0.0
2022-01-10,123.0,87.0,3.0,7.0,9.0,13.0,"Kandivali East, Mumbai",24.0,16.1,19.6,57,23.5,15.8,353,1014.1,0.0
2022-01-11,123.0,87.0,4.0,6.0,10.0,11.0,"Kandivali East, Mumbai",24.4,14.5,19.8,72,15.1,9.1,348,1013.6,0.0
2022-01-12,123.0,87.0,5.0,5.0,9.0,14.0,"Kandivali East, Mumbai",25.0,16.6,20.7,68,19.5,14.2,350,1013.2,0.0
2022-01-13,123.0,87.0,5.0,5.0,10.0,12.0,"Kandivali East, Mumbai",25.8,15.8,20.8,71,17.1,9.6,347,1012.3,0.0
2022-01-14,123.0,87.0,4.0,5.0,11.0,12.0,"Kandivali East, Mumbai",26.0,17.5,21.4,76,16.6,9.8,349,1012.4,0.0
2022-01-15,123.0,87.0,5.0,5.0,10.0,11.0,"Kandivali East, Mumbai",29.0,19.0,22.9,65,20.7,13.9,23,1012.9,0.0
2022-01-16,123.0,87.0,2.0,5.0,10.0,11.0,"Kandivali East, Mumbai",31.2,20.3,24.3,58,18.8,13.3,51,1013.3,0.0
2022-01-17,123.0,87.0,3.0,6.0,10.0,13.0,"Kandivali East, Mumbai",30.4,21.0,24.6,64,15.5,11.3,36,1015.1,0.0
2022-01-18,123.0,87.0,5.0,6.0,13.0,12.0,"Kandivali East, Mumbai",28.4,20.0,24.0,67,16.4,11.0,354,1015.0,0.0
2022-01-19,123.0,87.0,7.0,5.0,14.0,11.0,"Kandivali East, Mumbai",29.1,18.5,23.6,70,16.9,10.1,346,1013.5,0.0
2022-01-20,123.0,87.0,7.0,3.0,11.0,10.0,"Kandivali East, Mumbai",27.0,19.0,22.6,71,15.7,9.8,334,1012.0,0.0
2022-01-21,123.0,87.0,7.0,2.0,11.0,10.0,"Kandivali East, Mumbai",26.5,19.0,22.6,85,13.1,8.0,331,1011.8,0.0
2022-01-22,123.0,87.0,6.0,3.0,10.0,8.0,"Kandivali East, Mumbai",26.5,20.1,23.3,82,23.5,12.0,273,1010.3,2.2
2022-01-23,123.0,87.0,4.0,2.0,14.0,9.0,"Kandivali East, Mumbai",23.0,17.6,21.3,59,22.5,17.0,317,1011.7,0.3
2022-01-24,123.0,87.0,4.0,4.0,11.0,10.0,"Kandivali East, Mumbai",24.1,15.2,19.2,55,26.8,13.8,1,1012.5,0.0
2022-01-25,123.0,87.0,3.6666666666666665,10.0,12.666666666666666,12.0,"Kandivali East, Mumbai",25.3,14.6,19.8,55,20.4,13.0,356,1012.2,0.0
2022-01-26,123.0,87.0,3.333333333333333,10.0,14.333333333333334,14.0,"Kandivali East, Mumbai",26.7,16.3,21.1,56,20.5,13.9,358,1012.0,0.0
2022-01-27,123.0,87.0,3.0,7.0,16.0,16.0,"Kandivali East, Mumbai",28.6,17.6,22.3,51,20.8,12.1,16,1012.2,0.0
2022-01-28,123.0,87.0,3.5,10.0,17.0,12.0,"Kandivali East, Mumbai",30.1,19.7,23.7,44,21.3,15.6,39,1013.1,0.0
2022-01-29,123.0,87.0,4.0,10.0,15.0,12.0,"Kandivali East, Mumbai",30.5,17.5,23.1,49,18.8,11.9,22,1014.1,0.0
2022-01-30,123.0,87.0,5.0,11.0,16.0,12.0,"Kandivali East, Mumbai",29.0,16.4,22.2,57,16.6,9.6,355,1012.9,0.0
2022-01-31,123.0,87.0,3.0,13.0,17.0,12.5,"Kandivali East, Mumbai",28.6,17.7,22.4,58,17.9,10.9,346,1012.1,0.0
2022-02-01,135.0,246.0,2.0,12.0,18.0,13.0,"Kandivali East, Mumbai",28.8,16.0,21.8,66,20.0,11.8,346,1011.3,0.0
2022-02-02,135.0,88.0,3.0,6.0,18.0,12.0,"Kandivali East, Mumbai",27.4,16.4,21.7,80,18.7,10.2,333,1011.4,0.0
2022-02-03,194.0,160.0,3.0,3.0,19.0,11.0,"Kandivali East, Mumbai",25.7,17.7,21.6,86,13.6,8.2,249,1011.3,0.0
2022-02-04,145.0,176.0,3.0,8.0,18.0,12.0,"Kandivali East, Mumbai",26.0,17.7,22.1,74,14.6,8.4,287,1011.0,0.0
2022-02-05,162.0,138.0,2.0,9.0,19.0,12.0,"Kandivali East, Mumbai",27.1,15.9,21.2,69,18.7,10.5,349,1011.5,0.0
2022-02-06,163.0,147.0,4.0,5.0,18.0,12.0,"Kandivali East, Mumbai",27.0,17.9,21.9,69,17.8,10.0,328,1013.1,0.0
2022-02-07,139.0,72.0,5.0,4.0,19.0,10.0,"Kandivali East, Mumbai",25.7,18.1,21.5,82,21.1,11.2,332,1014.5,0.0
2022-02-08,87.0,80.0,3.0,4.0,19.0,10.0,"Kandivali East, Mumbai",25.4,18.6,21.7,80,16.8,10.2,323,1013.7,0.0
2022-02-09,111.0,114.0,3.0,6.0,21.0,12.0,"Kandivali East, Mumbai",25.8,17.8,21.7,79,20.1,11.2,344,1013.2,0.1
2022-02-10,154.0,110.0,3.0,6.0,19.0,13.0,"Kandivali East, Mumbai",29.8,19.0,23.7,54,24.7,14.4,350,1012.6,0.0
2022-02-11,138.0,103.0,3.0,7.0,17.0,13.0,"Kandivali East, Mumbai",32.1,21.5,25.6,44,23.0,15.4,17,1012.0,0.0
2022-02-12,152.0,102.0,3.0,8.0,16.0,14.0,"Kandivali East, Mumbai",30.1,19.7,24.5,51,18.8,11.9,352,1011.7,0.0
2022-02-13,158.0,80.0,3.0,6.0,15.0,13.0,"Kandivali East, Mumbai",29.6,18.5,23.6,62,18.9,9.9,338,1010.2,0.0
2022-02-14,121.0,71.0,3.0,5.0,16.0,12.0,"Kandivali East, Mumbai",28.3,18.7,23.4,56,18.1,10.9,349,1010.7,0.0
2022-02-15,96.0,62.0,3.0,3.0,16.0,11.0,"Kandivali East, Mumbai",26.8,19.5,22.9,69,16.3,10.7,330,1010.9,0.0
2022-02-16,80.0,67.0,4.0,4.0,16.0,11.0,"Kandivali East, Mumbai",26.4,19.0,22.2,80,16.0,9.1,328,1009.4,0.0
2022-02-17,98.0,83.0,3.0,5.0,17.0,12.0,"Kandivali East, Mumbai",26.5,16.9,21.8,82,13.0,7.2,316,1008.1,0.0
2022-02-18,125.0,87.0,3.0,6.0,17.0,13.0,"Kandivali East, Mumbai",27.7,17.2,22.8,78,14.5,7.5,248,1009.1,0.0
2022-02-19,144.0,86.0,3.0,6.0,17.0,13.0,"Kandivali East, Mumbai",29.0,18.5,23.5,78,17.1,9.6,328,1011.1,0.0
2022-02-20,149.0,112.0,3.0,8.0,18.0,15.0,"Kandivali East, Mumbai",30.0,19.2,24.3,65,20.5,11.2,338,1010.9,0.0
2022-02-21,158.0,96.0,3.0,8.0,17.0,13.0,"Kandivali East, Mumbai",30.5,17.6,24.1,55,23.4,12.6,337,1010.1,0.0
2022-02-22,132.0,96.0,27.0,6.0,18.0,13.0,"Kandivali East, Mumbai",29.7,18.5,23.5,66,19.6,10.6,335,1011.0,0.0
2022-02-23,131.0,116.0,25.08333333333333,8.0,18.0,15.0,"Kandivali East, Mumbai",29.4,18.5,24.1,65,18.6,11.2,341,1012.3,0.0
2022-02-24,162.0,141.0,23.166666666666668,9.0,18.0,15.0,"Kandivali East, Mumbai",30.2,20.7,25.3,61,18.1,11.7,331,1013.7,0.0
2022-02-25,168.0,125.0,21.25,7.0,18.0,14.0,"Kandivali East, Mumbai",30.2,20.1,25.1,58,19.6,12.8,328,1013.0,0.0
2022-02-26,160.0,138.77777777777777,6.0,8.222222222222221,18.666666666666668,14.333333333333334,"Kandivali East, Mumbai",29.6,20.1,24.7,64,19.5,12.0,336,1013.0,0.0
2022-03-06,256.8888888888889,249.0,4.0,18.0,24.0,17.0,"Kandivali East, Mumbai",34.2,21.8,27.3,51,19.1,11.2,329,1009.9,0.0
2022-03-07,269.0,122.0,3.0,13.0,18.0,16.0,"Kandivali East, Mumbai",32.1,23.0,27.5,55,14.9,10.4,331,1010.1,0.0
2022-03-08,207.0,139.0,3.0,6.0,18.0,16.0,"Kandivali East, Mumbai",35.5,25.3,28.7,53,24.7,14.3,356,1010.2,0.0
2022-03-09,191.0,117.0,3.0,5.0,19.0,15.0,"Kandivali East, Mumbai",34.8,24.6,28.4,55,16.8,10.4,346,1010.2,0.0
