date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
2021-12-27,140.0,84.0,20.0,8.0,1.0,26.0,"Khindipada-Bhandup West, Mumbai",31.4,16.6,22.9,70,10.8,7.5,7,1014.1,0.0
2021-12-28,152.0,64.0,16.0,11.0,3.0,26.0,"Khindipada-Bhandup West, Mumbai",30.0,16.9,22.8,72,15.6,8.2,335,1013.5,0.0
2021-12-29,116.0,78.0,13.0,8.0,2.0,26.0,"Khindipada-Bhandup West, Mumbai",29.0,17.9,22.6,64,12.9,9.9,355,1013.8,0.0
2021-12-30,138.0,83.0,12.0,7.0,2.0,26.0,"Khindipada-Bhandup West, Mumbai",31.2,18.1,23.2,64,15.1,9.6,28,1014.6,0.0
2021-12-31,148.0,67.0,16.0,7.0,2.0,26.0,"Khindipada-Bhandup West, Mumbai",32.2,20.0,24.9,65,12.9,9.6,40,1015.5,0.0
2022-01-01,118.0,71.0,13.0,2.0,1.0,24.0,"Khindipada-Bhandup West, Mumbai",32.2,19.2,24.7,63,11.2,8.6,26,1015.9,0.0
2022-01-02,125.0,74.0,15.0,2.0,2.0,24.0,"Khindipada-Bhandup West, Mumbai",31.8,19.5,24.7,64,11.7,8.2,13,1014.6,0.0
2022-01-03,133.0,78.0,23.0,6.0,1.0,25.0,"Khindipada-Bhandup West, Mumbai",32.3,20.7,25.0,66,12.4,8.3,15,1014.0,0.0
2022-01-04,136.0,92.0,9.0,8.0,12.0,14.0,"Khindipada-Bhandup West, Mumbai",32.5,19.5,24.8,70,12.9,7.4,5,1013.9,0.0
2022-01-05,154.0,80.0,9.0,3.0,20.0,12.8,"Khindipada-Bhandup West, Mumbai",30.3,19.1,24.3,77,13.8,6.4,315,1013.5,0.0
2022-01-06,138.0,107.0,14.0,6.0,4.0,11.6,"Khindipada-Bhandup West, Mumbai",29.2,19.6,23.3,79,13.9,7.8,336,1013.1,0.0
2022-01-07,170.0,79.0,8.0,3.0,3.0,10.4,"Khindipada-Bhandup West, Mumbai",29.0,18.2,22.9,78,13.7,7.0,324,1012.5,0.0
2022-01-08,144.0,59.0,10.0,2.0,2.0,8.0,"Khindipada-Bhandup West, Mumbai",25.2,19.8,22.0,86,10.0,5.3,10,1013.8,2.1
2022-01-09,105.5,39.0,12.0,1.0,1.0,8.0,"Khindipada-Bhandup West, Mumbai",26.6,17.0,21.2,57,16.3,10.4,338,1013.8,0.0
2022-01-10,67.0,78.0,13.0,1.0,1.0,24.0,"Khindipada-Bhandup West, Mumbai",25.7,13.6,18.8,57,18.3,10.3,342,1014.0,0.0
2022-01-11,141.0,74.0,12.0,1.0,1.0,26.0,"Khindipada-Bhandup West, Mumbai",26.2,13.6,19.8,70,12.4,6.7,325,1013.5,0.0
2022-01-12,125.0,93.0,15.0,3.0,6.0,30.0,"Khindipada-Bhandup West, Mumbai",26.9,13.9,20.3,68,15.5,9.5,341,1013.1,0.0
2022-01-13,154.0,70.0,17.0,3.0,7.0,29.0,"Khindipada-Bhandup West, Mumbai",27.5,13.9,20.4,72,14.9,7.4,343,1012.2,0.0
2022-01-14,133.0,76.0,15.0,10.0,2.0,28.0,"Khindipada-Bhandup West, Mumbai",27.6,15.9,21.4,73,14.1,7.7,338,1012.2,0.0
2022-01-15,140.0,65.0,24.0,7.0,3.0,28.0,"Khindipada-Bhandup West, Mumbai",30.0,17.1,22.6,65,16.6,10.2,11,1012.8,0.0
2022-01-16,113.0,72.0,23.0,5.0,3.0,29.0,"Khindipada-Bhandup West, Mumbai",32.2,18.7,24.3,56,14.0,10.1,44,1013.2,0.0
2022-01-17,127.0,72.0,29.0,1.0,5.0,32.0,"Khindipada-Bhandup West, Mumbai",32.2,19.5,24.8,61,14.1,9.6,16,1015.1,0.0
2022-01-18,130.0,82.0,25.0,1.0,2.0,28.0,"Khindipada-Bhandup West, Mumbai",31.0,19.1,24.4,62,15.4,9.4,354,1014.9,0.0
2022-01-19,141.0,63.0,30.0,5.0,3.0,28.0,"Khindipada-Bhandup West, Mumbai",32.5,17.6,23.8,64,15.4,9.0,347,1013.4,0.0
2022-01-20,113.0,55.0,14.0,9.0,3.0,26.0,"Khindipada-Bhandup West, Mumbai",29.6,16.8,22.6,67,14.3,8.3,328,1011.9,0.0
2022-01-21,99.0,48.0,10.0,12.0,1.0,24.0,"Khindipada-Bhandup West, Mumbai",28.6,16.5,22.0,83,13.7,7.6,331,1011.7,0.0
2022-01-22,90.0,111.5,15.0,9.0,2.0,24.0,"Khindipada-Bhandup West, Mumbai",27.2,18.5,22.8,82,22.0,9.9,271,1010.3,1.6
2022-01-23,360.0,175.0,29.0,8.0,3.0,25.0,"Khindipada-Bhandup West, Mumbai",23.4,15.2,21.0,60,17.4,12.3,312,1011.5,0.1
2022-01-24,217.0,140.0,14.0,12.0,2.0,27.0,"Khindipada-Bhandup West, Mumbai",25.4,11.8,17.9,59,20.1,10.2,6,1012.5,0.0
2022-01-25,191.0,120.0,20.0,2.0,3.0,27.0,"Khindipada-Bhandup West, Mumbai",27.0,11.1,18.7,56,15.9,9.7,355,1012.1,0.0
2022-01-26,177.0,95.0,16.0,4.0,5.0,28.0,"Khindipada-Bhandup West, Mumbai",28.9,13.9,20.8,52,15.5,9.8,358,1011.9,0.0
2022-01-27,163.0,56.0,28.0,11.0,4.0,29.0,"Khindipada-Bhandup West, Mumbai",30.9,15.7,22.4,49,16.6,9.8,14,1012.1,0.0
2022-01-28,106.0,43.0,29.5,7.0,4.0,29.5,"Khindipada-Bhandup West, Mumbai",31.8,17.7,23.8,42,15.4,12.0,26,1013.1,0.0
2022-01-29,82.5,30.0,31.0,3.0,4.0,30.0,"Khindipada-Bhandup West, Mumbai",32.3,16.2,23.0,46,14.2,9.8,16,1014.0,0.0
2022-01-30,59.0,29.0,33.0,3.0,4.0,29.0,"Khindipada-Bhandup West, Mumbai",32.3,14.6,22.7,51,12.5,8.6,358,1012.8,0.0
2022-01-31,60.0,23.0,23.0,12.0,5.0,28.0,"Khindipada-Bhandup West, Mumbai",31.9,14.7,22.1,52,15.2,8.8,339,1012.0,0.0
2022-02-01,51.0,33.0,17.0,1.0,2.0,27.0,"Khindipada-Bhandup West, Mumbai",32.0,12.9,21.6,64,17.6,10.3,346,1011.2,0.0
2022-02-02,67.0,27.0,16.0,1.0,5.0,29.0,"Khindipada-Bhandup West, Mumbai",31.2,15.6,22.0,74,15.3,8.6,324,1011.3,0.0
2022-02-03,58.0,36.0,10.0,1.0,2.0,24.0,"Khindipada-Bhandup West, Mumbai",28.0,15.6,21.5,84,14.8,7.0,274,1011.3,0.0
2022-02-04,74.0,106.0,16.0,1.0,2.0,25.0,"Khindipada-Bhandup West, Mumbai",27.8,17.1,22.2,73,11.3,6.5,306,1010.9,0.0
2022-02-05,162.0,112.0,37.0,11.0,5.0,25.0,"Khindipada-Bhandup West, Mumbai",29.9,13.8,21.4,66,16.7,8.4,345,1011.4,0.0
2022-02-06,174.0,83.0,22.0,3.0,2.0,26.0,"Khindipada-Bhandup West, Mumbai",30.2,14.9,21.9,67,15.8,8.9,322,1013.0,0.0
2022-02-07,151.0,55.0,16.0,2.0,2.0,24.0,"Khindipada-Bhandup West, Mumbai",28.0,15.9,21.5,79,18.8,9.7,326,1014.4,0.0
2022-02-08,103.0,68.0,20.0,2.0,2.0,25.0,"Khindipada-Bhandup West, Mumbai",27.1,16.1,21.2,80,16.2,9.0,323,1013.6,0.0
2022-02-09,126.0,81.0,18.0,10.0,3.0,26.0,"Khindipada-Bhandup West, Mumbai",28.2,15.8,21.5,76,17.4,9.5,342,1013.2,0.0
2022-02-10,148.0,66.0,17.0,4.0,2.0,25.0,"Khindipada-Bhandup West, Mumbai",32.2,16.6,23.7,52,19.6,10.9,354,1012.4,0.0
2022-02-11,120.0,65.0,32.0,2.0,3.0,26.0,"Khindipada-Bhandup West, Mumbai",34.1,20.6,26.1,39,18.2,13.5,19,1011.8,0.0
2022-02-12,120.0,70.0,42.0,2.0,3.0,28.0,"Khindipada-Bhandup West, Mumbai",33.5,19.1,25.0,45,18.9,10.3,352,1011.6,0.0
2022-02-13,128.0,59.0,26.0,2.0,2.0,24.0,"Khindipada-Bhandup West, Mumbai",33.1,16.8,23.8,55,17.6,9.8,338,1010.1,0.0
2022-02-14,107.0,51.0,11.0,2.0,1.0,20.0,"Khindipada-Bhandup West, Mumbai",31.0,16.5,23.7,50,18.6,10.4,336,1010.6,0.0
2022-02-15,93.0,40.0,10.0,1.0,3.0,19.0,"Khindipada-Bhandup West, Mumbai",29.4,16.1,22.5,59,15.3,9.7,327,1010.8,0.0
2022-02-16,77.0,44.0,7.0,10.0,2.0,20.0,"Khindipada-Bhandup West, Mumbai",28.6,16.2,21.8,76,14.9,8.3,333,1009.3,0.0
2022-02-17,83.0,55.0,9.0,1.0,1.0,21.0,"Khindipada-Bhandup West, Mumbai",29.2,16.6,22.2,77,12.7,5.4,296,1008.1,0.0
2022-02-18,98.0,58.0,11.0,5.0,2.0,22.0,"Khindipada-Bhandup West, Mumbai",30.7,16.5,23.2,73,14.1,5.8,273,1009.0,0.0
2022-02-19,106.0,61.0,30.0,1.0,1.0,22.0,"Khindipada-Bhandup West, Mumbai",33.3,17.4,24.4,68,15.1,8.1,322,1011.0,0.0
2022-02-20,111.0,71.0,27.0,10.0,1.0,23.0,"Khindipada-Bhandup West, Mumbai",33.9,16.5,24.5,57,19.3,10.6,338,1010.7,0.0
2022-02-21,132.0,88.0,43.0,3.0,1.0,22.0,"Khindipada-Bhandup West, Mumbai",34.3,15.6,24.4,46,21.4,11.2,341,1010.0,0.0
2022-02-22,157.0,70.0,26.0,11.0,2.0,23.0,"Khindipada-Bhandup West, Mumbai",34.0,16.7,24.1,58,18.4,9.1,331,1010.9,0.0
2022-02-23,133.0,75.0,15.0,1.0,1.6666666666666667,21.0,"Khindipada-Bhandup West, Mumbai",33.5,16.8,25.2,57,15.2,8.9,332,1012.2,0.0
2022-02-24,134.0,117.0,27.0,1.0,1.3333333333333337,22.0,"Khindipada-Bhandup West, Mumbai",34.2,18.2,25.7,52,16.4,9.1,319,1013.5,0.0
