date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
2019-12-02,153.0,97.0,21.0,30.0,57.0,4.0,"Kurla, Mumbai",33.4,24.2,28.0,65,13.6,9.5,25,1011.3,0.0
2019-12-03,99.0,95.0,33.0,29.0,59.0,4.0,"Kurla, Mumbai",32.2,24.5,27.7,67,14.2,9.7,75,1011.6,0.1
2019-12-04,134.0,105.0,26.0,26.0,63.0,5.0,"Kurla, Mumbai",31.6,24.8,27.4,71,11.6,9.5,27,1012.5,0.0
2019-12-05,149.0,104.0,107.0,23.0,62.0,6.0,"Kurla, Mumbai",29.5,25.5,27.6,74,16.4,8.1,45,1014.1,3.4
2019-12-06,164.0,179.0,45.0,24.0,62.0,5.0,"Kurla, Mumbai",32.5,25.2,28.0,61,19.5,10.7,29,1013.5,0.0
2019-12-07,193.0,120.0,45.0,28.0,62.0,6.0,"Kurla, Mumbai",31.5,23.0,26.4,61,17.7,10.2,13,1012.7,0.0
2019-12-08,169.0,114.0,41.0,30.0,63.0,6.0,"Kurla, Mumbai",31.5,22.4,26.0,64,14.7,9.3,16,1013.1,0.0
2019-12-09,163.0,122.0,36.0,36.0,57.0,7.0,"Kurla, Mumbai",32.0,22.1,26.5,69,14.7,9.0,7,1012.8,0.0
2019-12-10,165.0,143.0,25.0,40.0,65.0,8.0,"Kurla, Mumbai",31.5,22.5,26.6,75,14.7,7.8,344,1011.7,0.0
2019-12-11,177.0,150.0,33.0,37.0,74.0,8.0,"Kurla, Mumbai",30.2,22.4,26.1,77,13.7,8.0,337,1010.7,0.0
2019-12-12,177.0,106.0,36.0,25.0,82.0,4.0,"Kurla, Mumbai",29.5,22.2,25.6,74,15.0,7.9,322,1010.6,0.0
2019-12-13,150.0,106.0,30.0,27.0,82.0,4.0,"Kurla, Mumbai",28.8,21.7,24.6,78,20.8,10.7,350,1012.6,0.0
2019-12-14,146.0,150.0,32.0,33.0,87.0,6.0,"Kurla, Mumbai",29.2,19.9,24.1,67,19.9,11.9,349,1014.5,0.0
2019-12-15,164.0,133.0,33.0,31.0,101.0,7.0,"Kurla, Mumbai",28.7,20.4,24.2,65,17.2,11.7,346,1013.3,0.0
2019-12-16,171.0,118.0,40.0,24.0,107.0,6.0,"Kurla, Mumbai",30.0,21.0,24.8,70,19.1,10.7,348,1012.7,0.0
2019-12-17,166.0,105.0,41.0,24.0,106.0,5.0,"Kurla, Mumbai",31.2,21.9,25.4,71,18.1,10.9,8,1013.4,0.0
2019-12-18,161.0,105.0,36.0,25.0,101.0,5.0,"Kurla, Mumbai",31.9,21.9,25.8,66,16.8,10.5,24,1014.1,0.0
2019-12-19,158.0,155.0,34.0,42.0,116.0,8.0,"Kurla, Mumbai",31.2,21.0,25.3,67,17.4,10.0,360,1013.0,0.0
2019-12-20,178.0,136.0,38.0,35.0,132.0,8.0,"Kurla, Mumbai",30.6,20.9,25.2,71,14.9,8.2,349,1012.0,0.0
2019-12-21,175.0,134.0,40.0,33.0,120.0,9.0,"Kurla, Mumbai",30.5,21.8,25.6,72,15.7,8.9,352,1011.6,0.0
2019-12-22,177.0,146.0,27.0,35.0,109.0,8.0,"Kurla, Mumbai",31.6,21.8,26.3,65,13.0,9.1,40,1011.2,0.0
2019-12-23,175.0,176.0,25.0,43.0,104.0,10.0,"Kurla, Mumbai",31.4,23.1,26.5,70,10.9,6.7,350,1011.0,0.0
2019-12-24,191.0,152.0,32.0,34.0,51.0,9.0,"Kurla, Mumbai",30.5,22.6,26.1,76,12.0,7.2,343,1012.1,0.0
2019-12-25,199.0,123.0,32.0,28.0,33.0,6.0,"Kurla, Mumbai",31.2,24.2,26.7,70,20.0,12.0,353,1012.3,0.1
2019-12-26,168.0,124.0,33.0,31.0,18.5,7.0,"Kurla, Mumbai",29.9,23.0,25.7,64,19.4,11.7,348,1012.4,0.8
2019-12-27,170.0,111.0,33.0,25.0,4.0,5.0,"Kurla, Mumbai",29.5,19.1,24.2,69,19.4,9.6,352,1011.4,0.0
2019-12-28,168.0,121.0,32.0,29.0,4.0,5.0,"Kurla, Mumbai",31.2,20.9,24.8,66,20.0,11.4,25,1011.0,0.0
2019-12-31,177.3333333,134.0,49.0,34.0,5.0,7.0,"Kurla, Mumbai",27.3,17.9,22.4,64,19.1,10.6,350,1013.1,0.0
2020-01-01,183.0,137.0,34.0,31.0,2.0,5.0,"Kurla, Mumbai",25.9,15.6,20.9,75,13.2,8.1,350,1013.7,0.0
2020-01-02,190.0,124.0,45.0,24.0,2.0,4.0,"Kurla, Mumbai",26.6,17.6,21.9,77,16.1,8.9,337,1015.8,0.0
2020-01-03,176.0,131.0,41.0,28.0,2.0,4.0,"Kurla, Mumbai",26.5,18.5,21.8,75,23.5,12.6,348,1015.2,0.0
2020-01-04,182.0,125.0,38.0,26.0,2.0,6.0,"Kurla, Mumbai",25.9,18.2,21.6,67,21.4,14.3,345,1013.5,0.0
2020-01-05,173.0,108.0,42.0,28.0,15.0,5.0,"Kurla, Mumbai",29.6,18.4,23.1,66,16.8,11.4,30,1012.7,0.0
2020-01-06,160.0,130.0,31.0,35.0,2.0,7.0,"Kurla, Mumbai",30.6,20.7,24.6,63,17.1,12.5,28,1013.4,0.0
2020-01-07,185.0,133.0,24.0,20.0,1.0,3.0,"Kurla, Mumbai",28.0,20.3,23.9,76,18.9,9.3,313,1012.9,0.0
2020-01-08,168.0,113.0,43.0,28.0,1.0,4.0,"Kurla, Mumbai",27.4,20.9,23.8,76,17.3,10.8,330,1013.1,0.0
2020-01-09,137.0,110.0,43.0,28.0,3.0,6.0,"Kurla, Mumbai",27.6,19.2,22.6,59,23.4,14.3,349,1013.5,0.0
2020-01-10,226.0,117.0,39.0,34.0,3.0,7.0,"Kurla, Mumbai",30.8,19.0,23.7,61,19.1,11.5,21,1012.5,0.0
2020-01-11,302.0,137.0,33.0,32.0,2.0,8.0,"Kurla, Mumbai",32.0,21.0,25.3,66,15.5,10.4,39,1013.1,0.0
2020-01-12,161.0,94.0,16.0,20.0,1.666666667,3.0,"Kurla, Mumbai",30.0,20.4,24.8,73,17.3,8.1,319,1013.2,0.0
2020-01-13,130.0,81.0,29.0,17.0,1.333333333,2.0,"Kurla, Mumbai",27.6,21.7,23.9,84,17.0,8.1,324,1012.2,0.4
2020-01-14,71.0,86.0,31.0,22.0,1.0,2.0,"Kurla, Mumbai",26.8,20.8,23.1,79,21.5,12.4,348,1012.2,0.2
2020-01-15,97.0,84.0,34.0,18.0,2.0,1.0,"Kurla, Mumbai",25.3,19.3,21.9,63,22.0,14.1,338,1012.8,0.0
2020-01-16,106.0,100.0,37.0,27.0,3.0,3.0,"Kurla, Mumbai",24.2,17.1,20.3,64,21.1,12.7,348,1014.3,0.0
2020-01-17,137.0,135.0,37.0,40.0,3.0,6.0,"Kurla, Mumbai",24.5,15.9,19.4,56,24.4,14.8,350,1014.6,0.0
2020-01-18,172.0,161.0,55.0,33.0,2.0,10.0,"Kurla, Mumbai",27.8,15.3,21.3,62,17.9,11.9,350,1013.1,0.0
2020-01-19,180.0,134.0,73.0,37.0,2.0,10.0,"Kurla, Mumbai",29.0,17.9,23.0,64,16.8,10.7,342,1013.0,0.0
2020-01-20,171.0,152.0,38.0,37.0,2.0,10.0,"Kurla, Mumbai",30.8,18.4,23.5,71,16.6,9.1,346,1013.0,0.0
2020-01-21,164.0,176.0,38.0,27.0,3.0,10.0,"Kurla, Mumbai",29.2,18.9,23.5,73,16.6,9.1,328,1014.0,0.0
2020-01-22,161.0,140.0,48.0,33.0,2.0,7.0,"Kurla, Mumbai",30.6,19.0,24.3,65,18.7,10.0,345,1014.7,0.0
2020-01-23,168.0,128.0,44.0,31.0,2.0,6.0,"Kurla, Mumbai",31.8,21.6,25.6,62,22.2,13.5,351,1013.7,0.0
2020-01-24,150.0,161.0,46.0,37.0,2.0,10.0,"Kurla, Mumbai",31.8,21.0,25.3,66,19.6,10.9,355,1013.3,0.0
