date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
2019-12-02,149.0,169.0,13.0,32.0,21.0,9.0,"Mahape, Navi Mumbai",34.2,23.9,28.6,58,12.1,7.9,62,1011.2,0.1
2019-12-03,116.0,132.0,19.0,20.0,8.0,7.0,"Mahape, Navi Mumbai",33.4,23.9,28.2,61,11.7,7.2,91,1011.5,0.5
2019-12-04,200.0,123.0,19.0,21.0,6.0,7.0,"Mahape, Navi Mumbai",33.0,24.3,27.9,67,12.3,7.2,82,1012.4,0.0
2019-12-05,172.0,96.0,30.0,19.0,9.0,4.0,"Mahape, Navi Mumbai",29.6,25.0,27.5,73,12.3,6.5,44,1014.1,2.7
2019-12-06,166.0,112.0,26.0,25.0,9.0,7.0,"Mahape, Navi Mumbai",33.7,24.4,28.5,55,11.9,8.8,44,1013.4,0.0
2019-12-07,167.0,111.0,43.0,23.0,11.0,7.0,"Mahape, Navi Mumbai",32.7,22.1,26.5,59,14.0,7.3,18,1012.6,0.0
2019-12-08,175.0,104.0,50.0,26.0,11.0,7.0,"Mahape, Navi Mumbai",33.0,21.6,26.4,59,13.9,6.7,17,1012.9,0.0
2019-12-09,168.0,128.0,46.0,25.0,6.0,10.0,"Mahape, Navi Mumbai",33.6,22.3,27.1,63,13.0,6.4,6,1012.6,0.0
2019-12-10,166.0,135.0,46.0,29.0,9.0,11.0,"Mahape, Navi Mumbai",33.4,22.6,27.3,68,14.3,5.4,351,1011.6,0.0
2019-12-11,182.0,131.0,47.0,27.0,9.0,9.0,"Mahape, Navi Mumbai",32.3,21.9,26.6,71,11.6,6.1,332,1010.6,0.0
2019-12-12,182.0,197.0,18.0,29.0,10.0,9.0,"Mahape, Navi Mumbai",31.6,21.9,25.9,69,13.8,6.3,322,1010.5,0.0
2019-12-13,228.0,93.0,45.0,22.0,8.0,6.0,"Mahape, Navi Mumbai",30.9,21.0,24.9,71,16.5,7.2,359,1012.4,0.0
2019-12-14,154.0,90.0,47.0,22.0,9.0,7.0,"Mahape, Navi Mumbai",31.5,18.1,23.9,65,14.8,8.2,354,1014.3,0.0
2019-12-15,155.0,95.0,38.0,23.0,9.0,7.0,"Mahape, Navi Mumbai",31.6,19.2,24.5,62,13.1,7.5,352,1013.1,0.0
2019-12-16,166.0,99.0,23.0,20.0,9.0,9.0,"Mahape, Navi Mumbai",32.2,20.2,25.2,67,14.0,7.1,2,1012.5,0.0
2019-12-17,155.0,104.0,34.0,20.0,9.0,9.0,"Mahape, Navi Mumbai",32.9,21.1,26.0,66,13.1,8.2,28,1013.3,0.0
2019-12-18,156.0,90.0,35.0,21.0,9.0,7.0,"Mahape, Navi Mumbai",32.7,21.2,26.3,60,12.3,8.3,31,1014.0,0.0
2019-12-19,154.0,115.0,44.0,31.0,8.0,11.0,"Mahape, Navi Mumbai",33.0,20.4,25.9,60,13.5,7.0,19,1012.8,0.0
2019-12-20,174.0,127.0,29.0,28.0,9.0,12.0,"Mahape, Navi Mumbai",32.9,20.5,25.9,63,13.2,6.9,3,1011.9,0.0
