date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
27-12-2021,150,93,12,4,1,14,"Malad West, Mumbai",29.4,17.6,23,73,13.4,9.1,360,1014.2,0
28-12-2021,55,74,12,3,1,11,"Malad West, Mumbai",27.8,18.1,22.6,75,21.3,11.6,346,1013.6,0
29-12-2021,50,89,12,4,1,12,"Malad West, Mumbai",27.2,19.3,22.6,67,21.6,14.2,352,1013.9,0
30-12-2021,53,83,11,4,1,14,"Malad West, Mumbai",29.6,19,23.2,66,20.3,12.1,25,1014.7,0
31-12-2021,59,128,12,4,1,16,"Malad West, Mumbai",31.1,20.9,24.7,67,15.9,13.1,51,1015.5,0
01-01-2022,47,87,11,4,1,17,"Malad West, Mumbai",31.1,20.4,24.6,65,15.8,11,40,1015.9,0
02-01-2022,54,90,15,4,2,20,"Malad West, Mumbai",30.4,20.5,24.6,66,12.8,9.3,19,1014.7,0
03-01-2022,51,93,15,3,2,20,"Malad West, Mumbai",30.8,21.1,24.9,68,13.3,9.3,21,1014,0
04-01-2022,51,96,15,3,2,20,"Malad West, Mumbai",30.9,20,24.5,73,14.2,8.9,9,1013.9,0
05-01-2022,45,81,10,3,2,14,"Malad West, Mumbai",28.5,20.2,23.9,80,15.8,8.1,334,1013.5,0
06-01-2022,59,104,11,3,2,20,"Malad West, Mumbai",27.6,20.4,23.4,80,16.1,9.5,346,1013.1,0
07-01-2022,55,70,5,3,1,17,"Malad West, Mumbai",27.4,19.6,23,79,14.4,7.1,302,1012.5,0
08-01-2022,40,48,12,3,2,7,"Malad West, Mumbai",24.6,20.7,22.4,85,12.5,8,352,1013.8,2
09-01-2022,42,52,16,3,2,2,"Malad West, Mumbai",25.2,18.5,21.5,57,21.4,15.4,349,1014,0
10-01-2022,58,82,16,3,2,10,"Malad West, Mumbai",24,16.1,19.6,56,23,14.6,350,1014.1,0
11-01-2022,53,72,15,3,2,6,"Malad West, Mumbai",24.5,14.3,19.6,72,14.7,8.7,348,1013.6,0
12-01-2022,60,84,16,3,2,10,"Malad West, Mumbai",25.1,16.4,20.7,67,18.8,13,347,1013.2,0
13-01-2022,51,86,14,3,2,12,"Malad West, Mumbai",25.9,15.4,20.6,71,15.9,8.5,345,1012.3,0
14-01-2022,56,87,12,3,2,13,"Malad West, Mumbai",26.1,17.1,21.3,76,16.3,9.7,349,1012.4,0
15-01-2022,57,73,11,3,2,14,"Malad West, Mumbai",28.9,18.2,22.6,66,19.7,12.4,17,1012.9,0
16-01-2022,59,10,13,3,2,15,"Malad West, Mumbai",31.3,19.5,24.1,59,16.5,12.4,47,1013.3,0
17-01-2022,59,22,14,3,2,15,"Malad West, Mumbai",30.5,20.5,24.4,64,14.2,10.6,25,1015.1,0
18-01-2022,84,91,17,3,2,12,"Malad West, Mumbai",28.8,19.8,24,67,17.1,10.9,356,1015,0
19-01-2022,171,93,12,3,2,12,"Malad West, Mumbai",29.2,18.4,23.6,69,15.6,9.9,346,1013.5,0
20-01-2022,161,50,6,3,1,10,"Malad West, Mumbai",27.3,18.8,22.6,70,15.5,9.9,334,1012,0
21-01-2022,125,58,6,2,2,12,"Malad West, Mumbai",26.9,18.6,22.4,85,12.9,7.8,335,1011.8,0
22-01-2022,104,120.5,11,2,2,2,"Malad West, Mumbai",26.5,19.7,23.3,82,23.1,11.5,278,1010.4,1.2
23-01-2022,116,183,12,2,2,1,"Malad West, Mumbai",22.6,17.1,21.3,60,21.7,16.3,317,1011.6,0.3
24-01-2022,121,138,14,3,2,3,"Malad West, Mumbai",24.2,14.1,18.9,56,25.5,12.8,1,1012.5,0
25-01-2022,146,116,16,3,2,5,"Malad West, Mumbai",25.4,13.8,19.6,55,19.1,11.8,355,1012.2,0
26-01-2022,154,120,16,3,2,14,"Malad West, Mumbai",27,15.7,20.9,55,19.1,12.7,357,1012,0
27-01-2022,166,91,16,3,2,7,"Malad West, Mumbai",28.9,17.4,22.2,52,19.5,11.1,12,1012.2,0
28-01-2022,153,102,18,3,2,8,"Malad West, Mumbai",30.4,18.8,23.6,45,18.9,14.8,34,1013.1,0
29-01-2022,149,103,18,3,2,14,"Malad West, Mumbai",30.7,17.1,23,49,16.8,11.5,19,1014.1,0
30-01-2022,165,91,23,3,2,13,"Malad West, Mumbai",29.5,16,22.1,56,15.1,9.7,358,1012.9,0
31-01-2022,172,78,14,3,2,10,"Malad West, Mumbai",29,17,22.4,56,16.3,10.6,344,1012.1,0
01-02-2022,167,92,14,3,2,13,"Malad West, Mumbai",29.1,15.8,21.8,65,19.2,11.8,346,1011.3,0
02-02-2022,172,95,7,3,2,15,"Malad West, Mumbai",27.6,16.3,21.6,79,17.4,10.1,333,1011.4,0
03-02-2022,158,131,8,2,1,8,"Malad West, Mumbai",26.1,17,21.5,86,13.3,7.9,261,1011.3,0
04-02-2022,107,136,13,3,2,9,"Malad West, Mumbai",26.1,17.9,22,74,13,7.8,298,1011,0
05-02-2022,148,121,20,3,2,9,"Malad West, Mumbai",27.4,15.7,21.2,69,18.4,10.3,350,1011.5,0
06-02-2022,159,81,11,2,2,10,"Malad West, Mumbai",27.4,17.3,21.8,69,18,9.9,327,1013.1,0
07-02-2022,128,59,8,3,2,9,"Malad West, Mumbai",25.9,17.8,21.4,82,20.9,11.5,333,1014.5,0
08-02-2022,101,66,9,2,1,9,"Malad West, Mumbai",25.5,18.2,21.5,80,16.5,10,325,1013.7,0
09-02-2022,122,80,15,3,2,8,"Malad West, Mumbai",26,17.6,21.7,79,18.9,11.2,345,1013.3,0.1
10-02-2022,154,83,15,3,2,7,"Malad West, Mumbai",29.9,18.5,23.5,55,23.4,13.5,349,1012.5,0
11-02-2022,140,136,18,3,2,9,"Malad West, Mumbai",32,21.1,25.5,44,20.9,14.7,16,1012,0
12-02-2022,156,100,19,3,2,13,"Malad West, Mumbai",30.6,19.8,24.5,50,18.8,11.5,351,1011.7,0
13-02-2022,167,82,12,3,2,11,"Malad West, Mumbai",30,18.5,23.6,60,18.7,10.3,339,1010.2,0
14-02-2022,151,61,10,3,1,8,"Malad West, Mumbai",28.7,18.5,23.4,54,18.4,11.1,348,1010.7,0
15-02-2022,119,45,7,2,2,9,"Malad West, Mumbai",27,18.8,22.8,68,16.4,10.8,331,1010.9,0
16-02-2022,103,64,8,3,2,12,"Malad West, Mumbai",26.5,18.5,22,80,15.8,9.1,331,1009.4,0
17-02-2022,125,85,8,3,2,15,"Malad West, Mumbai",26.8,17,21.8,82,13,6.9,322,1008.2,0
18-02-2022,148,82,12,3,1,11,"Malad West, Mumbai",28.1,18,22.9,77,14.1,6.8,267,1009.1,0
19-02-2022,155,77,16,3,2,10,"Malad West, Mumbai",29.4,18.5,23.6,76,16.6,9.6,329,1011.1,0
