date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
2021-12-27,158.0,132.0,34.0,42.0,4.0,5.0,"Mazgaon, Mumbai",28.7,19.0,23.2,75,15.8,9.1,351,1014.1,0.0
2021-12-28,204.0,98.0,16.0,22.0,1.0,4.0,"Mazgaon, Mumbai",27.6,19.1,23.0,76,22.7,11.1,341,1013.5,0.0
2021-12-29,176.0,112.0,15.0,4.0,6.0,4.0,"Mazgaon, Mumbai",27.4,19.9,23.0,69,22.0,14.9,353,1013.8,0.0
2021-12-30,187.0,123.0,30.0,4.0,1.0,5.0,"Mazgaon, Mumbai",29.8,19.1,23.5,69,23.0,11.6,8,1014.5,0.0
2021-12-31,194.0,121.0,17.0,3.0,1.0,5.0,"Mazgaon, Mumbai",31.1,21.4,25.0,68,18.4,12.1,29,1015.3,0.0
2022-01-01,194.0,114.0,17.0,2.0,1.0,5.0,"Mazgaon, Mumbai",31.0,20.7,24.9,68,17.0,10.9,20,1015.8,0.0
2022-01-02,181.0,123.0,37.0,3.0,3.0,5.0,"Mazgaon, Mumbai",30.0,21.1,24.9,68,15.8,9.3,4,1014.5,0.0
2022-01-03,194.0,140.0,28.0,3.0,2.0,5.0,"Mazgaon, Mumbai",30.3,21.7,24.9,71,16.6,8.8,357,1013.9,0.0
2022-01-04,215.0,149.0,26.0,4.0,1.0,5.0,"Mazgaon, Mumbai",30.9,21.1,24.9,74,16.9,8.3,355,1013.9,0.0
2022-01-05,221.0,103.0,24.0,2.0,3.0,3.0,"Mazgaon, Mumbai",27.8,21.0,24.3,80,18.9,8.2,326,1013.5,0.0
2022-01-06,187.0,110.0,26.0,4.0,3.0,2.0,"Mazgaon, Mumbai",27.5,20.9,23.7,81,18.4,9.7,341,1013.0,0.0
2022-01-07,186.0,67.0,23.0,5.0,2.0,2.0,"Mazgaon, Mumbai",26.7,19.7,23.3,80,17.3,7.4,295,1012.5,0.0
2022-01-08,145.0,63.0,17.0,8.0,1.0,1.0,"Mazgaon, Mumbai",24.2,21.4,22.5,86,12.3,7.3,6,1013.8,3.7
2022-01-09,123.0,63.0,41.0,5.0,4.0,1.0,"Mazgaon, Mumbai",25.4,19.6,22.0,60,24.1,15.5,346,1013.8,0.0
2022-01-10,125.0,89.0,44.0,9.0,1.0,1.0,"Mazgaon, Mumbai",24.1,17.1,20.0,58,24.9,14.2,349,1014.0,0.0
2022-01-11,168.0,104.0,24.0,5.0,6.0,2.0,"Mazgaon, Mumbai",24.1,15.9,20.0,73,16.1,8.8,344,1013.5,0.0
2022-01-12,177.0,110.0,50.0,10.0,4.0,5.0,"Mazgaon, Mumbai",24.6,17.5,21.0,70,21.4,12.6,345,1013.1,0.0
2022-01-13,188.0,113.0,32.0,10.0,5.0,7.0,"Mazgaon, Mumbai",25.3,16.9,20.9,74,17.5,7.8,337,1012.3,0.0
2022-01-14,189.0,121.0,14.0,10.0,7.0,8.0,"Mazgaon, Mumbai",25.4,18.1,21.8,77,17.7,8.9,340,1012.3,0.0
2022-01-15,193.0,111.0,31.0,10.0,2.0,7.0,"Mazgaon, Mumbai",28.6,18.6,22.7,70,23.8,11.7,2,1012.8,0.0
2022-01-16,183.0,107.0,32.0,5.0,5.0,8.0,"Mazgaon, Mumbai",31.2,19.5,24.2,62,21.7,11.9,30,1013.1,0.0
2022-01-17,183.0,141.0,34.0,10.0,5.0,9.0,"Mazgaon, Mumbai",30.4,20.4,24.6,67,17.4,10.7,359,1015.0,0.0
2022-01-18,209.0,137.0,36.0,10.0,2.0,7.0,"Mazgaon, Mumbai",28.6,20.6,24.0,69,20.1,11.5,346,1014.8,0.0
2022-01-19,212.0,87.0,20.0,9.0,2.0,5.0,"Mazgaon, Mumbai",28.4,19.5,23.5,71,18.2,10.3,340,1013.4,0.0
2022-01-20,159.0,79.0,10.0,9.0,3.0,7.0,"Mazgaon, Mumbai",27.1,19.4,22.8,70,17.2,10.3,329,1011.9,0.0
2022-01-21,165.0,83.0,11.0,6.0,3.0,5.0,"Mazgaon, Mumbai",26.7,19.6,22.7,84,16.3,8.3,337,1011.7,0.0
2022-01-22,169.0,86.5,19.0,7.0,2.0,3.0,"Mazgaon, Mumbai",26.4,20.5,23.6,81,22.7,13.0,273,1010.3,1.9
2022-01-23,210.0,90.0,27.0,9.0,3.0,3.0,"Mazgaon, Mumbai",23.6,18.9,21.9,60,23.2,18.8,316,1011.5,0.4
2022-01-24,251.0,90.0,28.0,8.0,4.0,4.0,"Mazgaon, Mumbai",23.9,15.8,19.6,57,27.5,14.5,1,1012.5,0.0
2022-01-25,292.0,212.0,28.0,7.0,5.0,4.0,"Mazgaon, Mumbai",25.0,15.2,20.0,58,20.5,12.8,352,1012.1,0.0
2022-01-26,333.0,157.0,30.0,9.0,5.0,5.0,"Mazgaon, Mumbai",26.8,16.6,21.1,59,22.2,13.1,352,1011.9,0.0
2022-01-27,257.0,130.0,34.0,5.0,7.0,4.0,"Mazgaon, Mumbai",29.0,17.4,22.2,60,24.6,10.7,357,1012.1,0.0
2022-01-28,212.0,127.0,25.0,7.0,3.0,2.0,"Mazgaon, Mumbai",30.3,18.9,23.6,51,20.7,13.5,17,1013.0,0.0
2022-01-29,204.0,142.0,51.0,5.0,7.0,4.0,"Mazgaon, Mumbai",30.7,17.4,23.1,56,20.8,11.2,5,1014.0,0.0
2022-01-30,228.0,140.0,35.0,8.0,4.0,5.0,"Mazgaon, Mumbai",29.1,17.2,22.6,60,18.6,9.7,342,1012.8,0.0
2022-01-31,220.0,151.0,30.0,10.0,2.0,4.0,"Mazgaon, Mumbai",28.4,18.0,22.5,60,19.6,11.0,340,1012.0,0.0
2022-02-01,221.0,124.0,26.0,5.0,4.0,6.0,"Mazgaon, Mumbai",29.0,16.7,21.8,69,22.2,12.3,341,1011.2,0.0
2022-02-02,210.0,153.0,11.0,5.0,1.0,2.0,"Mazgaon, Mumbai",27.3,17.6,21.9,79,21.0,10.5,325,1011.3,0.0
2022-02-03,257.0,185.5,21.0,6.0,1.0,1.0,"Mazgaon, Mumbai",25.5,18.2,22.0,85,14.0,7.8,262,1011.3,0.0
2022-02-04,303.5,218.0,24.0,7.0,5.0,2.0,"Mazgaon, Mumbai",25.3,19.0,22.3,76,14.3,8.0,291,1011.0,0.0
2022-02-05,350.0,166.0,49.0,10.0,8.0,3.0,"Mazgaon, Mumbai",27.2,16.5,21.5,72,21.6,10.8,341,1011.4,0.0
2022-02-06,289.0,107.0,24.0,10.0,1.0,3.0,"Mazgaon, Mumbai",26.7,18.2,22.0,71,22.1,11.2,323,1013.1,0.0
2022-02-07,198.0,83.0,18.0,11.0,3.0,4.0,"Mazgaon, Mumbai",25.7,18.9,21.9,81,23.5,11.9,330,1014.4,0.0
2022-02-08,169.0,93.0,13.0,10.0,2.0,7.0,"Mazgaon, Mumbai",25.3,18.8,21.8,80,19.0,10.5,324,1013.6,0.0
2022-02-09,179.0,129.0,30.0,9.0,10.0,8.0,"Mazgaon, Mumbai",26.2,18.5,21.9,79,20.9,12.0,343,1013.2,0.0
2022-02-10,210.0,121.0,18.0,5.0,3.0,6.0,"Mazgaon, Mumbai",29.5,18.9,23.5,58,26.7,13.8,342,1012.4,0.0
2022-02-11,198.0,110.0,42.0,5.0,8.0,7.0,"Mazgaon, Mumbai",32.0,20.6,25.2,50,26.8,15.0,2,1011.8,0.0
