date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
2021-12-27,147.0,102.0,5.0,20.0,16.0,7.0,"Mulund West, Mumbai",31.4,16.6,22.9,70,10.8,7.5,7,1014.1,0.0
2021-12-28,162.0,79.0,6.0,17.0,16.0,6.0,"Mulund West, Mumbai",30.0,16.9,22.8,72,15.6,8.2,335,1013.5,0.0
2021-12-29,131.0,94.0,5.0,16.0,15.0,5.0,"Mulund West, Mumbai",29.0,17.9,22.6,64,12.9,9.9,355,1013.8,0.0
2021-12-30,162.0,84.5,5.0,20.0,19.0,7.0,"Mulund West, Mumbai",31.2,18.1,23.2,64,15.1,9.6,28,1014.6,0.0
2021-12-31,241.0,75.0,5.0,16.0,16.0,8.0,"Mulund West, Mumbai",32.2,20.0,24.9,65,12.9,9.6,40,1015.5,0.0
2022-01-01,149.0,140.0,10.6,18.0,27.0,7.0,"Mulund West, Mumbai",32.2,19.2,24.7,63,11.2,8.6,26,1015.9,0.0
2022-01-02,164.0,161.0,16.2,21.0,20.0,9.0,"Mulund West, Mumbai",31.8,19.5,24.7,64,11.7,8.2,13,1014.6,0.0
2022-01-03,170.0,109.0,21.8,20.0,19.0,8.0,"Mulund West, Mumbai",32.3,20.7,25.0,66,12.4,8.3,15,1014.0,0.0
2022-01-04,167.0,122.0,5.0,20.0,19.0,10.0,"Mulund West, Mumbai",32.5,19.5,24.8,70,12.9,7.4,5,1013.9,0.0
2022-01-05,176.0,147.0,33.0,19.0,22.0,7.0,"Mulund West, Mumbai",30.3,19.1,24.3,77,13.8,6.4,315,1013.5,0.0
2022-01-06,162.0,144.0,27.4,18.0,25.0,8.0,"Mulund West, Mumbai",29.2,19.6,23.3,79,13.9,7.8,336,1013.1,0.0
2022-01-07,229.0,132.0,21.8,18.0,23.0,7.0,"Mulund West, Mumbai",29.0,18.2,22.9,78,13.7,7.0,324,1012.5,0.0
2022-01-08,154.0,45.0,16.2,15.0,33.75,4.0,"Mulund West, Mumbai",25.2,19.8,22.0,86,10.0,5.3,10,1013.8,2.1
2022-01-09,75.0,195.0,5.0,16.0,44.5,5.0,"Mulund West, Mumbai",26.6,17.0,21.2,57,16.3,10.4,338,1013.8,0.0
2022-01-10,206.0,95.0,5.0,20.0,55.25,8.0,"Mulund West, Mumbai",25.7,13.6,18.8,57,18.3,10.3,342,1014.0,0.0
2022-01-11,202.0,101.0,7.0,15.0,66.0,7.0,"Mulund West, Mumbai",26.2,13.6,19.8,70,12.4,6.7,325,1013.5,0.0
2022-01-12,158.0,113.0,7.0,16.16666667,25.0,8.0,"Mulund West, Mumbai",26.9,13.9,20.3,68,15.5,9.5,341,1013.1,0.0
2022-01-13,171.0,98.0,6.0,17.33333333,45.0,9.0,"Mulund West, Mumbai",27.5,13.9,20.4,72,14.9,7.4,343,1012.2,0.0
2022-01-14,166.0,91.0,6.0,18.5,14.0,8.0,"Mulund West, Mumbai",27.6,15.9,21.4,73,14.1,7.7,338,1012.2,0.0
2022-01-15,167.0,75.0,6.0,7.0,20.0,8.0,"Mulund West, Mumbai",30.0,17.1,22.6,65,16.6,10.2,11,1012.8,0.0
2022-01-16,156.0,123.0,6.0,7.0,25.0,8.0,"Mulund West, Mumbai",32.2,18.7,24.3,56,14.0,10.1,44,1013.2,0.0
2022-01-17,192.0,95.0,5.0,22.0,18.0,9.0,"Mulund West, Mumbai",32.2,19.5,24.8,61,14.1,9.6,16,1015.1,0.0
2022-01-18,159.0,114.0,4.0,15.0,33.0,9.0,"Mulund West, Mumbai",31.0,19.1,24.4,62,15.4,9.4,354,1014.9,0.0
2022-01-19,159.0,85.0,4.0,21.0,64.0,10.0,"Mulund West, Mumbai",32.5,17.6,23.8,64,15.4,9.0,347,1013.4,0.0
2022-01-20,141.0,105.0,4.0,18.0,86.0,7.0,"Mulund West, Mumbai",29.6,16.8,22.6,67,14.3,8.3,328,1011.9,0.0
2022-01-21,116.0,73.0,4.0,17.0,61.0,7.0,"Mulund West, Mumbai",28.6,16.5,22.0,83,13.7,7.6,331,1011.7,0.0
2022-01-22,101.0,77.5,4.0,17.0,93.0,4.0,"Mulund West, Mumbai",27.2,18.5,22.8,82,22.0,9.9,271,1010.3,1.6
2022-01-23,210.0,82.0,5.0,14.0,80.5,6.0,"Mulund West, Mumbai",23.4,15.2,21.0,60,17.4,12.3,312,1011.5,0.1
2022-01-24,230.0,177.0,5.0,20.0,68.0,7.0,"Mulund West, Mumbai",25.4,11.8,17.9,59,20.1,10.2,6,1012.5,0.0
2022-01-25,165.0,82.0,4.75,20.0,95.0,7.0,"Mulund West, Mumbai",27.0,11.1,18.7,56,15.9,9.7,355,1012.1,0.0
2022-01-26,165.0,117.0,4.5,11.0,37.0,9.0,"Mulund West, Mumbai",28.9,13.9,20.8,52,15.5,9.8,358,1011.9,0.0
2022-01-27,152.0,86.0,4.25,14.0,75.0,5.0,"Mulund West, Mumbai",30.9,15.7,22.4,49,16.6,9.8,14,1012.1,0.0
2022-01-28,132.0,82.0,4.0,22.0,113.0,5.0,"Mulund West, Mumbai",31.8,17.7,23.8,42,15.4,12.0,26,1013.1,0.0
2022-01-29,332.0,91.0,4.0,21.0,33.0,5.0,"Mulund West, Mumbai",32.3,16.2,23.0,46,14.2,9.8,16,1014.0,0.0
2022-01-30,146.0,103.0,4.0,21.0,25.0,6.0,"Mulund West, Mumbai",32.3,14.6,22.7,51,12.5,8.6,358,1012.8,0.0
2022-01-31,160.0,91.0,4.0,21.0,17.0,9.0,"Mulund West, Mumbai",31.9,14.7,22.1,52,15.2,8.8,339,1012.0,0.0
2022-02-01,149.0,146.0,4.0,25.0,9.0,7.0,"Mulund West, Mumbai",32.0,12.9,21.6,64,17.6,10.3,346,1011.2,0.0
2022-02-02,169.0,105.0,4.0,26.0,1.0,7.0,"Mulund West, Mumbai",31.2,15.6,22.0,74,15.3,8.6,324,1011.3,0.0
2022-02-03,156.0,141.0,4.0,21.0,4.0,3.0,"Mulund West, Mumbai",28.0,15.6,21.5,84,14.8,7.0,274,1011.3,0.0
2022-02-04,151.0,150.0,4.0,25.0,7.0,4.0,"Mulund West, Mumbai",27.8,17.1,22.2,73,11.3,6.5,306,1010.9,0.0
2022-02-05,163.0,130.0,4.0,25.0,5.0,5.0,"Mulund West, Mumbai",29.9,13.8,21.4,66,16.7,8.4,345,1011.4,0.0
2022-02-06,165.0,186.0,4.0,25.0,3.0,5.0,"Mulund West, Mumbai",30.2,14.9,21.9,67,15.8,8.9,322,1013.0,0.0
2022-02-07,183.0,80.0,4.0,22.0,5.285714286,4.0,"Mulund West, Mumbai",28.0,15.9,21.5,79,18.8,9.7,326,1014.4,0.0
2022-02-08,121.0,78.0,5.0,20.0,7.571428571,4.0,"Mulund West, Mumbai",27.1,16.1,21.2,80,16.2,9.0,323,1013.6,0.0
2022-02-09,126.0,169.0,7.333333333,25.0,9.857142857,6.0,"Mulund West, Mumbai",28.2,15.8,21.5,76,17.4,9.5,342,1013.2,0.0
2022-02-10,162.0,114.0,9.666666667,24.27272727,5.0,9.0,"Mulund West, Mumbai",32.2,16.6,23.7,52,19.6,10.9,354,1012.4,0.0
2022-02-11,166.0,110.0,12.0,23.54545455,5.0,8.5,"Mulund West, Mumbai",34.1,20.6,26.1,39,18.2,13.5,19,1011.8,0.0
2022-02-20,197.5,74.0,33.0,17.0,35.0,4.0,"Mulund West, Mumbai",33.9,16.5,24.5,57,19.3,10.6,338,1010.7,0.0
2022-02-21,201.0,157.0,34.0,9.0,16.0,5.0,"Mulund West, Mumbai",34.3,15.6,24.4,46,21.4,11.2,341,1010.0,0.0
2022-02-22,169.0,86.0,28.0,1.0,16.0,5.0,"Mulund West, Mumbai",34.0,16.7,24.1,58,18.4,9.1,331,1010.9,0.0
2022-02-23,131.0,144.0,34.5,4.0,17.0,9.0,"Mulund West, Mumbai",33.5,16.8,25.2,57,15.2,8.9,332,1012.2,0.0
2022-02-24,159.0,130.0,41.0,3.0,11.0,7.0,"Mulund West, Mumbai",34.2,18.2,25.7,52,16.4,9.1,319,1013.5,0.0
2022-02-25,164.0,162.0,20.0,2.0,11.0,7.0,"Mulund West, Mumbai",34.5,17.8,25.7,49,19.4,9.8,316,1012.9,0.0
2022-02-26,179.0,68.0,9.0,7.0,26.0,7.0,"Mulund West, Mumbai",33.8,17.8,25.1,54,19.5,10.8,329,1012.8,0.0
2022-02-27,134.0,230.0,12.5,1.0,20.0,4.0,"Mulund West, Mumbai",34.8,17.1,25.5,47,20.2,9.9,327,1013.0,0.0
2022-02-28,226.0,191.0,16.0,9.0,49.0,8.0,"Mulund West, Mumbai",36.0,17.6,26.0,41,17.8,10.0,332,1012.5,0.0
2022-03-01,239.0,119.0,28.0,7.0,78.0,7.0,"Mulund West, Mumbai",36.5,18.6,26.4,43,17.3,9.6,336,1012.5,0.0
2022-03-02,162.0,94.0,30.0,6.0,61.0,6.0,"Mulund West, Mumbai",38.0,19.0,27.6,43,18.7,10.0,340,1011.5,0.0
2022-03-03,145.0,79.0,28.0,6.0,60.0,3.0,"Mulund West, Mumbai",37.9,21.0,28.3,36,21.9,11.9,348,1011.3,0.0
2022-03-04,101.0,130.0,31.0,7.0,63.0,6.0,"Mulund West, Mumbai",37.2,22.6,28.5,30,22.5,12.5,345,1011.8,0.0
2022-03-05,175.0,94.0,28.0,7.0,52.0,7.0,"Mulund West, Mumbai",37.7,20.1,27.6,41,19.7,9.9,345,1010.8,0.0
2022-03-06,152.0,106.0,34.0,12.0,61.0,9.0,"Mulund West, Mumbai",38.0,19.9,28.0,43,19.2,9.4,325,1009.7,0.0
2022-03-07,163.0,110.0,32.55555556,15.0,68.0,9.0,"Mulund West, Mumbai",35.7,22.6,29.0,42,13.0,8.1,310,1010.0,0.0
2022-03-08,167.0,150.0,31.11111111,13.0,58.0,9.0,"Mulund West, Mumbai",37.3,25.2,29.9,44,15.6,10.6,347,1010.1,0.0
2022-03-09,198.0,98.0,29.66666667,12.0,47.0,8.0,"Mulund West, Mumbai",37.2,23.0,29.2,47,13.6,6.9,10,1010.1,0.0
