date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
2021-12-27,161.0,131.0,25.0,5.0,6.0,3.0,"Navy Nagar-Colaba, Mumbai",29.4,18.8,23.6,74,15.7,9.3,358,1014.1,0.0
2021-12-28,171.0,92.0,23.0,6.0,1.0,2.0,"Navy Nagar-Colaba, Mumbai",28.0,18.7,23.2,76,20.2,11.1,351,1013.5,0.0
2021-12-29,150.0,114.0,49.0,27.0,3.0,4.0,"Navy Nagar-Colaba, Mumbai",27.9,19.2,23.1,68,23.1,14.7,360,1013.7,0.0
2021-12-30,180.0,116.0,32.0,15.0,2.0,4.0,"Navy Nagar-Colaba, Mumbai",31.0,19.5,24.3,65,21.4,12.9,19,1014.3,0.0
2021-12-31,178.0,117.0,37.0,13.0,1.0,5.0,"Navy Nagar-Colaba, Mumbai",31.6,22.1,25.7,63,17.7,12.4,36,1015.2,0.0
2022-01-01,176.0,113.0,34.0,12.0,1.0,5.0,"Navy Nagar-Colaba, Mumbai",31.7,21.6,25.8,60,18.4,12.5,25,1015.6,0.0
2022-01-02,177.0,114.0,33.0,10.0,1.0,5.0,"Navy Nagar-Colaba, Mumbai",30.8,21.7,25.8,63,14.7,9.4,13,1014.5,0.0
2022-01-03,176.0,146.0,37.0,12.0,2.0,6.0,"Navy Nagar-Colaba, Mumbai",31.1,22.2,25.8,66,17.1,9.6,3,1013.8,0.0
2022-01-04,201.0,146.0,36.0,9.0,3.0,6.0,"Navy Nagar-Colaba, Mumbai",31.7,21.3,25.6,68,17.9,8.7,353,1013.8,0.0
2022-01-05,217.0,114.0,22.0,7.0,2.0,5.0,"Navy Nagar-Colaba, Mumbai",28.9,20.7,24.7,76,17.0,8.4,330,1013.4,0.0
2022-01-06,177.0,141.0,23.0,8.0,3.0,5.0,"Navy Nagar-Colaba, Mumbai",27.9,20.6,24.2,78,19.2,10.5,349,1013.0,0.0
2022-01-07,207.0,84.0,32.0,6.0,2.0,4.0,"Navy Nagar-Colaba, Mumbai",27.6,19.7,24.0,75,17.7,8.2,289,1012.4,0.0
2022-01-08,150.0,59.0,35.0,4.0,4.0,3.0,"Navy Nagar-Colaba, Mumbai",24.7,21.0,22.4,85,12.6,7.6,13,1013.7,3.5
2022-01-09,83.0,66.0,51.0,21.0,2.0,2.0,"Navy Nagar-Colaba, Mumbai",25.7,19.7,22.2,63,22.4,14.5,351,1013.7,0.0
2022-01-10,108.0,108.0,36.0,8.0,2.0,4.0,"Navy Nagar-Colaba, Mumbai",24.2,16.4,20.0,59,22.5,13.3,357,1014.0,0.0
2022-01-11,154.0,93.0,55.0,8.0,5.0,4.0,"Navy Nagar-Colaba, Mumbai",24.5,14.5,20.1,69,15.2,8.9,345,1013.5,0.0
2022-01-12,137.0,35.0,67.0,7.0,1.0,7.0,"Navy Nagar-Colaba, Mumbai",25.1,17.0,21.0,73,19.4,11.8,349,1013.1,0.0
2022-01-13,70.0,137.0,54.0,7.0,2.0,7.0,"Navy Nagar-Colaba, Mumbai",26.3,15.7,21.1,74,17.8,8.1,342,1012.2,0.0
2022-01-14,200.0,119.0,28.0,23.0,2.0,7.0,"Navy Nagar-Colaba, Mumbai",26.6,17.6,21.8,78,16.4,8.5,345,1012.2,0.2
2022-01-15,185.0,109.0,53.0,6.0,2.0,7.0,"Navy Nagar-Colaba, Mumbai",29.9,18.7,23.4,68,24.1,12.3,12,1012.6,0.0
2022-01-16,166.0,114.0,42.0,12.0,3.0,8.0,"Navy Nagar-Colaba, Mumbai",31.7,19.9,25.1,58,19.2,12.7,31,1012.9,0.0
2022-01-17,180.0,120.0,31.0,29.0,1.0,8.0,"Navy Nagar-Colaba, Mumbai",31.1,21.8,25.7,60,17.6,11.7,13,1014.9,0.0
2022-01-18,178.0,130.0,37.0,31.0,7.0,8.0,"Navy Nagar-Colaba, Mumbai",29.9,20.3,24.7,67,19.6,11.7,355,1014.7,0.0
2022-01-19,186.0,82.0,43.0,18.0,2.0,5.0,"Navy Nagar-Colaba, Mumbai",29.5,18.9,23.8,71,17.1,9.6,348,1013.4,0.0
2022-01-20,146.0,86.0,15.0,6.0,1.0,6.0,"Navy Nagar-Colaba, Mumbai",27.8,18.8,23.0,70,16.6,10.6,344,1011.9,0.0
2022-01-21,146.0,75.0,27.0,4.0,2.0,5.0,"Navy Nagar-Colaba, Mumbai",27.2,18.8,22.8,80,16.0,8.7,346,1011.7,0.0
2022-01-22,113.0,83.75,43.0,4.0,3.0,2.0,"Navy Nagar-Colaba, Mumbai",26.7,20.0,23.4,82,20.5,12.2,274,1010.4,3.0
2022-01-23,206.0,92.5,58.0,11.0,4.0,2.0,"Navy Nagar-Colaba, Mumbai",24.0,18.9,22.3,58,23.9,18.3,314,1011.5,0.4
2022-01-24,151.0,246.0,51.0,12.0,5.0,5.0,"Navy Nagar-Colaba, Mumbai",24.0,15.8,19.7,52,23.2,15.4,7,1012.4,0.0
2022-01-25,158.0,199.0,65.0,24.0,2.0,5.0,"Navy Nagar-Colaba, Mumbai",25.8,14.6,20.1,58,21.4,12.9,357,1012.0,0.0
2022-01-26,147.0,155.0,50.0,25.0,2.0,7.0,"Navy Nagar-Colaba, Mumbai",27.2,15.8,21.4,59,21.0,13.2,357,1011.8,0.0
2022-01-27,153.0,120.0,62.0,7.0,1.5,6.0,"Navy Nagar-Colaba, Mumbai",30.0,17.3,23.0,55,24.7,12.1,13,1011.9,0.0
2022-01-28,141.0,123.0,31.0,8.0,1.0,6.0,"Navy Nagar-Colaba, Mumbai",31.2,19.7,24.3,46,23.7,14.8,29,1012.8,0.0
2022-01-29,134.0,144.0,88.0,11.0,2.0,9.0,"Navy Nagar-Colaba, Mumbai",31.6,18.6,24.1,46,20.5,12.8,23,1013.8,0.0
2022-01-30,152.0,116.0,32.0,8.0,1.0,8.0,"Navy Nagar-Colaba, Mumbai",30.2,16.8,22.8,58,19.5,10.5,358,1012.8,0.0
2022-01-31,162.0,98.0,26.0,3.0,1.0,5.0,"Navy Nagar-Colaba, Mumbai",28.4,16.6,22.3,63,17.7,11.1,355,1012.0,0.0
2022-02-01,129.0,129.0,27.0,5.0,1.75,7.0,"Navy Nagar-Colaba, Mumbai",28.9,16.9,22.0,70,21.3,12.1,347,1011.2,0.0
2022-02-02,177.0,117.0,27.0,3.0,2.5,8.0,"Navy Nagar-Colaba, Mumbai",27.2,16.4,22.1,79,19.8,10.3,336,1011.3,0.0
2022-02-03,163.0,169.0,37.0,10.0,3.25,3.0,"Navy Nagar-Colaba, Mumbai",26.7,17.1,22.3,81,14.2,8.1,273,1011.4,0.0
2022-02-04,134.0,93.0,63.0,24.0,4.0,6.0,"Navy Nagar-Colaba, Mumbai",26.6,18.9,22.8,70,14.1,8.0,309,1011.0,0.0
2022-02-05,143.0,194.0,80.0,21.0,6.0,7.0,"Navy Nagar-Colaba, Mumbai",27.4,15.5,21.7,68,20.1,11.4,349,1011.4,0.0
2022-02-06,142.0,120.0,41.0,2.0,5.25,4.0,"Navy Nagar-Colaba, Mumbai",27.4,17.5,22.3,72,19.6,10.6,329,1013.1,0.0
2022-02-07,133.0,92.0,24.0,6.0,4.5,6.0,"Navy Nagar-Colaba, Mumbai",25.9,18.2,22.0,79,21.8,11.9,336,1014.4,0.0
