date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
2019-06-24,56.0,43.0,1.0,2.0,7.0,3.0,"Nerul, Navi Mumbai",29.0,25.9,27.3,88,12.1,8.4,195,1004.4,7.9
2019-06-25,64.0,48.0,1.0,2.0,7.0,3.0,"Nerul, Navi Mumbai",30.5,25.9,28.0,85,14.0,9.5,211,1005.1,6.1
2019-06-26,59.0,24.0,2.0,2.0,7.0,3.0,"Nerul, Navi Mumbai",30.8,26.0,27.8,87,19.6,10.7,206,1005.1,12.6
2019-06-27,30.0,17.0,3.0,2.0,7.0,3.0,"Nerul, Navi Mumbai",29.4,25.8,27.1,90,19.2,12.0,217,1004.2,25.9
2019-06-28,24.0,19.0,4.0,3.0,7.0,4.0,"Nerul, Navi Mumbai",28.8,25.8,26.6,92,22.5,16.4,246,1003.6,73.8
2019-06-29,40.0,19.0,4.0,3.0,7.0,4.0,"Nerul, Navi Mumbai",27.4,25.7,26.1,93,22.0,12.9,256,1003.9,85.7
2019-06-30,45.0,17.0,5.0,5.0,7.0,5.0,"Nerul, Navi Mumbai",27.0,24.8,25.9,93,16.5,10.4,230,1004.4,31.4
2019-07-01,37.0,15.0,3.0,4.0,7.0,5.0,"Nerul, Navi Mumbai",26.6,24.7,25.7,94,15.1,8.3,234,1003.5,31.3
2019-07-02,36.0,31.0,1.0,4.0,7.0,5.0,"Nerul, Navi Mumbai",28.2,24.5,26.0,92,14.8,9.0,209,1003.6,29.7
2019-07-03,53.0,34.0,1.0,4.0,7.0,4.0,"Nerul, Navi Mumbai",27.5,25.2,26.0,93,17.1,12.1,207,1004.0,17.2
2019-07-04,51.0,38.0,2.0,3.0,5.0,2.0,"Nerul, Navi Mumbai",27.8,25.5,26.5,92,22.0,15.3,221,1003.6,22.2
2019-07-05,41.0,35.0,2.0,3.0,3.0,1.0,"Nerul, Navi Mumbai",27.6,25.5,26.2,92,25.7,18.2,227,1002.4,23.2
2019-07-06,28.0,45.0,3.0,2.0,3.0,1.0,"Nerul, Navi Mumbai",26.5,25.2,25.8,93,22.7,20.0,225,1002.0,25.7
2019-07-07,41.0,35.0,6.0,3.0,6.0,2.0,"Nerul, Navi Mumbai",27.6,25.3,26.2,92,23.6,19.9,226,1002.9,24.6
2019-07-08,26.0,35.0,4.0,2.0,4.0,3.0,"Nerul, Navi Mumbai",27.6,25.5,26.4,92,21.2,18.2,218,1004.1,18.1
2019-07-09,28.0,18.0,4.0,5.0,5.0,3.0,"Nerul, Navi Mumbai",27.9,25.5,26.4,91,22.4,20.0,217,1003.6,19.0
2019-07-10,22.0,34.0,4.0,4.0,4.0,3.0,"Nerul, Navi Mumbai",28.1,25.3,26.2,91,24.7,18.1,226,1003.8,42.2
2019-07-11,24.0,34.0,4.0,4.0,4.0,2.0,"Nerul, Navi Mumbai",26.6,25.1,25.9,92,22.8,17.9,221,1006.0,20.8
2019-07-12,29.0,37.0,3.0,5.0,4.0,2.0,"Nerul, Navi Mumbai",27.4,25.3,26.3,90,20.8,17.3,205,1007.1,6.8
2019-07-13,32.0,33.0,4.0,4.0,4.0,2.0,"Nerul, Navi Mumbai",27.9,25.0,26.3,92,19.4,15.4,208,1008.0,6.4
2019-07-14,27.0,44.0,4.0,3.0,4.0,2.0,"Nerul, Navi Mumbai",28.0,25.3,26.4,91,19.0,14.0,227,1007.4,7.4
2019-07-15,28.0,40.0,3.0,4.0,5.0,2.0,"Nerul, Navi Mumbai",28.6,25.2,26.7,90,20.8,14.6,225,1006.1,7.9
2019-07-16,37.0,39.0,4.0,5.0,4.0,3.0,"Nerul, Navi Mumbai",28.1,25.3,26.4,91,16.9,13.2,220,1006.8,9.0
2019-07-17,39.0,57.0,4.0,4.0,5.0,3.0,"Nerul, Navi Mumbai",28.1,25.3,26.4,90,16.8,10.8,227,1006.7,9.0
2019-07-18,52.0,62.0,9.0,7.0,5.0,3.0,"Nerul, Navi Mumbai",29.1,25.2,26.9,89,14.3,10.4,232,1005.1,6.8
2019-07-19,63.0,67.0,6.0,10.0,5.0,4.0,"Nerul, Navi Mumbai",29.5,25.5,27.3,87,12.0,7.2,230,1003.3,2.9
2019-07-20,69.0,52.0,18.0,13.0,6.0,6.0,"Nerul, Navi Mumbai",29.5,26.0,27.1,89,11.9,5.0,232,1002.4,15.5
2019-07-21,102.0,19.0,7.0,7.0,5.0,3.0,"Nerul, Navi Mumbai",29.7,25.6,27.2,89,11.6,5.6,265,1001.1,13.9
2019-07-22,29.0,29.0,6.0,6.0,5.0,2.0,"Nerul, Navi Mumbai",30.8,25.3,27.6,87,17.7,9.1,195,1000.3,8.8
2019-07-23,25.0,10.0,5.0,7.0,4.0,2.0,"Nerul, Navi Mumbai",28.9,25.3,27.2,89,26.1,14.3,193,1001.4,13.6
2019-07-24,30.0,25.0,4.0,6.0,4.0,3.0,"Nerul, Navi Mumbai",27.4,26.0,26.4,93,26.2,17.8,237,1003.6,134.5
2019-07-25,39.0,27.0,5.0,5.0,4.0,2.0,"Nerul, Navi Mumbai",27.5,25.8,26.3,93,18.6,13.9,237,1006.3,30.2
2019-07-26,37.0,27.0,6.0,4.0,4.0,2.0,"Nerul, Navi Mumbai",27.0,25.5,26.0,93,21.3,16.0,242,1005.6,30.7
2019-07-27,35.0,37.0,6.0,5.0,4.0,3.0,"Nerul, Navi Mumbai",26.9,25.1,25.8,93,21.7,17.2,249,1005.3,45.6
2019-07-28,43.0,37.0,6.0,7.0,5.0,3.0,"Nerul, Navi Mumbai",27.0,25.4,26.1,91,20.0,15.9,250,1005.3,14.3
2019-07-29,40.0,23.0,5.0,7.0,4.0,3.0,"Nerul, Navi Mumbai",26.0,25.1,25.5,93,21.3,16.7,247,1004.7,35.5
2019-07-30,30.0,24.0,6.0,4.0,4.0,2.0,"Nerul, Navi Mumbai",26.1,25.1,25.5,92,26.8,20.4,248,1005.4,63.9
2019-07-31,30.0,27.0,6.0,2.0,4.0,1.0,"Nerul, Navi Mumbai",25.9,25.1,25.6,93,22.5,18.0,244,1006.6,44.2
2019-08-01,18.0,19.0,4.0,4.0,4.0,1.0,"Nerul, Navi Mumbai",27.4,25.4,26.0,91,24.4,19.1,247,1005.9,22.7
2019-08-02,18.0,15.0,6.0,4.0,4.0,1.0,"Nerul, Navi Mumbai",27.7,25.0,25.9,91,28.5,23.1,239,1004.8,40.0
2019-08-03,18.0,23.0,7.0,4.0,4.0,2.0,"Nerul, Navi Mumbai",25.9,25.2,25.5,94,28.8,23.6,239,1003.9,90.4
2019-08-04,30.0,33.0,4.0,5.0,5.0,1.0,"Nerul, Navi Mumbai",26.1,25.1,25.7,93,29.8,20.4,256,1003.5,123.1
2019-08-05,33.0,30.0,4.0,3.0,5.0,1.0,"Nerul, Navi Mumbai",25.9,25.2,25.6,93,27.6,20.2,255,1003.1,60.9
2019-08-06,28.0,31.0,12.0,4.0,5.0,1.0,"Nerul, Navi Mumbai",26.2,25.1,25.7,93,25.2,20.4,246,1003.1,49.5
2019-08-07,28.0,51.0,7.0,3.0,5.0,1.0,"Nerul, Navi Mumbai",27.2,25.4,26.1,91,27.0,22.3,250,1002.0,28.0
2019-08-08,51.0,50.0,6.0,2.0,6.0,1.0,"Nerul, Navi Mumbai",27.0,25.6,26.2,92,26.1,23.4,253,1000.6,18.6
2019-08-09,57.0,44.0,6.0,3.0,4.0,2.0,"Nerul, Navi Mumbai",27.2,25.9,26.4,90,31.0,26.5,245,1000.8,14.9
2019-08-10,51.0,41.0,7.0,4.0,5.0,4.0,"Nerul, Navi Mumbai",27.6,25.5,26.3,89,32.8,26.8,231,1002.4,15.9
2019-08-11,48.0,41.0,7.0,3.0,5.0,3.0,"Nerul, Navi Mumbai",27.8,25.2,26.1,89,27.0,20.9,229,1004.6,22.7
2019-08-12,42.0,38.0,8.0,4.0,4.0,2.0,"Nerul, Navi Mumbai",28.3,25.2,26.5,88,18.2,14.2,235,1005.5,7.5
2019-08-13,43.0,45.0,7.0,5.0,4.0,3.0,"Nerul, Navi Mumbai",28.1,25.0,26.3,91,16.6,11.9,231,1005.5,7.2
2019-08-14,51.0,34.0,7.0,3.0,4.0,3.0,"Nerul, Navi Mumbai",27.9,25.4,26.3,92,17.4,12.5,229,1006.4,9.9
2019-08-15,45.0,31.0,6.0,2.0,4.0,3.0,"Nerul, Navi Mumbai",27.4,24.8,26.0,92,20.5,15.2,229,1007.2,14.0
2019-08-16,35.0,40.0,8.0,3.0,4.0,2.0,"Nerul, Navi Mumbai",28.0,25.0,26.3,89,24.2,17.0,233,1006.6,10.0
2019-08-17,37.0,41.0,9.0,4.0,4.0,3.0,"Nerul, Navi Mumbai",28.6,25.2,26.7,87,20.6,15.1,223,1006.3,6.3
2019-08-18,45.0,41.0,8.0,5.0,4.0,3.0,"Nerul, Navi Mumbai",28.4,25.2,26.6,89,16.4,11.0,219,1007.9,3.6
2019-08-19,55.0,62.0,11.0,6.0,5.0,3.0,"Nerul, Navi Mumbai",28.5,25.0,26.5,88,14.8,8.9,229,1008.8,3.6
2019-08-20,58.0,63.0,9.0,6.0,5.0,4.0,"Nerul, Navi Mumbai",28.9,25.0,26.7,88,14.4,7.0,257,1008.8,2.8
2019-08-21,55.0,42.0,11.0,7.0,5.0,4.0,"Nerul, Navi Mumbai",27.9,24.9,26.3,90,15.6,7.3,257,1008.2,9.0
2019-08-22,47.0,39.0,14.0,6.0,5.0,4.0,"Nerul, Navi Mumbai",27.7,24.9,26.1,90,13.5,7.9,249,1007.6,6.0
2019-08-23,50.0,42.0,21.0,5.0,5.0,3.0,"Nerul, Navi Mumbai",27.7,24.5,26.0,90,14.5,9.2,228,1007.6,4.4
2019-08-24,45.0,31.0,38.0,6.0,4.0,3.0,"Nerul, Navi Mumbai",28.0,24.5,26.0,90,14.5,11.7,213,1007.2,6.0
2019-08-25,35.0,39.0,4.0,5.0,5.0,3.0,"Nerul, Navi Mumbai",27.5,24.4,26.0,89,14.1,10.2,211,1006.1,3.8
2019-08-26,48.0,46.0,7.0,3.0,5.0,3.0,"Nerul, Navi Mumbai",28.0,24.5,26.0,89,16.4,10.6,216,1005.9,4.2
2019-08-27,50.0,36.0,7.0,4.0,5.0,2.0,"Nerul, Navi Mumbai",27.9,24.5,25.7,91,18.7,13.2,202,1005.0,6.9
2019-08-28,40.0,47.0,7.0,2.0,4.0,1.0,"Nerul, Navi Mumbai",28.0,24.4,26.2,89,18.1,13.5,196,1005.0,4.2
