date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
2019-12-02,151.0,131.0,10.0,7.0,18.0,9.0,"Powai, Mumbai",34.5,23.5,28.4,61,10.8,7.7,44,1011.3,0.0
2019-12-03,169.0,66.0,12.0,5.0,1.0,6.0,"Powai, Mumbai",33.3,23.2,27.7,65,12.6,7.7,87,1011.6,0.2
2019-12-04,121.0,76.0,7.0,4.0,2.0,9.0,"Powai, Mumbai",32.8,23.8,27.4,70,12.3,8.5,37,1012.5,0.0
2019-12-05,152.0,87.0,15.0,5.0,1.0,6.0,"Powai, Mumbai",30.0,25.0,27.5,73,13.6,6.4,62,1014.1,1.3
2019-12-06,164.0,79.0,17.0,6.0,1.0,7.0,"Powai, Mumbai",33.7,24.8,28.2,57,14.8,8.8,42,1013.5,0.0
2019-12-07,154.0,87.0,19.0,5.0,1.0,7.0,"Powai, Mumbai",32.5,22.4,26.4,58,13.5,9.0,18,1012.7,0.0
2019-12-08,164.0,84.0,27.0,7.0,1.0,9.0,"Powai, Mumbai",32.5,21.4,26.0,61,14.2,7.9,18,1013.0,0.0
2019-12-09,160.0,82.0,22.0,6.0,1.0,9.0,"Powai, Mumbai",33.1,21.5,26.5,66,13.2,7.9,12,1012.8,0.0
2019-12-10,158.0,86.0,17.0,6.0,1.0,9.0,"Powai, Mumbai",33.0,21.7,26.6,72,12.8,6.8,348,1011.7,0.0
2019-12-11,165.0,79.0,28.0,6.0,2.0,8.0,"Powai, Mumbai",32.3,21.0,26.3,73,11.9,6.4,327,1010.7,0.0
2019-12-12,160.0,69.0,22.0,5.0,2.0,7.0,"Powai, Mumbai",31.0,20.9,25.4,72,13.8,6.6,313,1010.5,0.0
2019-12-13,133.0,63.0,44.0,8.0,2.0,6.0,"Powai, Mumbai",30.3,19.5,24.1,76,17.8,8.3,351,1012.5,0.0
2019-12-14,127.0,75.0,62.0,9.0,3.0,8.0,"Powai, Mumbai",30.8,16.8,23.3,68,16.6,9.7,346,1014.4,0.0
2019-12-15,151.0,85.0,51.0,10.0,3.0,9.0,"Powai, Mumbai",30.8,17.9,24.0,64,13.4,8.4,342,1013.2,0.0
2019-12-16,162.0,78.0,39.0,9.0,3.0,7.0,"Powai, Mumbai",31.5,19.2,24.6,69,14.6,8.5,350,1012.6,0.0
2019-12-17,153.0,78.0,50.0,11.0,5.0,8.0,"Powai, Mumbai",32.3,21.2,25.5,68,15.8,9.6,21,1013.4,0.0
