date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
2019-12-02,155.0,77.0,34.0,30.0,40.0,2.0,"Sion, Mumbai",33.3,24.6,28.3,65,14.0,9.8,28,1011.2,0.0
2019-12-03,85.0,85.0,26.0,24.0,3.0,4.0,"Sion, Mumbai",31.8,25.5,27.9,68,13.7,10.5,60,1011.5,0.1
2019-12-04,140.0,87.0,18.0,30.0,4.0,6.0,"Sion, Mumbai",31.2,25.4,27.6,72,15.1,10.2,3,1012.5,0.0
2019-12-05,141.0,108.0,20.0,35.0,7.0,6.0,"Sion, Mumbai",29.5,25.8,27.7,74,17.9,9.1,38,1014.0,3.4
2019-12-06,169.0,115.0,33.0,39.0,6.0,6.0,"Sion, Mumbai",32.3,25.3,28.0,63,22.2,11.0,24,1013.4,0.0
2019-12-07,160.0,114.0,42.0,38.0,6.0,7.0,"Sion, Mumbai",31.1,23.4,26.5,64,20.3,10.1,2,1012.6,0.0
2019-12-08,172.0,102.0,38.0,34.0,5.0,6.0,"Sion, Mumbai",31.0,23.0,26.2,68,16.7,9.2,6,1013.0,0.0
2019-12-09,162.0,110.0,39.0,36.0,5.0,9.0,"Sion, Mumbai",31.6,22.9,26.6,72,16.5,8.8,356,1012.7,0.0
2019-12-10,165.0,119.0,31.0,40.0,4.0,9.0,"Sion, Mumbai",31.2,23.2,26.8,76,16.6,7.9,341,1011.6,0.0
2019-12-11,177.0,133.0,36.0,34.0,7.0,13.0,"Sion, Mumbai",29.8,23.0,26.4,77,15.3,8.0,333,1010.7,0.0
2019-12-12,183.0,100.0,21.0,34.0,4.0,7.0,"Sion, Mumbai",29.0,23.4,25.8,74,16.5,8.2,323,1010.5,0.0
2019-12-13,150.0,96.0,28.0,34.0,4.0,7.0,"Sion, Mumbai",28.5,22.5,25.0,78,23.0,11.4,351,1012.5,0.0
2019-12-14,152.0,108.0,33.0,32.0,5.0,8.0,"Sion, Mumbai",29.0,20.9,24.5,67,21.3,12.7,349,1014.4,0.0
2019-12-15,164.0,115.0,30.0,36.0,5.0,9.0,"Sion, Mumbai",28.2,21.1,24.4,66,18.9,12.0,346,1013.2,0.0
2019-12-16,173.0,121.0,32.0,32.0,5.0,9.0,"Sion, Mumbai",29.6,21.9,24.9,71,20.9,11.1,346,1012.6,0.0
2019-12-17,170.0,103.0,33.0,36.0,6.0,7.0,"Sion, Mumbai",31.1,22.1,25.6,72,21.2,11.6,2,1013.3,0.0
2019-12-18,163.0,102.0,27.0,37.0,5.0,7.0,"Sion, Mumbai",31.9,22.5,26.0,68,18.9,10.7,19,1014.0,0.0
2019-12-19,162.0,150.0,59.0,36.0,7.0,9.0,"Sion, Mumbai",31.0,21.2,25.5,69,18.9,10.1,353,1012.9,0.0
2019-12-20,181.0,122.0,23.0,54.0,7.0,10.0,"Sion, Mumbai",30.2,21.5,25.3,72,17.6,8.5,345,1012.0,0.0
2019-12-21,172.0,130.0,25.0,37.0,8.0,10.0,"Sion, Mumbai",30.3,22.3,25.8,72,17.0,9.5,349,1011.5,0.0
2019-12-22,181.0,120.0,30.0,31.0,8.0,11.0,"Sion, Mumbai",31.3,22.2,26.4,67,15.3,9.5,35,1011.2,0.0
2019-12-23,176.0,143.0,57.0,43.0,7.0,12.0,"Sion, Mumbai",30.7,23.5,26.6,72,13.0,6.8,344,1010.9,0.0
2019-12-24,196.0,147.0,20.0,43.0,6.0,10.0,"Sion, Mumbai",30.0,23.1,26.2,77,13.0,7.2,338,1012.0,0.0
2019-12-25,203.0,114.0,19.0,38.0,6.0,8.0,"Sion, Mumbai",30.9,24.6,26.8,71,21.9,12.9,352,1012.2,0.0
2019-12-26,168.0,119.0,26.0,36.0,7.0,9.0,"Sion, Mumbai",29.5,23.5,25.8,66,21.0,12.0,347,1012.3,1.4
2019-12-27,174.0,105.0,20.0,33.0,5.0,7.0,"Sion, Mumbai",29.3,20.4,24.4,69,22.2,10.3,349,1011.4,0.0
2019-12-28,167.0,101.0,36.0,30.0,5.0,6.0,"Sion, Mumbai",31.0,21.2,25.1,69,22.5,12.1,22,1010.9,0.0
2019-12-29,165.0,117.33333333333331,37.333333333333336,33.0,5.666666666666667,7.666666666666667,"Sion, Mumbai",29.2,22.4,25.1,70,17.8,9.2,358,1011.7,0.0
2019-12-31,177.0,150.0,40.0,39.0,7.0,11.0,"Sion, Mumbai",27.0,19.4,22.9,65,20.2,11.2,349,1013.1,0.0
2020-01-01,183.0,120.0,35.0,36.0,5.0,6.0,"Sion, Mumbai",25.7,16.8,21.4,76,13.8,8.0,347,1013.7,0.0
2020-01-02,169.0,118.0,37.0,39.0,5.0,7.0,"Sion, Mumbai",26.3,18.4,22.3,77,16.9,9.0,336,1015.7,0.0
2020-01-03,165.0,118.0,34.0,41.0,5.0,7.0,"Sion, Mumbai",26.2,19.0,22.2,76,25.3,13.1,347,1015.1,0.0
2020-01-04,165.0,126.0,33.0,34.0,6.0,8.0,"Sion, Mumbai",25.8,19.0,21.9,68,23.6,14.7,346,1013.4,0.0
2020-01-05,162.0,142.0,32.5,33.0,8.0,8.0,"Sion, Mumbai",29.6,19.2,23.4,68,19.8,11.8,22,1012.6,0.0
2020-01-06,185.0,135.0,32.0,33.0,3.0,9.0,"Sion, Mumbai",29.8,21.0,24.6,67,18.8,12.6,8,1013.3,0.0
2020-01-07,164.0,121.0,23.0,27.0,4.0,10.0,"Sion, Mumbai",27.3,20.8,23.9,79,20.8,9.6,309,1012.9,0.0
2020-01-08,147.0,108.0,36.0,39.0,3.0,6.0,"Sion, Mumbai",27.0,21.5,24.0,76,18.6,11.3,329,1013.0,0.0
2020-01-09,143.0,131.0,33.0,38.0,4.0,9.0,"Sion, Mumbai",27.5,19.8,22.9,61,25.5,15.0,349,1013.4,0.0
2020-01-10,157.0,160.0,29.0,39.0,3.0,10.0,"Sion, Mumbai",30.7,19.4,23.9,64,22.0,11.6,10,1012.4,0.0
2020-01-11,188.0,165.0,30.0,31.0,7.0,12.0,"Sion, Mumbai",31.5,21.4,25.3,70,17.3,10.2,16,1013.0,0.0
2020-01-12,180.0,92.0,21.0,25.0,2.0,6.0,"Sion, Mumbai",29.2,20.8,24.7,76,19.4,8.3,318,1013.2,0.0
2020-01-13,161.0,85.0,24.0,24.0,2.0,5.0,"Sion, Mumbai",27.2,22.0,24.0,84,19.5,8.6,323,1012.1,0.0
2020-01-14,120.0,81.0,25.0,25.0,1.0,4.0,"Sion, Mumbai",26.6,21.2,23.3,79,23.3,13.2,348,1012.1,0.2
2020-01-15,108.0,81.0,22.0,29.0,1.0,4.0,"Sion, Mumbai",25.1,20.0,22.2,64,24.2,15.0,337,1012.8,0.0
2020-01-16,130.0,104.0,30.0,37.0,2.0,7.0,"Sion, Mumbai",24.1,18.1,20.8,65,23.1,13.7,346,1014.2,0.0
2020-01-17,144.0,136.0,30.0,53.0,3.0,9.0,"Sion, Mumbai",24.4,16.7,19.8,58,26.6,15.6,351,1014.6,0.0
2020-01-18,163.0,190.0,33.0,45.0,5.0,15.0,"Sion, Mumbai",27.4,16.5,21.5,64,20.4,12.8,350,1013.0,0.0
2020-01-19,168.0,158.0,52.0,44.0,5.0,14.0,"Sion, Mumbai",28.5,18.9,23.1,67,19.6,11.5,340,1012.9,0.0
