date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
2019-07-03,52.0,40.0,3.0,4.0,5.0,4.0,"Worli, Mumbai",27.5,25.9,26.6,91,20.4,15.6,220,1003.9,15.8
2019-07-04,48.0,59.0,6.0,2.0,5.0,2.0,"Worli, Mumbai",27.8,26.2,27.0,90,23.7,19.0,227,1003.4,19.7
2019-07-05,45.0,57.0,7.0,1.0,5.0,2.0,"Worli, Mumbai",27.9,26.0,26.7,91,26.2,21.8,232,1002.2,16.4
2019-07-06,35.0,67.0,7.0,1.0,5.0,2.0,"Worli, Mumbai",27.2,25.6,26.4,91,28.4,24.9,231,1001.9,22.7
2019-07-07,50.0,57.0,7.0,2.0,5.0,3.0,"Worli, Mumbai",27.7,26.0,26.7,90,28.2,25.2,233,1002.7,21.0
2019-07-08,42.0,56.0,9.0,2.0,1.0,3.0,"Worli, Mumbai",28.0,26.0,26.8,90,26.9,23.5,225,1004.0,15.8
2019-07-09,38.0,39.0,7.0,5.0,1.0,3.0,"Worli, Mumbai",27.8,26.0,26.7,90,29.8,25.3,223,1003.4,14.4
2019-07-10,25.0,59.0,6.0,3.0,1.0,1.0,"Worli, Mumbai",27.5,25.8,26.5,90,31.2,22.7,234,1003.7,36.9
2019-07-11,28.0,53.0,6.0,3.0,1.0,1.0,"Worli, Mumbai",27.3,25.7,26.6,90,27.2,23.0,227,1005.9,19.4
2019-07-12,26.0,45.0,5.0,3.0,2.0,1.0,"Worli, Mumbai",27.5,25.8,26.6,90,28.4,21.9,208,1006.9,6.3
2019-07-13,26.0,46.0,6.0,3.0,3.0,1.0,"Worli, Mumbai",27.8,25.6,26.6,91,23.5,18.6,210,1007.9,6.0
2019-07-14,23.0,53.0,6.0,3.0,4.0,1.0,"Worli, Mumbai",28.2,25.9,27.1,89,20.4,17.2,236,1007.2,6.1
2019-07-15,32.0,52.0,4.0,3.0,5.0,1.0,"Worli, Mumbai",29.1,25.9,27.3,88,23.4,18.4,236,1006.0,5.0
2019-07-16,29.0,57.0,4.0,3.0,5.0,1.0,"Worli, Mumbai",27.8,25.7,26.8,89,18.8,16.2,225,1006.7,6.5
2019-07-17,33.0,59.0,4.0,4.0,6.0,1.0,"Worli, Mumbai",28.2,25.6,26.9,88,18.2,13.2,234,1006.7,8.1
2019-07-18,42.0,61.0,4.0,5.0,4.0,2.0,"Worli, Mumbai",28.3,25.9,27.1,88,16.7,12.5,236,1005.0,3.4
2019-07-19,55.0,45.0,5.0,7.0,1.0,3.0,"Worli, Mumbai",28.9,26.1,27.5,87,15.9,8.2,247,1003.2,2.7
2019-07-20,48.0,39.0,9.0,9.0,1.0,3.0,"Worli, Mumbai",28.5,26.5,27.5,88,14.0,5.8,268,1002.3,9.6
2019-07-21,68.0,24.0,8.0,6.0,1.0,2.0,"Worli, Mumbai",29.2,25.9,27.3,88,14.7,8.7,304,1001.1,66.0
2019-07-22,33.0,29.0,8.0,6.0,1.0,2.0,"Worli, Mumbai",29.5,26.3,27.8,86,21.6,11.3,196,1000.3,4.7
